name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999
OperatingCashFlow,"3,148,000,000","2,853,000,000","3,345,000,000","3,258,000,000","2,611,000,000","2,262,000,000","2,257,000,000","2,099,000,000","1,862,000,000","1,756,000,000","2,003,000,000","1,738,000,000","1,681,000,000","1,298,000,000","1,452,000,000","1,409,000,000","1,149,000,000","862,000,000","599,000,000","344,000,000","373,452,561","211,191,583","191,475,081","137,513,318","71,390,727","37,700,000"
CashFlowFromContinuingOperatingActivities,"3,148,000,000","2,853,000,000","3,345,000,000","3,258,000,000","2,611,000,000","2,262,000,000","2,257,000,000","2,099,000,000","1,862,000,000","1,756,000,000","2,003,000,000","1,738,000,000","1,681,000,000","1,298,000,000","1,452,000,000","1,409,000,000","1,149,000,000","862,000,000","599,000,000","344,000,000","373,452,561","211,191,583","191,475,081","137,513,318","71,390,727","37,700,000"
NetIncomeFromContinuingOperations,"3,169,000,000","2,983,000,000","2,968,000,000","2,623,000,000","2,338,000,000","2,200,000,000","2,486,000,000","2,140,000,000","2,052,000,000","2,013,000,000","1,751,000,000","1,725,000,000","1,716,000,000","1,499,000,000","1,313,000,000","1,281,000,000","1,155,000,000","850,000,000","555,000,000","419,000,000","270,290,300","194,870,041","164,466,309","131,948,104","61,344,528","17,400,000"
OperatingGainsLosses,"11,000,000","21,000,000","15,000,000","-8,000,000","27,000,000","10,000,000","14,000,000","11,000,000","10,000,000","-33,000,000","-36,000,000","-41,000,000","-1,000,000","-22,000,000","-50,000,000","-3,000,000",,"-1,000,000","6,000,000","-11,000,000","2,193,799","3,216,960","-16,754","3,460,247","-20,153","1,500,000"
GainLossOnSaleOfBusiness,,,,0,0,"65,000,000",0,0,,,,,,,,,,,,,,,,,,
NetForeignCurrencyExchangeGainLoss,"11,000,000","21,000,000","15,000,000","-8,000,000","27,000,000","10,000,000","3,000,000","6,000,000","10,000,000","15,000,000","8,000,000","4,000,000","7,000,000",0,,,,,,,,,,,,
GainLossOnInvestmentSecurities,,,,,,,,"-51,000,000","-27,000,000","-48,000,000","-44,000,000","-45,000,000","-8,000,000","-22,000,000","-36,000,000","-3,000,000",,,,,,,,,,
EarningsLossesFromEquityInvestments,,,,,0,0,"11,000,000","5,000,000",,,,,,,,,,,,,,,,,,
DepreciationAmortizationDepletion,"565,000,000","524,000,000","466,000,000","441,000,000","407,000,000","287,000,000","289,000,000","254,000,000","222,000,000","175,000,000","226,000,000","207,000,000","195,000,000","189,000,000","199,000,000","165,000,000","157,000,000","118,000,000","99,000,000","66,000,000","55,086,050","44,188,307","38,618,163","29,609,662","17,385,804","25,100,000"
DepreciationAndAmortization,"565,000,000","524,000,000","466,000,000","441,000,000","407,000,000","287,000,000","289,000,000","254,000,000","222,000,000","175,000,000","226,000,000","207,000,000","195,000,000","189,000,000","199,000,000","165,000,000","157,000,000","118,000,000","99,000,000","66,000,000","55,086,050","44,188,307","38,618,163","29,609,662","17,385,804","25,100,000"
