Stock,P/E,EV/EBITDA,P/B,P/CF,P/S,ROE,ROA,ROD,ROI,Revenue,Profit,Equity,Assets,D/A,Ebitda Growth,CF Growth,,Stock,O-Score
AFL,10.4532,7.41,1.653533333,8.075556501,1.510133333,0.168328945,0.02590160857,0.6578447614,-89.16291678,-0.09855635414,0.5149932506,0.136512455,0.008032505477,0.03937343594,,-0.5747470784,,AFL,2.174454456
ALL,14.00626667,7.79,1.408666667,17.50850063,0.7206,0.09641995966,0.0171848193,0.3175451279,-6.980654076,0.5228854565,0.2616216953,-0.1520705956,-0.1209548205,0.0541177231,,0.5525912444,,ALL,1.090310149
APAM,15.4087,4.960545455,13.062,17971.82517,1.981909091,1.84983232,0.1517171124,0.01762834495,-14.89299942,0.3835251972,0.4573023545,4.345384686,0.9014077557,8.606429748,0.4758457648,0.2101936504,,APAM,3.994976392
AXP,17.74666667,20.85,4.0324,8.852688389,2.3932,0.2742326963,0.03218720358,0.1009832816,-4.208563105,0.6855725677,0.4573023545,0.4266561354,0.5583401768,0.3187379443,,1.261996323,,AXP,1.195454206
BAC,19.07973333,0,0.9025333333,5.322163249,2.504066667,0.06407213959,0.006744145347,0.05580617026,-14.53030211,0.08593192009,0.4573023545,0.1773224364,0.3512783931,0.1208494565,,0.1559683965,,BAC,#DIV/0!
BAM,0,177.4585,7.236,6972.507857,0,0.1116508818,0.04747604499,0.0024040845,-30.16544118,-0.7174474364,-0.94489093,-0.6610058785,-0.7774614637,19.74807666,-0.7844002964,nan,,BAM,#DIV/0!
BCS,32.4674,0,0.5374,9.849845411,1.3214,0.04928356187,0.002078707785,0.01007857855,-2.028543121,0.01653039603,-0.94489093,0.2242203198,0.07144582038,0.2062500952,,-0.2989012522,,BCS,#DIV/0!
BEN,14.4388,7.023,2.054466667,14.41460952,3.0726,0.1521932941,0.09469127937,0.005380831128,-16.04107334,0.1936046774,-0.4173686049,0.1851186671,0.8637398048,17.59789094,0.5200056956,-0.1705608751,,BEN,1.229353302
BLK,21.30126667,13.8972,2.292266667,23.55372443,5.733466667,0.1287357703,0.02096513049,0.01306040514,-17.85833333,0.4728771788,0.4112471681,0.363661569,-0.3045870206,1.605243503,0.1739774919,0.3962733174,,BLK,0.788833266
BX,24.62538462,9.838625,4.554066667,16.11956493,5.632466667,0.2035670854,0.04590578538,0.4485239585,-18.08590806,0.4889747575,0.4112471681,0.1206788265,0.4935894835,0.1023485692,-1,1.35835025,,BX,1.385167843
C,13.913,0,0.7082,9.899028048,1.7812,0.05850969048,0.005734836263,0.04175116605,-2.967706131,0.04072222936,0.4112471681,0.07045463308,0.2316758164,0.1373575113,,-2.090691301,,C,#DIV/0!
DB,32.43828571,0,0.4434,6.663188299,0.8814,0.01494532185,0.0005357291098,0.005489656479,-1.575691937,0.01874125288,0.4112471681,0.2507433283,-0.1946075473,0.09758882214,,-1.500245218,,DB,#DIV/0!
DFS,11.10113333,0,2.206866667,7.328437191,2.5194,0.2363011964,0.02808803337,0.1226348431,-13.31944363,0.7559903462,0.4112471681,0.3914869788,0.6901594402,0.2290379525,,0.9478510574,,DFS,#DIV/0!
GBCI,23.71606667,0,1.897533333,9.552922541,5.440533333,0.1041327608,0.01259709868,0.2046093386,-8.754396221,0.5221903239,0.4112471681,1.142991853,1.381244183,0.06156658716,,0.06527015466,,GBCI,#DIV/0!
GEG,98.03,0,2.6454,-16.49522894,475.101,-0.1762200016,-0.06875167956,-0.01338742533,4.09815916,-0.3560120945,-0.08179283522,0.1508901656,0.005557393223,5.135541589,-0.4993032053,0.3678172375,,GEG,#DIV/0!
GS,12.06246667,0,1.088266667,29.92490567,2.6268,0.1076769972,0.009240389605,0.04461193389,-2.890031264,0.3381376856,-0.08179283522,0.3708811805,0.6519611576,0.2071282009,,-12.93094186,,GS,#DIV/0!
ICE,26.96133333,16.1018,3.0334,19.01572948,7.5358,0.1192571868,0.01829726285,0.007165610825,-5.404478308,1.09744597,0.9854994309,1.079440464,0.6882424595,2.553482641,0.2984262629,1.070932793,,ICE,1.196319511
JPM,12.33326667,0,1.315066667,9.181956892,2.806066667,0.1195980133,0.0105587604,0.09259220945,-9.046907945,0.5672342125,0.9854994309,0.4132607436,0.4747375487,0.1140350842,,-1.255452991,,JPM,#DIV/0!
KEY,12.76553333,0,1.1332,7.343586266,2.582266667,0.08298045145,0.008758285867,0.09500944538,-8.92092257,0.1459840926,0.9854994309,0.1215003397,0.5226397242,0.09218331747,,-0.1623463902,,KEY,#DIV/0!
KKR,17.13207692,8.7095,2.075857143,-26823.35908,5.022,0.2471988134,0.01509354821,0.1041751227,-11.57081795,3.915237922,1.940973458,3.758522217,3.032995869,0.1448863012,-0.4069694012,-5.370023834,,KKR,3.229808091
L,22.9302,0,0.8461333333,5.815585522,1.103933333,0.04178743691,0.009623827091,0.07676125345,-0.5808358395,0.1644475259,0.4694247952,-0.121277572,0.02059217207,0.1253735011,,0.02539959041,,L,#DIV/0!
LAZ,51.71226667,11.28953333,6.424066667,7.81345887,2.085533333,0.393850336,0.06948204797,0.03114644392,-7.434579928,0.1715522333,-0.4296353874,-0.4492183855,0.06297928525,2.230818008,0.6929840619,-0.2244366476,,LAZ,0.8476317251
MA,32.70586667,22.46433333,29.8852,45.49001805,13.05513333,0.8903209336,0.2592282181,0.5255082812,-10.35638082,1.0967853,1.237354836,0.2066333664,1.152274656,0.4932904531,0.2863947294,1.150225509,,MA,3.39117034
MCO,26.8106,16.6356,84.414,48.91336009,7.007466667,3.487368296,0.1437364109,0.1009291935,-10.0614113,0.8033310041,0.9964176249,nan,nan,1.424131174,0.755632499,1.071119958,,MCO,#VALUE!
MET,12.02546667,0,0.9378666667,4.067550483,0.7532666667,0.06882106806,0.005136631903,0.1899789869,-5.378660508,0.06287240943,-0.239559781,-0.4678317297,-0.0901004971,0.02703789501,,0.148129151,,MET,#DIV/0!
MS,17.39733333,0,1.141733333,16.2864588,2.1512,0.0888770321,0.007535587665,0.03379931326,-3.629846029,0.4339419979,-0.239559781,0.3366510349,0.3659550481,0.2229509105,,-2.268423615,,MS,#DIV/0!
MTB,14.74433333,0,1.3472,9.474478394,3.321,0.1012386007,0.0126188819,0.2150936831,-11.37341803,0.7014486866,-0.239559781,0.9675989246,0.8947589409,0.05866691071,,1.140446015,,MTB,#DIV/0!
ONB,21.8322,0,1.148066667,8.577198613,3.0692,0.09211937606,0.01123758661,0.1274238126,-4.076346531,1.42268457,-0.239559781,1.835774266,2.052699457,0.08819063239,,1.424656046,,ONB,#DIV/0!
OPY,14.59926667,15.22453333,0.6162,12.38738844,0.3573333333,0.06511639557,0.01412128892,0.02578669975,-3.897342806,0.2594262653,0.4731314395,0.405183258,0.1100911491,0.547619085,-0.6091177398,-3.178177098,,OPY,1.384939269
OZK,15.02,0,1.988866667,9.433621834,5.623733333,0.1321878475,0.0210538451,0.5319118753,-7.883647987,1.351381432,0.4731314395,1.348794462,1.492342393,0.03958145338,,1.666385895,,OZK,#DIV/0!
PNC,13.1436,0,1.1484,9.200805726,3.116466667,0.1086935329,0.01246405639,0.1028610881,-46.16227045,0.2266961368,0.4731314395,0.2053255554,0.5188269853,0.1211736782,,0.2217308378,,PNC,#DIV/0!
PRU,22.63453333,0,0.9334,4.403503932,0.6439333333,0.07322558884,0.004244653344,0.1397254753,-31.02437396,0.106339495,-0.03538888155,-0.3422794674,-0.01173599734,0.03037852141,,-0.276336907,,PRU,#DIV/0!
PYPL,46.54166667,27.20866667,6.534444444,76106.50683,6.609444444,0.1410244785,0.04699557816,0.09822497308,-3.232863153,0.9500667767,1.130983847,0.3634597199,0.7734715285,0.4784483689,-0.611447333,0.8985206333,,PYPL,1.169828704
RF,13.51393333,0,0.9314666667,5.644889695,2.421666667,0.06546550398,0.008167754967,0.129697114,-8.151696607,0.2135075759,1.130983847,0.04768450244,0.1414207574,0.06297561073,,-0.1659936862,,RF,#DIV/0!
SCHW,27.9218,0,3.659266667,14.34116163,6.2612,0.1348887584,0.01054112338,0.4448998331,-5.882440036,0.9453813628,1.130983847,1.085869783,0.9627423158,0.02369325092,,1.156191377,,SCHW,#DIV/0!
SEIC,20.50173333,10.91806667,4.868,17.44018805,5.125133333,0.2697339131,0.2094084445,0.06084394352,-5.438009242,0.4012791272,0.2815004578,0.5874691615,0.4568432664,3.441730308,0.02756287743,0.1548414579,,SEIC,2.029775643
TROW,18.41006667,10.6624,4.214933333,17.86857202,5.477933333,0.2700172092,0.2196179381,0.2435213491,-8.694854264,0.4854259436,0.157346495,0.7702965798,0.8600372044,0.9018426469,-0.2696766206,0.2380826808,,TROW,2.383039133
UBS,28.4728,0,1.0978,2.535242629,2.058066667,0.1086191842,0.004703585768,0.0362789261,-3.676374602,0.4873623587,0.157346495,0.6779962653,0.4491139329,0.129650634,,2.20557209,,UBS,#DIV/0!
V,32.61973333,18.95606667,7.827066667,32.60768625,13.80413333,0.2615696789,0.1456523505,0.05134813449,-13.31424392,1.031021579,1.104140414,0.2842194376,0.6708289126,2.836565572,0.1884849529,1.248753968,,V,1.863628706
WFC,16.6956,0,1.3172,10.59417744,2.5544,0.107632273,0.01085594279,0.09362837426,-107.6339742,-0.001675777586,1.104140414,0.1033985241,0.1579131708,0.1159471461,,0.07085244059,,WFC,#DIV/0!
Sector Medians,18.07836667,0,1.775533333,9.701383976,2.604533333,0.1101722073,0.01337008541,0.09431890982,-8.423275435,0.4176105625,0.4112471681,0.2842194376,0.4747375487,0.1411219063,0.1007701847,0.1559683965,,Median,#DIV/0!
Sector Avgs,22.50533951,10.18495926,5.389045873,1867.412182,15.44416217,0.2728813632,0.0427857464,0.139831905,-14.30476354,0.5098211576,0.3984873658,0.5323691849,0.5274484964,1.764304796,-0.04760001628,-0.288695556,,Average,#DIV/0!
