Stock,P/E,EV/EBITDA,P/B,P/CF,P/S,ROE,ROA,ROD,ROI,Revenue,Profit,Equity,Assets,D/A,Ebitda Growth,CF Growth
AFL,10.4532,0,1.653533333333333,8.075556501250716,1.5101333333333333,0.1683289450104079,0.02590160856927857,0.6578447614045012,-89.16291678456358,-0.0985563541447604,0.514993250626728,0.13651245502543383,0.00803250547670828,0.039373435936433596,0,-0.5747470783602446
ALL,14.006266666666669,0,1.4086666666666663,17.50850062762573,0.7206,0.09641995966330953,0.017184819301426606,0.3175451278666541,-6.98065407646246,0.5228854565474327,0.2616216953467744,-0.1520705955705987,-0.12095482053741823,0.0541177230993227,0,0.5525912443720663
APAM,15.408700000000001,4.960545454545454,13.062000000000001,17971.825170212946,1.9819090909090908,1.8498323204291904,0.15171711239814706,0.017628344951860116,-14.892999420067705,0.38352519724552775,0.45730235446441025,4.345384686057824,0.9014077556622047,8.606429747798762,0.4758457647619397,0.21019365040826316
AXP,17.746666666666666,0,4.0324,8.852688388618555,2.3932,0.27423269625822894,0.03218720358027285,0.10098328159152557,-4.208563104775777,0.6855725677036445,0.45730235446441025,0.4266561353790246,0.5583401768491817,0.31873794427149976,0,1.2619963226899644
BAC,19.07973333333333,0,0.9025333333333332,5.322163248840377,2.504066666666666,0.06407213959000979,0.006744145347367152,0.055806170255008176,-14.530302105584378,0.08593192009483762,0.45730235446441025,0.17732243643084813,0.35127839313263637,0.12084945654843457,0,0.15596839653698372
BAM,0.0,177.4585,7.236,6972.507856560107,0.0,0.11165088177661658,0.04747604499375087,0.0024040845000101963,-30.165441176470587,-0.717447436370343,-0.9448909299655568,-0.6610058785107773,-0.7774614636855992,19.748076656019997,-0.7844002964073291,nan
BCS,32.4674,0,0.5374,9.849845410860445,1.3214000000000001,0.04928356186836703,0.002078707785086261,0.01007857854936633,-2.0285431213436493,0.016530396033998918,-0.9448909299655568,0.22422031976947432,0.07144582038179818,0.20625009518003468,0,-0.2989012521980463
BEN,14.438800000000002,7.023,2.054466666666667,14.414609516247978,3.0726000000000004,0.15219329412854116,0.0946912793664326,0.005380831128197447,-16.04107333775899,0.19360467744818258,-0.4173686048521594,0.18511866710592872,0.8637398047996369,17.597890941088448,0.5200056955716932,-0.17056087505929077
BLK,21.30126666666667,13.8972,2.292266666666667,23.553724431362703,5.733466666666666,0.12873577028204128,0.020965130485530267,0.013060405135558137,-17.858333333333334,0.4728771787851876,0.4112471680542621,0.3636615689599801,-0.30458702064341786,1.6052435026269438,0.17397749186886577,0.39627331744596933
BX,24.62538461538461,9.838625,4.554066666666668,16.11956492626361,5.632466666666667,0.20356708540814297,0.04590578538102037,0.4485239584723481,-18.08590805963173,0.48897475748838165,0.4112471680542621,0.12067882653016204,0.49358948349082543,0.10234856915419492,-1.0,1.3583502498137385
C,13.913000000000004,0,0.7081999999999999,9.899028048468043,1.7811999999999997,0.058509690481872094,0.005734836262827478,0.041751166054371416,-2.967706131078224,0.04072222936204592,0.4112471680542621,0.07045463308091571,0.23167581640993135,0.13735751129343682,0,-2.0906913013501365
DB,32.43828571428572,0,0.44340000000000007,6.663188298621367,0.8814,0.014945321854023448,0.0005357291097662467,0.005489656479316522,-1.5756919374247895,0.01874125287883617,0.4112471680542621,0.2507433283074258,-0.19460754733238697,0.09758882213936755,0,-1.5002452182442374
DFS,11.101133333333333,0,2.206866666666667,7.328437190520855,2.5193999999999996,0.23630119638413832,0.028088033374378228,0.12263484314513497,-13.319443626527043,0.7559903462015388,0.4112471680542621,0.39148697875801475,0.6901594401734569,0.22903795246133118,0,0.9478510573523822
GBCI,23.716066666666666,0,1.897533333333333,9.552922541225335,5.440533333333334,0.10413276079936659,0.012597098676566271,0.20460933855590208,-8.75439622056262,0.5221903239133612,0.4112471680542621,1.1429918529421863,1.3812441831777464,0.06156658716300269,0,0.06527015465711354
GEG,98.03,1.004599999999998,2.6454,-16.495228936039638,475.101,-0.17622000156598677,-0.0687516795565923,-0.013387425330189483,4.098159160099013,-0.3560120944833364,-0.08179283521941808,0.1508901656031006,0.005557393223159194,5.135541589281767,-0.49930320525582217,0.36781723745764494
GS,12.062466666666666,0,1.0882666666666665,29.924905665279443,2.6268,0.10767699715203505,0.009240389605031308,0.044611933893131006,-2.890031263769697,0.33813768557411744,-0.08179283521941808,0.3708811805256422,0.6519611575711975,0.2071282008793183,0,-12.930941864003106
ICE,26.96133333333334,16.1018,3.0334000000000003,19.015729475854304,7.535799999999999,0.11925718681156655,0.018297262851787486,0.007165610824554442,-5.404478308346626,1.097445970377396,0.9854994308996244,1.079440463703984,0.6882424594989971,2.553482640878032,0.29842626290228413,1.0709327928898043
JPM,12.333266666666667,0,1.315066666666667,9.181956892328145,2.806066666666667,0.1195980133424674,0.0105587603972724,0.09259220945176776,-9.046907944788611,0.5672342124680974,0.9854994308996244,0.41326074362876497,0.4747375487058002,0.11403508415870094,0,-1.2554529911151082
KEY,12.765533333333337,0,1.1332,7.343586265674514,2.5822666666666665,0.08298045145043394,0.008758285866784558,0.09500944538345918,-8.920922570016474,0.1459840926265098,0.9854994308996244,0.12150033968605863,0.522639724177344,0.09218331747371032,0,-0.16234639016897082
KKR,17.132076923076923,8.7095,2.0758571428571426,-26823.359083726064,5.021999999999999,0.2471988133685337,0.015093548205455633,0.10417512267301428,-11.57081794589468,3.915237922101908,1.940973457842004,3.7585222174897965,3.032995868654607,0.14488630124133747,-0.4069694012285436,-5.370023834049834
L,22.930200000000003,0,0.8461333333333333,5.815585522088968,1.1039333333333334,0.04178743691037076,0.00962382709070384,0.07676125345192657,-0.5808358394690449,0.16444752592927991,0.4694247952345489,-0.12127757198652596,0.020592172070798036,0.1253735010558546,0,0.02539959040512235
LAZ,51.71226666666667,11.289533333333333,6.424066666666667,7.813458869603857,2.0855333333333332,0.3938503359815636,0.069482047970819,0.031146443916043667,-7.434579928423283,0.17155223334202369,-0.42963538742572605,-0.4492183854601768,0.06297928524825225,2.2308180079276565,0.6929840619334723,-0.22443664756323684
MA,32.705866666666665,22.464333333333336,29.8852,45.490018053126384,13.055133333333334,0.8903209335941833,0.2592282181460706,0.5255082811975359,-10.356380823767724,1.096785299990995,1.2373548362205329,0.20663336636429525,1.1522746555303378,0.49329045311205677,0.2863947294229369,1.1502255090144724
MCO,26.8106,16.6356,84.414,48.91336009398108,7.007466666666669,3.487368296436604,0.14373641086896272,0.10092919353401904,-10.06141129858597,0.8033310040881005,0.9964176248950669,nan,nan,1.4241311739057454,0.7556324989780951,1.071119958117352
MET,12.025466666666665,0,0.9378666666666666,4.067550483149259,0.7532666666666665,0.06882106805985674,0.0051366319031210615,0.18997898693535548,-5.378660508083141,0.06287240942773298,-0.2395597809801415,-0.46783172974634174,-0.09010049709511746,0.027037895011351513,0,0.1481291509793139
MS,17.397333333333332,0,1.1417333333333333,16.286458801953426,2.1512,0.0888770320997074,0.00753558766506865,0.033799313262720634,-3.6298460294712087,0.4339419978517724,-0.2395597809801415,0.33665103489974924,0.36595504813960333,0.22295091046657797,0,-2.2684236154823694
MTB,14.744333333333335,0,1.3472,9.474478393929875,3.321,0.10123860073724755,0.012618881899022471,0.21509368307277488,-11.373418029448665,0.7014486865791787,-0.2395597809801415,0.9675989246118502,0.894758940928931,0.058666910709567394,0,1.1404460153104845
ONB,21.8322,0,1.1480666666666666,8.577198613031154,3.069200000000001,0.09211937605931386,0.011237586611282675,0.12742381255766508,-4.076346530960889,1.422684570060164,-0.2395597809801415,1.835774265931793,2.0526994572333224,0.08819063239217674,0,1.424656045909594
OPY,14.599266666666669,15.224533333333337,0.6162,12.3873884427865,0.35733333333333334,0.06511639556746363,0.014121288920838677,0.025786699747041186,-3.897342806394316,0.25942626527219076,0.47313143954157744,0.4051832580122815,0.11009114914337317,0.547619085007533,-0.6091177397884118,-3.178177098140838
OZK,15.020000000000001,0,1.9888666666666666,9.433621833696433,5.623733333333334,0.13218784745529794,0.021053845097374062,0.5319118753426928,-7.883647987322978,1.3513814324996727,0.47313143954157744,1.3487944624709427,1.4923423934961337,0.03958145338231033,0,1.666385895334582
