Stock,P/E,EV/EBITDA,P/B,P/CF,P/S,ROE,ROA,ROD,ROI,Revenue,Profit,Equity,Assets,D/A,Ebitda Growth,CF Growth,,Stock,O-Score
HAS,23.78826667,12.87206667,4.502133333,21.26095836,1.818,0.1253503788,0.04211591122,0.1197438322,-1.849814361,-0.04688176822,0.03938494161,-0.4607069569,0.1160901042,0.3517167478,-0.3193789135,0.6702262247,,HAS,0.535831041
HD,22.09686667,12.964,92.8332,55.83138107,1.799866667,1.079134774,0.1836293916,0.4228200659,-4.618119623,0.4841860783,0.4676482585,-0.8735587637,0.5771988662,0.4342967764,0.3991052144,0.7697189537,,HD,1.472169769
HMC,12.95166667,7.3084,0.9109333333,0.1668005122,0.4977333333,0.08296320597,0.03312143686,0.1663038919,-0.7333757032,0.582601181,0.5478861026,0.8110079717,0.6954400114,0.1991621271,-0.6675058836,-0.5681146922,,HMC,9.252496295
HOG,22.43046667,14.24193333,3.4504,10.12665079,1.553733333,0.2349029459,0.05283597959,0.1212100734,-2.792319573,0.08377236631,0.02142815888,0.4483176973,0.2158645984,0.4359041959,-0.2413249138,-0.02954770347,,HOG,1.031947371
HRB,18.02353333,9.272666667,13.98986667,25.63567996,1.8922,0.5601439914,0.1082090755,0.3522606819,-4.977400146,0.1394292318,0.2295367232,-0.8852232699,-0.2122040218,0.3071846535,0.10928176,0.1968141626,,HRB,0.9903111414
H,56.66025,17.14766667,2.0344,49.78448652,2.057733333,0.04442206557,0.0222337787,0.104094093,-0.7240750391,0.5878421086,0.5684547638,-0.1454466983,0.5400832067,0.2135930874,-0.3874968412,1.102826914,,H,0.7415300787
KMX,19.7722,18.35106667,3.241866667,-68.18739707,0.7358,0.1833648796,0.04195939609,0.06382693061,-2.190943441,0.5096466555,0.2720549268,0.8348342085,0.8800589306,0.657393293,0.0465876643,-3.432897397,,KMX,1.201387141
LCII,22.23026667,10.7268,3.065666667,17.76419775,1.050933333,0.2013603473,0.1016982894,0.3971508348,-2.067874097,0.8423428722,0.8302541747,1.378026844,1.622994609,0.2560696856,0.1474997203,1.602831407,,LCII,1.855581531
LE,24.51533333,7.7168,1.7143,6.056030228,0.401,0.03479460701,0.01436485406,0.05700147949,-0.4782763412,-0.04349266895,-0.02524797619,-0.4024528833,-0.1713819753,0.2520084424,0.8300331744,0.2199304571,,LE,0.8974039802
LOW,22.17573333,11.60766667,9.257333333,38.83672894,1.138,0.4913208136,0.1049822789,0.279107549,-2.62837274,0.2455798959,0.2325227337,-2.956391746,0.1608991286,0.3761355766,0.2586508917,0.617549464,,LOW,0.3280614349
LULU,45.29253333,23.67066667,12.13446667,73.16830865,6.426733333,0.3490578306,0.2327168403,0.03485540502,-2.097917384,2.018872893,2.187834868,2.129730668,2.496620783,6.676635665,-0.4979440095,2.735484185,,LULU,2.437938639
LVS,55.15726667,48.34126667,7.585466667,14.29941258,4.5286,0.2379553891,0.06411433951,0.1243129498,-1.066232452,0.1946815328,0.2854077664,-0.2811457733,0.0243116435,0.5157494821,-0.8104518017,0.3168432647,,LVS,0.5461536418
MAR,49.74893333,15.0398,29.9544,48.28836228,1.9808,1.627975864,0.06463485813,0.1744225683,-3.009328737,0.5646033487,1.008096331,-2.122325837,0.677439869,0.3705647655,0.2876501017,0.9718746128,,MAR,1.156966955
MAT,20.7118,23.26833333,5.124666667,14.34946338,1.467333333,0.1515025604,0.05299303579,0.1614229343,-1.621010089,-0.01249908639,0.01825723311,0.04543886034,0.09501994996,0.3282869069,-0.5802019913,0.7204185625,,MAT,0.7046737104
MCD,23.33153333,14.90613333,5.110733333,65.02196817,5.587,1.213133627,0.1475506,0.2483944483,-2.485166774,0.06283383293,0.3420235814,-2.01854283,0.47781519,0.5940173017,0.2788695481,0.3618573788,,MCD,0.9139495623
MOV,17.70366667,8.1392,1.379066667,13.71080986,1.109933333,0.05683168459,0.04054785996,0.5858998008,-2.794442282,0.1539222992,0.1654490397,0.1577714665,0.2292835591,0.06920613372,-0.2741301356,-0.5004199744,,MOV,1.265585259
M,10.2356,5.119933333,2.2236,3.582076113,0.4118666667,0.1382620966,0.03464067405,0.1168433136,-0.8173384268,-0.07634945414,-0.05247441111,-0.1816239598,-0.1948124897,0.2964711713,0.4992382713,-0.3782520973,,M,1.33073568
