name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
		NetIntangiblesPurchaseAndSale,,,,,,,,,,,,,,,,"-579,000,000","-1,170,000,000",,,,,,,,
			PurchaseOfIntangibles,,,,,,,,,,,,,,,,"-579,000,000","-1,170,000,000",,,,,,,,
		NetInvestmentPropertiesPurchaseAndSale,"-844,000,000","-914,000,000","-112,000,000","-90,000,000","-1,167,000,000","-839,000,000","109,000,000","-474,000,000","-689,000,000","1,958,000,000","-1,270,000,000","-1,524,000,000","-924,000,000","-238,000,000","-464,000,000",,,,,,,,,,
			PurchaseOfInvestmentProperties,"-1,209,000,000","-1,057,000,000","-1,208,000,000","-1,375,000,000","-1,287,000,000","-1,962,000,000","-1,118,000,000","-1,446,000,000","-1,515,000,000","-1,298,000,000","-2,282,000,000","-1,880,000,000","-1,942,000,000","-1,534,000,000","-786,000,000",,,,,,,,,,
			SaleOfInvestmentProperties,"365,000,000","143,000,000","1,096,000,000","1,285,000,000","120,000,000","1,123,000,000","1,227,000,000","972,000,000","826,000,000","3,256,000,000","1,012,000,000","356,000,000","1,018,000,000","1,296,000,000","322,000,000",,,,,,,,,,
		NetBusinessPurchaseAndSale,"-334,000,000","-755,000,000","-709,000,000","820,000,000","-3,066,000,000","-1,081,000,000","-731,000,000","-1,278,000,000","385,000,000","398,000,000","-782,000,000","-1,996,000,000","211,000,000","206,000,000","-3,507,000,000","-69,000,000","-1,696,000,000","-737,000,000","298,000,000","-10,776,000,000","22,000,000","18,000,000","-879,000,000","-276,000,000","-416,000,000"
			PurchaseOfBusiness,"-1,334,000,000","-1,670,000,000","-2,914,000,000","-3,227,000,000","-3,663,000,000","-1,706,000,000","-1,406,000,000","-2,360,000,000","-1,313,000,000","-1,429,000,000","-2,041,000,000","-3,196,000,000","-1,339,000,000","-1,306,000,000","-4,029,000,000","-69,000,000","-2,425,000,000","-737,000,000","-115,000,000","-10,776,000,000","-22,000,000","-18,000,000","-879,000,000","-276,000,000","-416,000,000"
			SaleOfBusiness,"1,000,000,000","915,000,000","2,205,000,000","4,047,000,000","597,000,000","625,000,000","675,000,000","1,082,000,000","1,698,000,000","1,827,000,000","1,259,000,000","1,200,000,000","1,550,000,000","1,512,000,000","522,000,000","940,000,000","729,000,000","526,000,000","413,000,000","0","44,000,000","36,000,000","0","81,000,000","869,000,000"
		NetOtherInvestingChanges,"-163,000,000","-143,000,000","-63,000,000","-46,000,000","139,000,000","-131,000,000","-32,000,000","-346,000,000","-457,000,000","-59,000,000","-341,000,000","-6,481,000,000","-158,000,000","-169,000,000","-186,000,000","-552,000,000","-147,000,000","-2,624,000,000","-690,000,000","-1,817,000,000","-12,397,000,000","7,148,000,000","4,253,000,000","-2,100,000,000","5,234,000,000"
FinancingCashFlow,"-2,490,000,000","-2,940,000,000","-9,948,000,000","-1,126,000,000","10,729,000,000","4,568,000,000","-2,801,000,000","-906,000,000","-3,497,000,000","-1,218,000,000","2,256,000,000","-8,907,000,000","35,000,000","9,382,000,000","13,381,000,000","-4,103,000,000","6,189,000,000","3,942,000,000","239,000,000","5,932,000,000","8,273,000,000","12,068,000,000","6,883,000,000","2,751,000,000","-1,400,000,000"
