name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalAssets,"1,405,858,000","1,234,608,000","1,208,047,000","1,151,962,000","933,619,000","805,014,000","837,155,000","936,166,000","945,846,000","849,452,000","581,398,000","287,560,000","224,851,000","209,878,371","145,727,798"
	CurrentAssets,"307,770,000","262,582,000","335,572,000","313,745,000","237,359,000","258,673,000","262,226,000","225,799,000","234,614,000","258,462,000","308,503,000","213,031,000","175,872,000","199,766,704","138,678,835"
		CashCashEquivalentsAndShortTermInvestments,"178,467,000","143,248,000","200,142,000","198,821,000","143,626,000","174,906,000","159,167,000","156,777,000","166,193,000","182,284,000","230,995,000","151,339,000","132,098,000","160,164,755","103,996,912"
			CashAndCashEquivalents,"178,467,000","143,248,000","200,142,000","198,821,000","143,626,000","174,906,000","159,167,000","156,777,000","166,193,000","182,284,000","230,995,000","151,339,000","132,098,000","158,987,456","101,843,822"
			OtherShortTermInvestments,,,,,,,,,,,,,,"1,177,299","2,153,090"
		Receivables,"114,512,000","103,611,000","122,258,000","103,475,000","83,515,000","73,257,000","93,461,000","59,739,000","60,058,000","69,361,000","71,538,000","56,617,000","39,454,000","36,731,890","31,650,873"
			AccountsReceivable,"108,082,000","89,963,000","116,283,000","101,258,000","81,351,000","71,188,000","89,896,000","59,739,000","60,058,000","69,361,000","71,538,000","56,617,000","39,454,000","36,731,890","31,650,873"
			OtherReceivables,"6,430,000","13,648,000","5,975,000","2,217,000","2,164,000","2,069,000","3,565,000",,,,,,,,
		PrepaidAssets,"14,791,000","15,723,000","12,543,000","10,820,000","9,589,000","9,881,000","8,969,000","8,654,000","7,474,000","5,892,000","4,785,000","3,890,000","3,280,000","2,870,059","3,031,050"
		RestrictedCash,,"0","629,000","629,000","629,000","629,000","629,000","629,000","889,000","925,000","1,185,000","1,185,000","1,040,000",,
	TotalNonCurrentAssets,"1,098,088,000","972,026,000","872,475,000","838,217,000","696,260,000","546,341,000","574,929,000","710,367,000","711,232,000","590,990,000","272,895,000","74,529,000","48,979,000","10,111,667","7,048,963"
		NetPPE,"141,385,000","149,514,000","123,955,000","115,178,000","126,650,000","29,138,000","21,025,000","20,018,000","17,995,000","16,594,000","8,760,000","8,807,000","5,572,000","5,223,097","6,054,989"
			GrossPPE,"193,256,000","195,371,000","167,807,000","152,754,000","158,271,000","60,671,000","48,157,000","44,690,000","39,082,000","33,634,000","27,197,000","24,159,000","19,535,000","17,006,890","15,612,419"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
