name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2003
			Payables,"3,644,000,000","3,621,000,000","2,709,000,000","1,910,000,000","4,146,000,000","2,351,000,000","2,182,000,000","2,440,000,000","982,000,000","1,552,000,000","1,473,000,000","929,000,000","681,000,000","583,000,000","813,000,000","1,376,000,000","296,000,000","217,418,000",
				AccountsPayable,"375,000,000","340,000,000","266,000,000","174,000,000","156,000,000","183,000,000","179,000,000","203,000,000","127,000,000","147,000,000","184,000,000","152,000,000","169,000,000","137,000,000","156,000,000","159,000,000","99,000,000","119,075,000",
				TotalTaxPayable,,,,,,,"243,000,000","153,000,000","75,000,000","73,000,000","64,000,000","58,000,000","63,000,000","40,000,000","23,000,000","122,000,000","147,000,000","9,576,000",
					IncomeTaxPayable,,,,,,,"243,000,000","153,000,000","75,000,000","73,000,000","64,000,000","58,000,000","63,000,000","40,000,000","23,000,000","122,000,000","147,000,000",,
				OtherPayable,"3,269,000,000","3,281,000,000","2,443,000,000","1,736,000,000","3,990,000,000","2,168,000,000","2,003,000,000","2,084,000,000","780,000,000","1,332,000,000","1,225,000,000","719,000,000","449,000,000","406,000,000","634,000,000","1,095,000,000","50,000,000","88,767,000",
			CurrentAccruedExpenses,"6,766,000,000","5,182,000,000","3,317,000,000","2,754,000,000","2,828,000,000","2,594,000,000","2,111,000,000","1,473,000,000","1,281,000,000","1,666,000,000","214,000,000","4,602,000,000","636,000,000","789,000,000","2,086,000,000","2,967,000,000","2,436,000,000","563,209,000",
				InterestPayable,,,,,,,"149,000,000","145,000,000","0",,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"1,506,000,000","1,359,000,000","1,211,000,000","821,000,000","796,000,000","901,000,000","757,000,000","673,000,000","503,000,000","450,000,000","523,000,000","460,000,000","387,000,000","370,000,000","396,000,000","420,000,000","244,000,000","179,557,000",
		CurrentDebtAndCapitalLeaseObligation,,"2,250,000,000","999,000,000","2,999,000,000",,,"1,749,000,000",,,,,,,"12,000,000","12,000,000","51,000,000","41,000,000","32,339,000","174,000,000"
			CurrentDebt,,"2,250,000,000","999,000,000","2,999,000,000",,,"1,749,000,000",,,,,,,"12,000,000","12,000,000","51,000,000","41,000,000","32,339,000","174,000,000"
