name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalEquityGrossMinorityInterest,"291,646,000,000","273,197,000,000","270,066,000,000","272,924,000,000","264,810,000,000","265,325,000,000","267,146,000,000","266,195,000,000","256,176,000,000","243,471,000,000","232,685,000,000","236,956,000,000","230,101,000,000","228,248,000,000","231,444,000,000","177,052,000,000","146,803,000,000","135,272,000,000","101,533,000,000","99,645,000,000","47,980,000,000","56,350,000,000","48,520,000,000","52,583,000,000","44,432,000,000","45,938,000,000","44,584,000,000","13,709,000,000","12,801,000,000","11,011,000,000","9,979,000,000","7,814,000,000"
	StockholdersEquity,"291,646,000,000","273,197,000,000","270,066,000,000","272,924,000,000","264,810,000,000","265,325,000,000","267,146,000,000","266,195,000,000","256,176,000,000","243,471,000,000","232,685,000,000","236,956,000,000","230,101,000,000","228,248,000,000","231,444,000,000","177,052,000,000","146,803,000,000","135,272,000,000","101,533,000,000","99,645,000,000","47,980,000,000","50,319,000,000","48,520,000,000","47,628,000,000","44,432,000,000","45,938,000,000","44,584,000,000","13,709,000,000","12,801,000,000","11,011,000,000","9,979,000,000","7,814,000,000"
		CapitalStock,"84,762,000,000","87,350,000,000","87,106,000,000","110,492,000,000","115,124,000,000","141,222,000,000","160,412,000,000","172,258,000,000","173,315,000,000","172,767,000,000","168,645,000,000","176,910,000,000","175,018,000,000","167,467,000,000","165,942,000,000","114,467,000,000","64,737,000,000","64,425,000,000","41,964,000,000","44,507,000,000","68,000,000","554,000,000","5,141,000,000","8,685,000,000","11,748,000,000","83,000,000","708,000,000","171,000,000","105,000,000","111,000,000","208,000,000","119,000,000"
			PreferredStock,"28,397,000,000","28,397,000,000","24,708,000,000","24,510,000,000","23,401,000,000","22,326,000,000","22,323,000,000","25,220,000,000","22,273,000,000","19,309,000,000","13,352,000,000","18,768,000,000","18,397,000,000","16,562,000,000","37,208,000,000","37,701,000,000","4,409,000,000","2,851,000,000","271,000,000","271,000,000","54,000,000","58,000,000","65,000,000","72,000,000","77,000,000","83,000,000","708,000,000","171,000,000","105,000,000","111,000,000","208,000,000","119,000,000"
			CommonStock,"56,365,000,000","58,953,000,000","62,398,000,000","85,982,000,000","91,723,000,000","118,896,000,000","138,089,000,000","147,038,000,000","151,042,000,000","153,458,000,000","155,293,000,000","158,142,000,000","156,621,000,000","150,905,000,000","128,734,000,000","76,766,000,000","60,328,000,000","61,574,000,000","41,693,000,000","44,236,000,000","14,000,000","496,000,000","5,076,000,000","8,613,000,000","11,671,000,000",,,,,,,
		RetainedEarnings,"224,672,000,000","207,003,000,000","188,064,000,000","164,088,000,000","156,319,000,000","136,314,000,000","113,816,000,000","101,225,000,000","88,219,000,000","75,024,000,000","72,497,000,000","62,843,000,000","60,520,000,000","60,849,000,000","71,233,000,000","73,823,000,000","81,393,000,000","79,024,000,000","67,552,000,000","58,006,000,000","50,213,000,000","48,517,000,000","42,980,000,000","39,815,000,000","35,681,000,000","30,998,000,000","28,438,000,000","9,673,000,000","7,826,000,000","6,451,000,000","5,247,000,000","4,179,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-17,788,000,000","-21,156,000,000","-5,104,000,000","-1,656,000,000","-6,633,000,000","-12,211,000,000","-7,082,000,000","-7,288,000,000","-5,358,000,000","-4,320,000,000","-8,457,000,000","-2,797,000,000","-5,437,000,000","-66,000,000","-5,619,000,000","-10,825,000,000","1,129,000,000","-7,711,000,000","-7,556,000,000","-2,868,000,000","-2,301,000,000","1,248,000,000","399,000,000","-872,000,000","-2,997,000,000",,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,,,"-704,000,000","296,000,000",,,,,,,,,,,,,,,
			OtherEquityAdjustments,"-17,788,000,000","-21,156,000,000","-5,104,000,000","-1,656,000,000","-6,633,000,000","-12,211,000,000","-7,082,000,000","-7,288,000,000","-5,358,000,000","-4,320,000,000","-8,457,000,000","-2,797,000,000","-5,437,000,000","-66,000,000","-5,619,000,000","-10,825,000,000","1,129,000,000","-7,711,000,000","-7,556,000,000",,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,"-2,000,000","-112,000,000","-413,000,000","-456,000,000","-466,000,000","-427,000,000",,,,,,,"14,857,000,000","15,438,000,000","3,865,000,000","4,870,000,000","4,449,000,000","4,524,000,000","3,516,000,000"
	MinorityInterest,,,,,,,,,,,,,,,,,,,,,,"6,031,000,000",,"4,955,000,000",,,,,,,,
TotalCapitalization,"593,850,000,000","549,179,000,000","550,183,000,000","535,858,000,000","505,666,000,000","494,717,000,000","494,548,000,000","483,018,000,000","492,940,000,000","486,610,000,000","482,359,000,000","512,541,000,000","602,366,000,000","676,679,000,000","669,965,000,000","445,344,000,000","344,311,000,000","281,787,000,000","202,381,000,000","197,723,000,000","123,323,000,000","111,464,000,000","116,546,000,000","115,175,000,000","104,873,000,000","91,826,000,000","87,471,000,000","36,694,000,000","30,576,000,000","22,018,000,000","18,304,000,000","10,856,000,000"
PreferredStockEquity,"28,397,000,000","28,397,000,000","24,708,000,000","24,510,000,000","23,401,000,000","22,326,000,000","22,323,000,000","25,220,000,000","22,273,000,000","19,309,000,000","13,352,000,000","18,768,000,000","18,397,000,000","16,562,000,000","37,208,000,000","37,701,000,000","4,409,000,000","2,851,000,000","271,000,000","271,000,000","54,000,000","58,000,000","65,000,000","72,000,000","77,000,000","83,000,000","708,000,000","171,000,000","105,000,000","111,000,000","208,000,000","119,000,000"
CommonStockEquity,"263,249,000,000","244,800,000,000","245,358,000,000","248,414,000,000","241,409,000,000","242,999,000,000","244,823,000,000","240,975,000,000","233,903,000,000","224,162,000,000","219,333,000,000","218,188,000,000","211,704,000,000","211,686,000,000","194,236,000,000","139,351,000,000","142,394,000,000","132,421,000,000","101,262,000,000","99,374,000,000","47,926,000,000","50,261,000,000","48,455,000,000","47,556,000,000","44,355,000,000","45,855,000,000","43,876,000,000","13,538,000,000","12,696,000,000","10,900,000,000","9,771,000,000","7,695,000,000"
CapitalLeaseObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,000,000","24,000,000"
NetTangibleAssets,"222,625,000,000","204,175,000,000","201,044,000,000","203,973,000,000","195,859,000,000","196,374,000,000","198,195,000,000","194,479,000,000","179,560,000,000","165,552,000,000","152,215,000,000","154,445,000,000","144,603,000,000","129,287,000,000","113,330,000,000","73,527,000,000","55,630,000,000","57,143,000,000","50,179,000,000","50,496,000,000","35,617,000,000","37,835,000,000","36,372,000,000","34,486,000,000","30,440,000,000","31,230,000,000","26,790,000,000","11,679,000,000","11,287,000,000","9,299,000,000","8,612,000,000","6,914,000,000"
InvestedCapital,"597,551,000,000","547,714,000,000","549,228,000,000","530,669,000,000","506,469,000,000","492,580,000,000","504,891,000,000","481,742,000,000","498,765,000,000","498,473,000,000","515,006,000,000","524,504,000,000","619,667,000,000","720,079,000,000","702,281,000,000","565,699,000,000","530,991,000,000","420,236,000,000","318,379,000,000","276,050,000,000","165,747,000,000","136,640,000,000","138,698,000,000","157,301,000,000","152,467,000,000","123,234,000,000","104,808,000,000","41,146,000,000","37,387,000,000","27,547,000,000","33,973,000,000","16,642,000,000"
TangibleBookValue,"194,228,000,000","175,778,000,000","176,336,000,000","179,463,000,000","172,458,000,000","174,048,000,000","175,872,000,000","169,259,000,000","157,287,000,000","146,243,000,000","138,863,000,000","135,677,000,000","126,206,000,000","112,725,000,000","76,122,000,000","35,826,000,000","51,221,000,000","54,292,000,000","49,908,000,000","50,225,000,000","35,563,000,000","37,777,000,000","36,307,000,000","34,414,000,000","30,363,000,000","31,147,000,000","26,082,000,000","11,508,000,000","11,182,000,000","9,188,000,000","8,404,000,000","6,795,000,000"
TotalDebt,"334,302,000,000","302,914,000,000","303,870,000,000","282,255,000,000","265,060,000,000","249,581,000,000","260,068,000,000","240,767,000,000","264,862,000,000","274,311,000,000","295,673,000,000","306,316,000,000","407,963,000,000","508,393,000,000","508,045,000,000","426,348,000,000","388,597,000,000","287,815,000,000","217,117,000,000","176,676,000,000","117,821,000,000","86,379,000,000","90,243,000,000","109,745,000,000","108,112,000,000","77,379,000,000","60,932,000,000","27,608,000,000","24,691,000,000","16,647,000,000","24,229,000,000","8,971,000,000"
NetDebt,,"65,452,000,000",,,"96,393,000,000","64,683,000,000","91,481,000,000","83,168,000,000","97,765,000,000","128,212,000,000","152,811,000,000","176,870,000,000","261,857,000,000","373,533,000,000","362,504,000,000","383,921,000,000","334,293,000,000","237,434,000,000","167,318,000,000","135,379,000,000","82,686,000,000","54,593,000,000","57,474,000,000","76,784,000,000","76,285,000,000","42,352,000,000","24,103,000,000","16,832,000,000","14,947,000,000","4,906,000,000","15,074,000,000",
ShareIssued,"7,895,457,665","7,996,777,943","8,077,831,463","8,650,814,105","8,836,148,954","9,669,286,370","10,287,302,431","10,052,625,604","10,380,265,063","10,516,542,476","10,591,808,296","10,778,263,628","10,535,937,957","10,085,154,806","8,650,243,926","6,401,387,626","4,442,228,781","4,472,315,428","4,648,802,068","4,053,638,403","2,882,287,572","3,001,382,206","3,118,594,440","3,227,264,000","3,354,546,000","3,448,968,000","1,424,376,000","1,483,010,308","1,201,849,328","1,105,808,000","1,083,620,000","1,011,960,000"
OrdinarySharesNumber,"7,895,457,665","7,996,777,943","8,077,831,463","8,650,814,105","8,836,148,954","9,669,286,370","10,287,302,431","10,052,625,604","10,380,265,063","10,516,542,476","10,591,808,296","10,778,263,628","10,535,937,957","10,085,154,806","8,650,243,926","6,401,387,626","4,442,228,781","4,472,315,428","4,648,802,068","4,053,638,403","2,882,287,572","3,001,382,206","3,118,594,440","3,227,264,000","3,354,546,000","3,448,968,000","1,424,376,000","1,483,010,308","1,201,849,328","1,105,808,000","1,083,620,000","1,011,960,000"
PreferredSharesNumber,"409,797,858","406,711,800",,"250,320,600","333,407,892","224,987,892","277,249,492","291,833,492","211,833,953","167,833,953","123,833,953","123,833,953","388,268,072","3,943,660","5,246,660","8,202,042",,,,,,,,,,,,,,,,
