name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
TotalRevenue,"18,495,000,000","18,837,000,000","20,762,000,000","18,520,000,000","11,691,000,000","10,721,000,000","10,132,000,000","8,618,000,000","7,478,000,000","6,369,000,000","6,054,000,000","5,434,000,000","4,899,000,000","4,709,000,000","4,275,000,000","4,108,000,000","5,211,000,000","4,994,000,000","4,309,000,000","3,619,000,000","4,202,000,000","4,087,000,000","4,091,000,000","4,292,000,000","5,788,000,000","4,486,000,000","2,736,200,000","2,298,800,000","1,850,900,000","1,419,900,000","1,064,600,000","965,000,000","749,500,000","569,500,000","387,400,000","345,900,000",,
	NetInterestIncome,"8,758,000,000","9,427,000,000","10,682,000,000","8,030,000,000","6,113,000,000","6,516,000,000","5,823,000,000","4,282,000,000","3,322,000,000","2,525,000,000","2,272,000,000","1,980,000,000","1,764,000,000","1,725,000,000","1,524,000,000","1,062,000,000","1,682,000,000","1,647,000,000","1,434,000,000","1,022,000,000","936,000,000","729,000,000","824,000,000","911,000,000","1,237,000,000","820,000,000","475,600,000","353,600,000","255,000,000","210,900,000","164,700,000","119,800,000","91,500,000","76,600,000","71,000,000","65,600,000",,
		InterestIncome,"15,748,000,000","16,111,000,000","12,227,000,000","8,506,000,000","6,531,000,000","7,580,000,000","6,680,000,000","4,624,000,000","3,493,000,000","2,657,000,000","2,374,000,000","2,085,000,000","1,914,000,000","1,900,000,000","1,723,000,000","1,428,000,000","1,908,000,000","2,270,000,000","2,113,000,000","1,523,000,000","1,213,000,000","970,000,000","1,158,000,000","1,821,000,000","2,589,000,000","1,718,000,000","1,127,500,000","900,100,000","680,900,000","568,100,000","362,900,000","252,200,000","251,000,000","302,200,000","309,500,000","272,900,000",,
			InterestIncomeFromLoansAndLease,"1,763,000,000","1,664,000,000","1,083,000,000","620,000,000","545,000,000","584,000,000","559,000,000","472,000,000","400,000,000","369,000,000","355,000,000","329,000,000","310,000,000","313,000,000","279,000,000","246,000,000","231,000,000","1,028,000,000","965,000,000","732,000,000","729,000,000","577,000,000","695,000,000","1,072,000,000","1,991,000,000","1,158,000,000",,,,,,,,,,,,
				InterestIncomeFromLoans,"1,763,000,000","1,664,000,000","1,083,000,000","620,000,000","545,000,000","584,000,000","559,000,000","472,000,000","400,000,000","369,000,000","355,000,000","329,000,000","310,000,000","313,000,000","279,000,000","246,000,000","231,000,000","1,028,000,000","965,000,000","732,000,000","729,000,000","577,000,000","695,000,000","1,072,000,000","1,991,000,000","1,158,000,000",,,,,,,,,,,,
			InterestIncomeFromSecurities,"5,274,000,000","5,859,000,000","5,827,000,000","4,641,000,000","4,537,000,000","5,151,000,000","4,589,000,000","3,169,000,000","2,285,000,000","1,586,000,000","1,374,000,000","1,167,000,000","980,000,000","948,000,000","847,000,000","595,000,000","518,000,000","1,042,000,000","928,000,000","650,000,000","432,000,000","358,000,000","413,000,000","634,000,000","407,000,000","461,000,000",,,,,,,,,,,,
			InterestIncomeFromDeposits,,,,,,,,,,,,,,,"76,000,000","113,000,000","409,000,000",,,,,,,,,,,,,,,,,,,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"354,000,000","419,000,000","471,000,000","720,000,000","334,000,000","147,000,000","118,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInterestIncome,"8,357,000,000","8,169,000,000","4,846,000,000","2,525,000,000","1,115,000,000","1,698,000,000","1,414,000,000","983,000,000","808,000,000","702,000,000","645,000,000","589,000,000","624,000,000","639,000,000","597,000,000","474,000,000","750,000,000","200,000,000","220,000,000","141,000,000","52,000,000","35,000,000","50,000,000","115,000,000","191,000,000","99,000,000",,,,,,,,,,,,
		InterestExpense,"6,990,000,000","6,684,000,000","1,545,000,000","476,000,000","418,000,000","1,064,000,000","857,000,000","342,000,000","171,000,000","132,000,000","102,000,000","105,000,000","150,000,000","175,000,000","199,000,000","366,000,000","226,000,000","623,000,000","679,000,000","501,000,000","277,000,000","241,000,000","334,000,000","910,000,000","1,352,000,000","898,000,000","651,900,000","546,500,000","425,900,000","357,200,000","198,200,000","132,400,000","159,500,000","225,600,000","238,500,000","207,300,000",,
			InterestExpenseForDeposit,"3,643,000,000","3,363,000,000","723,000,000","54,000,000","93,000,000","700,000,000","545,000,000","148,000,000","37,000,000","29,000,000","30,000,000","31,000,000","42,000,000","62,000,000","105,000,000","107,000,000","104,000,000","238,000,000","200,000,000","74,000,000","105,000,000","96,000,000","94,000,000","128,000,000","1,231,000,000","818,000,000",,,,,,,,,,,,
			InterestExpenseForShortTermDebt,"424,000,000","375,000,000","48,000,000","9,000,000","0","0","54,000,000","41,000,000","9,000,000","0","0",,,,"0","0","1,000,000",,,"32,000,000","18,000,000","14,000,000","23,000,000","27,000,000","20,000,000","8,000,000",,,,,,,,,,,,
