name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
		GrossLoan,"16,213,773,000","15,259,126,000","13,492,828,000","11,289,268,000","9,582,004,000","8,320,705,000","6,616,657,000","5,757,390,000","5,135,195,000","4,534,821,000","4,109,576,000","3,542,926,000","3,561,592,000","3,825,502,000","4,130,245,000","4,130,193,000","3,611,535,000","3,204,179,000","2,435,842,000","1,728,297,000","1,456,630,000","1,323,596,000","1,342,992,000","741,360,000","658,930,000","523,341,000","470,900,000","389,900,000","283,100,000","263,200,000","222,600,000","188,800,000","137,700,000"
			LoansHeldForSale,"15,691,000","12,314,000","60,797,000","166,572,000","69,194,000","33,156,000","38,833,000","72,927,000","56,514,000","46,726,000","46,738,000","145,501,000","95,457,000","76,213,000","66,330,000","54,976,000",,,,,,,,,,,,,,,,,
			CommercialLoan,"2,901,863,000","2,799,668,000","2,664,190,000","3,054,817,000","2,094,254,000","1,911,171,000","1,579,353,000","1,342,250,000","1,099,564,000","925,900,000","852,036,000","623,397,000","623,868,000","2,451,091,000",,,,,,,,,,,,,,,,,,,
			ConsumerLoan,"400,356,000","381,857,000","348,839,000","313,071,000","295,660,000","286,387,000","242,686,000","242,951,000","235,351,000","218,514,000","217,501,000","198,128,000","212,832,000","665,321,000","4,063,915,000","4,075,217,000",,,,,,,,,,,,,,,,,
			MortgageLoan,"12,895,863,000","12,065,287,000","10,419,002,000","7,754,808,000","7,122,896,000","6,089,991,000","4,755,785,000","4,099,262,000","3,743,766,000","3,343,681,000","2,993,301,000","2,575,900,000","2,629,435,000","632,877,000",,,,,,,,,,,,,,,,,,,
			OtherLoanAssets,,,,,,,,,,,,,,,,"4,130,193,000","3,611,535,000","3,204,179,000","2,435,842,000","1,728,297,000","1,456,630,000","1,323,596,000","1,342,992,000","741,360,000","658,930,000","523,341,000","470,900,000","389,900,000","283,100,000","263,200,000","222,600,000",,
		AllowanceForLoansAndLeaseLosses,"192,757,000","182,283,000","172,665,000","158,243,000","124,490,000","131,239,000","129,568,000","129,572,000","129,697,000","129,753,000","130,351,000","130,854,000","137,516,000","137,107,000","142,927,000","76,739,000","54,413,000","38,655,000","38,655,000","26,492,000","23,990,000","20,944,000","18,654,000","7,799,000","6,722,000","5,133,000","4,000,000","3,300,000","2,100,000","1,900,000","1,800,000",,
		UnearnedIncome,,,,,,,,,,,,,,,,,,,,,"-2,275,000","-1,999,000","-2,011,000",,,,,,,"-3,100,000","-3,400,000",,
	Receivables,"94,526,000","83,538,000","76,673,000","75,497,000","56,047,000","54,408,000","44,462,000","45,832,000","44,524,000","40,587,000","41,898,000","37,770,000","34,961,000","30,246,000","29,729,000","28,777,000","26,168,000","25,729,000","19,923,000","15,637,000","14,941,000","13,421,000","12,409,000","6,637,000","5,611,000","4,348,000","4,200,000","3,500,000","2,600,000","2,000,000","1,600,000","1,800,000","1,500,000"
		AccountsReceivable,"94,526,000","83,538,000","76,673,000","75,497,000","56,047,000","54,408,000","44,462,000","45,832,000","44,524,000","40,587,000","41,898,000","37,770,000","34,961,000","30,246,000","29,729,000","28,777,000","26,168,000","25,729,000","19,923,000","15,637,000","14,941,000","13,421,000","12,409,000","6,637,000","5,611,000","4,348,000","4,200,000","3,500,000","2,600,000","2,000,000","1,600,000","1,800,000",
