name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
OperatingCashFlow,"461,339,000","164,662,000","833,984,000","866,079,000","575,931,000","677,953,000","699,038,000","1,029,115,000","632,601,000","887,296,000","736,017,000","526,697,000","481,908,000","397,802,000","168,798,000","244,775,000","505,895,000","71,730,000","238,039,000","894,562,000","534,053,000"
	CashFlowFromContinuingOperatingActivities,"461,339,000","164,662,000","833,984,000","866,079,000","575,931,000","677,953,000","699,038,000","1,029,115,000","632,601,000","887,296,000","736,017,000","526,697,000","481,908,000","397,802,000","168,798,000","244,775,000","505,895,000","71,730,000","238,039,000","894,562,000","534,053,000"
		NetIncomeFromContinuingOperations,"170,545,000","-57,307,000","392,483,000","542,545,000","402,692,000","297,716,000","532,449,000","259,847,000","393,692,000","992,932,000","434,063,000","165,114,000","92,785,000","190,559,000","194,423,000","-188,245,000","-239,000","155,042,000","92,985,000","143,486,000","246,974,000"
		OperatingGainsLosses,,"19,755,000","32,000","23,645,000",,"6,505,000","6,523,000",,"3,148,000","35,831,000",,"50,757,000",,"-18,171,000","9,278,000","1,567,000","-20,253,000",,,,
			GainLossOnSaleOfBusiness,"0","17,929,000","0","0",,,,"0","0","-24,388,000","0","0",,,,,"0","0",,,
			NetForeignCurrencyExchangeGainLoss,,"1,826,000","32,000","23,645,000","0","0",,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,"8,854,000",,,,,,
		DepreciationAmortizationDepletion,"39,839,000","43,187,000","42,396,000","38,375,000","36,890,000","54,982,000","18,206,000","41,012,000","68,511,000","38,606,000","40,851,000","44,864,000","39,214,000","36,495,000","30,579,000","27,531,000","25,421,000","38,257,000","40,600,000","18,243,000","16,938,000"
			DepreciationAndAmortization,"39,839,000","43,187,000","42,396,000","38,375,000","36,890,000","54,982,000","18,206,000","41,012,000","68,511,000","38,606,000","40,851,000","44,864,000","39,214,000","36,495,000","30,579,000","27,531,000","25,421,000","38,257,000","40,600,000","18,243,000","16,938,000"
				Depreciation,"39,512,000","42,853,000","42,336,000","38,315,000","35,095,000","35,572,000","34,103,000","31,498,000","33,264,000","32,785,000","34,464,000","34,750,000","30,855,000","24,580,000","22,712,000","22,541,000","20,825,000","16,734,000",,,
				AmortizationCashFlow,"327,000","334,000","60,000","60,000","1,795,000","19,410,000","-15,897,000","9,514,000","35,247,000","5,821,000","6,387,000","10,114,000","8,359,000","11,915,000","7,867,000","4,990,000","4,596,000","21,523,000",,,
					AmortizationOfIntangibles,"327,000","334,000","60,000","60,000","1,795,000","19,410,000","-15,897,000","9,514,000","35,247,000","5,821,000","6,387,000","10,114,000","8,359,000","11,915,000","7,867,000","4,990,000","4,596,000","21,523,000",,,
