name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
	StockholdersEquity,"26,957,000,000","25,318,000,000","17,903,405,000","16,187,283,000","15,716,649,000","15,460,191,000","16,250,819,000","16,486,622,000","16,173,289,000","12,335,896,000","11,305,532,000","10,202,593,000","9,271,209,000","8,357,695,000","7,752,907,000","6,784,731,000","6,485,256,000","6,281,095,000","5,876,386,000","5,729,614,000","5,717,210,000","3,208,479,000","2,939,451,000","2,700,485,000","1,797,000,000","1,602,400,000","1,030,300,000","905,700,000","846,300,000","721,000,000","723,900,000","626,800,000","535,800,000","437,200,000","406,300,000"
		CapitalStock,"2,102,000,000","2,102,000,000","1,831,083,000","1,331,215,000","1,331,437,000","1,313,109,000","1,313,256,000","1,313,618,000","1,313,646,000","1,300,265,000","949,673,000","940,061,000","931,499,000","805,044,000","794,775,000","632,278,000","64,974,000","65,258,000","65,561,000","60,198,000","60,053,000","54,760,000","54,732,000","50,699,000","44,400,000",,,,"40,000,000","40,000,000","40,000,000","40,000,000","40,000,000",,
			PreferredStock,"2,011,000,000","2,011,000,000","1,750,000,000","1,250,000,000","1,250,000,000","1,231,500,000","1,231,500,000","1,231,500,000","1,231,500,000","1,231,500,000","881,500,000","872,500,000","864,585,000","740,657,000","730,235,000","567,463,000","0",,,,,,,,,,,,"40,000,000","40,000,000","40,000,000","40,000,000","40,000,000",,
			CommonStock,"91,000,000","91,000,000","81,083,000","81,215,000","81,437,000","81,609,000","81,756,000","82,118,000","82,146,000","68,765,000","68,173,000","67,561,000","66,914,000","64,387,000","64,540,000","64,815,000","64,974,000","65,258,000","65,561,000","60,198,000","60,053,000","54,760,000","54,732,000","50,699,000","44,400,000",,,,,,,,,,
		RetainedEarnings,"17,524,000,000","15,754,000,000","14,646,448,000","13,444,428,000","12,820,916,000","11,516,672,000","10,164,804,000","9,222,488,000","8,430,502,000","7,807,119,000","7,188,004,000","6,477,276,000","5,867,165,000","5,426,701,000","5,076,884,000","5,062,754,000","4,815,585,000","4,443,441,000","3,854,275,000","3,270,887,000","2,736,215,000","2,297,848,000","2,017,700,000","1,735,643,000","1,501,500,000","1,271,100,000","1,092,100,000","937,100,000","805,500,000","694,300,000","595,300,000","510,000,000","426,400,000","371,400,000","325,800,000"
		AdditionalPaidInCapital,"10,020,000,000","10,002,000,000","6,635,000,000","6,617,404,000","6,593,539,000","6,579,342,000","6,590,855,000","6,676,948,000","6,680,768,000","3,409,506,000","3,232,014,000","3,025,520,000","2,828,986,000","2,398,615,000","2,442,947,000","2,897,907,000","2,848,752,000","2,889,449,000","2,886,153,000","2,897,912,000","2,888,963,000","1,192,998,000","1,096,340,000","914,575,000","458,700,000",,,,,,,,,,
		TreasuryStock,"2,230,000,000","1,750,000,000","5,081,548,000","5,142,732,000","4,822,563,000","3,528,851,000","1,454,282,000","431,796,000","0",,,,"0","67,445,000","225,702,000","1,071,327,000","1,129,233,000","1,063,479,000","831,673,000","487,953,000",,"391,899,000","252,140,000",,"181,600,000",,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-459,000,000","-790,000,000","-127,578,000","-63,032,000","-206,680,000","-420,081,000","-363,814,000","-294,636,000","-251,627,000","-180,994,000","-64,159,000","-240,264,000","-356,441,000","-205,220,000","-335,997,000","-736,881,000","-114,822,000","-53,574,000","-97,930,000","-11,430,000","31,979,000","54,772,000","22,819,000","-432,000","-26,000,000","2,900,000","12,000,000","-2,500,000","-3,200,000","-50,600,000",,,,,
			OtherEquityAdjustments,"-459,000,000","-790,000,000","-127,578,000","-63,032,000","-206,680,000","-420,081,000","-363,814,000","-294,636,000","-251,627,000","-180,994,000","-64,159,000","-240,264,000","-356,441,000","-205,220,000","-335,997,000","-736,881,000","-114,822,000","-53,574,000","-97,930,000",,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,"4,189,000","4,342,000",,,,,,,,,,,"328,400,000","-73,800,000","-28,900,000","4,000,000","37,300,000","88,600,000","76,800,000","69,400,000","65,800,000","80,500,000"
