name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
TotalAssets,"34,237,457,000","27,656,568,000","26,530,430,000","27,162,596,000","23,555,728,000","22,388,030,000","21,275,647,000","18,890,142,000","9,879,459,000","6,766,499,000","4,791,170,000","4,040,207,000","3,841,651,000","3,273,659,000","2,770,811,000","3,233,303,000","2,710,875,000","2,529,400,000","2,134,882,000","1,726,840,000","1,386,529,000","1,035,853,000","871,379,000","826,952,000","796,000,000","612,400,000","352,100,000","270,600,000"
	CashCashEquivalentsAndFederalFundsSold,"2,149,529,000","1,033,454,000","2,053,829,000","2,393,662,000","1,495,757,000","290,672,000","440,388,000","866,360,000","90,988,000","150,203,000","195,975,000","207,967,000","58,927,000","49,029,000","78,294,000","40,982,000","47,521,000","42,734,000","40,586,000","41,548,000","28,833,000","25,182,000","31,332,000","22,540,000","24,600,000","15,000,000","18,500,000","7,200,000"
		CashAndCashEquivalents,"2,149,529,000","1,033,454,000","2,053,829,000","2,393,662,000","1,495,757,000","290,672,000","440,388,000","866,360,000","90,988,000","150,203,000","195,975,000","207,967,000","58,927,000","49,029,000","78,294,000","40,982,000","47,521,000","42,734,000","40,586,000","41,548,000","28,833,000","25,182,000","31,332,000","20,540,000","24,600,000","15,000,000","15,600,000","6,800,000"
			CashFinancial,,,,,,,,"814,255,000","89,122,000","147,751,000","195,094,000","206,500,000","58,247,000",,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,,,,,"40,665,000","47,192,000","42,531,000","40,379,000","41,107,000","28,405,000","24,755,000","31,114,000","20,523,000","24,300,000",,,
			CashAndDueFromBanks,"2,149,529,000","1,033,454,000","2,053,829,000","2,393,662,000","1,495,757,000","290,672,000","440,388,000","866,360,000","1,866,000","2,452,000","881,000","1,467,000","680,000","49,029,000","78,294,000","40,982,000","329,000","203,000","207,000","441,000","428,000","427,000","218,000","17,000","300,000","15,000,000","15,600,000","6,800,000"
			InterestBearingDepositsAssets,,,,,,,,,,"2,452,000","881,000",,,,,"317,000",,"203,000","207,000",,"428,000",,,"17,000",,,,
		MoneyMarketInvestments,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000",,,"2,900,000","400,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000",,,"2,900,000","400,000"
	FederalHomeLoanBankStock,"50,400,000","42,406,000","40,788,000","38,486,000","21,855,000","25,941,000","28,923,000",,,,,,,,,,,,,,,,,,,,,
	ForeclosedAssets,"61,720,000","6,616,000","5,744,000","11,085,000","19,096,000","16,171,000","25,357,000","43,702,000","22,870,000","37,775,000","49,811,000","66,875,000","104,669,000",,"61,148,000","10,758,000",,,,,,,,,,,,
	OtherRealEstateOwned,,,,,,,,,,,,,,"31,145,000","0",,,,,,,,,,,,,
	BankOwnedLifeInsurance,"808,490,000","789,805,000","774,822,000","758,071,000","738,860,000","721,238,000","658,147,000","580,945,000","300,427,000","182,052,000","143,473,000","123,846,000","62,078,000","59,771,000","47,421,000","46,384,000",,,,,,,,,,,,
	SecuritiesAndInvestments,"3,244,371,000","3,500,430,000","3,931,690,000","3,405,351,000","2,277,389,000","2,862,340,000","2,593,873,000","1,471,612,000","602,348,000","839,321,000","669,384,000","494,266,000","438,910,000","398,698,000","506,678,000","944,783,000","578,348,000","620,132,000","574,120,000","434,512,000","364,320,000","232,168,000","187,167,000","253,216,000","263,400,000","176,600,000","42,500,000","39,600,000"
		TradingSecurities,"0","8,817,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		AvailableForSaleSecurities,,"8,817,000","14,957,000",,,,"2,622,796,000",,,"839,321,000","669,384,000",,"438,910,000","398,698,000","506,678,000","944,783,000","578,348,000","620,132,000","574,120,000","434,512,000","364,320,000","232,168,000","187,167,000","253,216,000","263,400,000","176,600,000","42,500,000","39,600,000"
