name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
	ChangesInCash,"-15,012,000,000","178,000,000","-18,674,000,000","22,273,000,000","28,533,000,000","-53,531,000,000","-49,872,000,000","49,147,000,000","80,200,000,000","53,427,000,000","-4,977,000,000","3,625,000,000","-28,753,000,000","16,557,000,000","12,893,000,000","-14,405,000,000","39,568,000,000","9,033,000,000","4,442,000,000","-1,495,000,000","1,243,000,000","-1,366,525,630","-774,764,610","1,563,358,810","-5,794,315,080"
	EffectOfExchangeRateChanges,"-382,000,000","-2,036,000,000","4,354,000,000","1,345,000,000","-1,074,000,000","1,578,000,000","1,668,000,000","-5,772,000,000","-28,000,000","94,000,000","897,000,000","-907,000,000","39,000,000","-964,000,000","1,911,000,000","690,000,000","-402,000,000","-289,000,000","-510,000,000","487,000,000","-300,000,000","-972,686,750","-634,678,020","325,933,900","2,717,216,480"
	BeginningCashPosition,"150,026,000,000","165,626,000,000","179,946,000,000","156,328,000,000","128,869,000,000","180,822,000,000","229,025,000,000","185,649,000,000","105,478,000,000","51,960,000,000","56,041,000,000","53,321,000,000","82,032,000,000","66,353,000,000","51,549,000,000","65,264,000,000","26,098,000,000","17,354,000,000","13,422,000,000","7,579,000,000","6,636,000,000","8,963,010,640","10,396,902,700","8,516,989,980","11,603,536,520"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,"757,690",,"737,680","794,030","-952,970",,"-1,064,740"
IncomeTaxPaidSupplementalData,"1,316,000,000","955,000,000","1,288,000,000","1,031,000,000","805,000,000","945,000,000","468,000,000","689,000,000","1,572,000,000","902,000,000","377,000,000","742,000,000","1,280,000,000","1,327,000,000","784,000,000","520,000,000","2,495,000,000","2,806,000,000",,,,,,,
InterestPaidSupplementalData,"35,058,000,000","28,502,000,000","9,468,000,000","5,557,000,000","6,937,000,000","11,493,000,000","11,743,000,000","11,784,000,000","10,808,000,000","10,608,000,000","11,423,000,000","10,687,000,000","15,825,000,000","17,231,000,000","13,740,000,000","15,878,000,000","43,724,000,000","55,066,000,000","49,921,000,000",,,,,,
CapitalExpenditure,"-484,000,000","-422,000,000","-337,000,000","-550,000,000","-512,000,000","-327,000,000","-465,000,000","-485,000,000","-725,000,000","-432,000,000","-669,000,000","-513,000,000","-614,000,000","-794,000,000","-873,000,000","-592,000,000","-939,000,000","-675,000,000","-606,000,000","-701,000,000","-792,000,000","-989,361,380","-1,697,239,570","-3,695,416,080","-2,169,940,120"
IssuanceOfCapitalStock,"0","0","0","35,000,000","76,000,000","1,191,000,000","3,916,000,000","15,774,000,000","5,104,000,000","9,104,000,000","16,875,000,000","15,466,000,000","11,454,000,000","12,266,000,000","23,669,000,000","19,414,000,000","27,049,000,000","41,992,000,000","38,103,000,000","42,079,000,000","30,850,000,000",,,,
IssuanceOfDebt,"38,000,000","1,432,000,000","2,716,000,000","1,146,000,000","1,684,000,000","47,000,000","68,000,000","881,000,000","815,000,000","2,942,000,000","101,000,000","1,217,000,000","62,000,000","76,000,000","1,341,000,000","457,000,000","523,000,000","429,000,000","976,000,000","44,574,000,000","34,463,000,000","43,115,829,000","40,281,088,930","33,014,856,250","61,402,491,060"
RepaymentOfDebt,"-679,000,000","-2,005,000,000","-697,000,000","-721,000,000","-1,822,000,000","-811,000,000","-1,171,000,000","-176,000,000","-1,102,000,000","-2,043,000,000","-3,142,000,000","-2,776,000,000","-708,000,000","-715,000,000","-229,000,000","-1,448,000,000","-659,000,000","-2,809,000,000","-1,976,000,000","-39,817,000,000","-25,773,000,000","-32,309,874,730","-27,225,399,930","-22,924,392,270","-40,482,479,540"
RepurchaseOfCapitalStock,"-1,738,000,000","-1,082,000,000","-695,000,000","-850,000,000","-955,000,000","-2,594,000,000","-6,852,000,000","-8,578,000,000","-6,104,000,000","-14,291,000,000","-11,896,000,000","-13,697,000,000","-12,201,000,000","-13,826,000,000","-15,417,000,000","-19,238,000,000","-21,736,000,000","-41,548,000,000","-39,220,000,000","-43,803,000,000","-34,471,000,000",,,,
FreeCashFlow,"-3,476,000,000","5,184,000,000","-2,450,000,000","-3,502,000,000","30,224,000,000","-40,776,000,000","-54,637,000,000","39,091,000,000","69,885,000,000","66,820,000,000","1,383,000,000","6,671,000,000","-24,568,000,000","7,008,000,000","-4,549,000,000","-14,378,000,000","36,178,000,000","16,115,000,000","10,558,000,000","-64,661,000,000","-28,889,000,000","-9,792,771,990","-2,480,580,910","-16,929,456,330","-35,598,517,160"
