name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
		Goodwill,"11,951,000,000","11,951,000,000","11,952,000,000","11,952,000,000","1,227,000,000","1,227,000,000","1,227,000,000","1,227,000,000","1,227,000,000","1,227,000,000","1,227,000,000","1,228,000,000","1,161,000,000","631,000,000","528,000,000","528,000,000",,,,,,,,,,,,,,,,,,,
		OtherIntangibleAssets,"8,260,000,000","8,789,000,000","9,379,000,000","9,991,000,000","128,000,000","152,000,000","108,000,000","144,000,000","181,000,000","227,000,000","266,000,000","319,000,000","326,000,000","54,000,000",,,,,,,,,,,,,,,,,,,,,
	DeferredAssets,"4,716,000,000","5,749,000,000","344,000,000","303,000,000","281,000,000","250,000,000","76,000,000","143,000,000","145,000,000","0","28,000,000","0","27,000,000",,,,,,,,,,,,,,,,,,,,,,
		DeferredTaxAssets,"4,300,000,000","5,370,000,000","0",,,"3,000,000","76,000,000","143,000,000","145,000,000","0","28,000,000","0","27,000,000",,,,,,,,,,,,,,,,,,,,,,
	OtherAssets,"6,458,000,000","5,102,000,000","713,000,000","457,000,000","264,000,000","188,000,000","92,000,000","75,000,000","106,000,000","59,000,000","75,000,000","73,000,000","109,000,000","23,676,000,000","1,134,000,000","1,071,000,000","850,000,000","12,275,000,000","11,378,000,000","969,000,000","831,000,000","771,000,000","18,559,000,000","10,095,000,000","587,000,000","200,600,000","210,900,000","153,600,000","170,000,000","191,800,000","179,100,000","149,400,000","84,000,000","153,300,000","157,800,000"
TotalLiabilitiesNetMinorityInterest,"452,220,000,000","515,164,000,000","611,009,000,000","492,949,000,000","272,260,000,000","275,812,000,000","224,749,000,000","206,962,000,000","170,303,000,000","142,839,000,000","133,261,000,000","124,048,000,000","100,839,000,000","86,342,000,000","70,358,000,000","47,614,000,000","38,554,000,000","43,984,000,000","42,901,000,000","42,747,000,000","41,405,000,000","35,694,000,000","36,301,000,000","33,924,000,000","31,746,000,000","20,835,800,000","15,336,600,000","12,924,200,000","9,919,100,000","7,450,900,000","6,517,300,000","5,646,400,000","4,826,100,000","4,033,900,000","3,308,600,000"
	TotalDeposits,"289,953,000,000","366,724,000,000","443,778,000,000","358,022,000,000","220,094,000,000","231,423,000,000","169,656,000,000","163,454,000,000","129,502,000,000","102,815,000,000","92,972,000,000","79,377,000,000","60,854,000,000","50,590,000,000","38,820,000,000","23,841,000,000","13,822,000,000","11,020,000,000","6,969,000,000","11,118,000,000","8,308,000,000","5,231,000,000","5,448,000,000","4,209,000,000","4,205,000,000",,,,,,,,,,
		InterestBearingDepositsLiabilities,"288,723,000,000","365,618,000,000","442,307,000,000","357,037,000,000","219,349,000,000","230,661,000,000","168,864,000,000","162,780,000,000","128,855,000,000","102,251,000,000","92,451,000,000","78,950,000,000","60,379,000,000","50,111,000,000","38,820,000,000","23,841,000,000","13,822,000,000","11,020,000,000","6,969,000,000","10,280,000,000","7,585,000,000","4,471,000,000","5,448,000,000","4,209,000,000","4,205,000,000",,,,,,,,,,
			CustomerAccounts,"288,723,000,000","365,618,000,000","442,307,000,000","357,037,000,000","219,349,000,000","230,661,000,000","168,864,000,000","162,780,000,000","128,855,000,000","102,251,000,000","92,451,000,000","78,950,000,000","60,379,000,000","50,111,000,000","38,820,000,000","23,841,000,000","13,822,000,000","11,020,000,000","6,969,000,000","10,280,000,000","7,585,000,000","4,471,000,000","5,448,000,000","4,209,000,000","4,205,000,000",,,,,,,,,,
		NonInterestBearingDeposits,"1,230,000,000","1,106,000,000","1,471,000,000","985,000,000","745,000,000","762,000,000","792,000,000","674,000,000","647,000,000","564,000,000","521,000,000","427,000,000","475,000,000","479,000,000","0",,,,"688,000,000","838,000,000","723,000,000","760,000,000",,,,,,,,,,,,,
