name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
MarketCap,"118,233,615,079","73,322,968,806","39,972,812,680","44,376,939,541","23,196,467,451","16,335,421,079","10,499,247,562","10,057,674,680","6,918,281,920","7,137,645,701","10,057,601,833","7,013,408,579","3,858,729,013","2,864,739,621","3,021,335,292"
EnterpriseValue,"54,204,188,079","32,217,081,806","71,419,980,680","75,399,818,541","50,666,326,451","38,691,850,079","28,019,321,562","26,582,087,680","21,034,504,920","20,687,742,701","17,140,121,833","7,491,431,579","3,164,505,013","3,168,954,621","3,073,700,292"
PeRatio,"31.571","30.237",,"8.196","23.678","15.683","6.232","10.636","51.3","17.322","11","13.909","6.891","18.868","8.765"
ForwardPeRatio,"21.413","17.007","10.977","17.483","21.186","14.225","10.87","8.224","8.453","6.188","8.621","10.627","5.914","6.575","7.819"
PegRatio,"0.915","1.574","2.645",,,,,,,,,"0.731","0.407","0.897","0.521"
PsRatio,"5.737","5.916","4.451","3.3","7.006","5.418","3.11","3.711","4.301","7.807","7.764","9.842","6.808","0.57","0.304"
PbRatio,"5.455","3.593","2.447","2.806","2.189","1.695","1.232","1.492","1.197","1.261","1.833","2.811","1.925","2.303","2.278"
EnterprisesValueRevenueRatio,"2.538","2.558","9.856","5.314","15.406","12.985","8.432","9.419","12.127","21.804","15.277","10.474","5.567","0.651","0.32"
EnterprisesValueEBITDARatio,"5.165","4.763","56.256","4.069","15.145","10.987","5.628","7.885","8.23","4.084","2.016","1.22","0.389","0.872","0.389"
