name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
OperatingCashFlow,"292,826,000","253,028,000","312,610,000","398,551,000","318,677,000","292,793,000","333,322,000","225,954,000","270,360,000","321,239,000","351,567,000","112,166,000","130,056,000","103,237,000","115,980,000","89,953,510"
	CashFlowFromContinuingOperatingActivities,"292,826,000","253,028,000","312,610,000","398,551,000","318,677,000","292,793,000","333,322,000","225,954,000","270,360,000","321,239,000","351,567,000","112,166,000","130,056,000","103,237,000","115,980,000","89,953,510"
		NetIncomeFromContinuingOperations,"324,180,000","311,804,000","248,385,000","444,524,000","308,503,000","241,457,000","254,190,000","150,737,000","173,001,000","212,106,000","242,714,000","-234,132,000","42,577,000","129,972,000","42,527,000","48,228,154"
		OperatingGainsLosses,"-76,413,000","-81,861,000","23,647,000","-22,059,000","-26,302,000","-14,910,000","-6,391,000","-4,172,000","108,000","-384,000","-297,000","-59,012,000","-8,347,000","3,087,000","-1,520,000","13,974"
			GainLossOnSaleOfPPE,"31,000","4,000","51,000","4,000","5,000","275,000","18,000","69,000","108,000","40,000","362,000","16,000","51,000","11,000","11,000","13,974"
			GainLossOnInvestmentSecurities,"-76,444,000","-81,865,000","23,596,000","-22,063,000","-26,307,000","-15,185,000","-6,409,000","-4,241,000","-1,073,000","-424,000","-659,000","-54,708,000","-670,000","1,685,000","-1,531,000",
			EarningsLossesFromEquityInvestments,,,,,,"-5,101,000","-688,000","-519,000","-1,073,000",,"31,554,000","-4,320,000","-8,555,000","1,391,000",,
		DepreciationAmortizationDepletion,"9,664,000","9,348,000","7,797,000","6,933,000","6,625,000","6,233,000","5,668,000","5,297,000","5,272,000","4,519,000","3,250,000","3,225,000","2,401,000","2,360,000","2,287,000","2,388,362"
			DepreciationAndAmortization,"9,664,000","9,348,000","7,797,000","6,933,000","6,625,000","6,233,000","5,668,000","5,297,000","5,272,000","4,519,000","3,250,000","3,225,000","2,401,000","2,360,000","2,287,000","2,388,362"
				Depreciation,,"9,300,000","7,700,000","6,800,000",,,,,,,,,,,,
		DeferredTax,"41,211,000","41,991,000","29,243,000","38,024,000","32,664,000","26,913,000","24,612,000","104,497,000","33,310,000","28,768,000","21,756,000","9,384,000","0","0",,
			DeferredIncomeTax,"41,211,000","41,991,000","29,243,000","38,024,000","32,664,000","26,913,000","24,612,000","104,497,000","33,310,000","28,768,000","21,756,000","9,384,000","0","0",,
		AmortizationOfSecurities,,,,,,,,,,,,,,,"97,196,702","44,798,404"
		AssetImpairmentCharge,,"0","1,413,000","0","871,000","2,107,000","0","0",,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,"-5,101,000","-688,000","-519,000","-1,073,000",,,,,,,
		StockBasedCompensation,"32,709,000","33,697,000","41,532,000","39,649,000","37,027,000","43,095,000","53,554,000","62,892,000","71,996,000","79,520,000","88,256,000","655,417,000","0","0",,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"0","-1,300,000","-1,114,000",,"0",,,
		OtherNonCashItems,"-16,013,000","-89,384,000","-75,835,000","-88,093,000","-54,790,000","-45,902,000","-27,888,000","-58,851,000","448,000","448,000","448,000","448,000","631,000","726,000","548,000",
		ChangeInWorkingCapital,"-22,512,000","27,433,000","36,428,000","-20,427,000","14,079,000","33,800,000","29,577,000","-33,927,000","-12,702,000","-2,438,000","-3,446,000","-263,164,000","92,794,000","-32,908,000","72,138,000","-5,475,384"
			ChangeInReceivables,"-13,094,000","125,000","16,622,000","-15,962,000","-18,020,000","-14,178,000","9,002,000","-16,955,000","318,000","9,303,000","-5,599,000","-17,739,000","-6,605,000","-2,685,000","-5,081,000","-9,502,884"
				ChangesInAccountReceivables,"-13,094,000","125,000","16,622,000","-15,962,000","-18,020,000","-14,178,000","9,002,000","-16,955,000","318,000","9,303,000","-5,599,000","-17,739,000","-6,605,000","-2,685,000","-5,081,000","-9,502,884"
