name,12/31/2023,12/31/2022,12/31/2021
TotalAssets,"3,205,000,000","3,161,000,000","25,643,000,000"
	CurrentAssets,"895,000,000","783,000,000","10,126,000,000"
		CashCashEquivalentsAndShortTermInvestments,"9,000,000","1,000,000","2,494,000,000"
			CashAndCashEquivalents,"9,000,000","1,000,000","2,494,000,000"
				CashFinancial,"9,000,000","1,000,000","2,482,000,000"
				CashEquivalents,,"3,273,000,000","12,000,000"
		Receivables,"886,000,000","782,000,000","7,592,000,000"
			AccountsReceivable,,"245,000,000","26,000,000"
			AccruedInterestReceivable,,"1,271,000,000","676,000,000"
			DuefromRelatedPartiesCurrent,"886,000,000","782,000,000","6,732,000,000"
			OtherReceivables,,"123,000,000","158,000,000"
		PrepaidAssets,,"61,000,000","40,000,000"
	TotalNonCurrentAssets,"2,310,000,000","2,378,000,000","15,517,000,000"
		NetPPE,,"68,000,000","48,000,000"
		GoodwillAndOtherIntangibleAssets,,"308,000,000","313,000,000"
			Goodwill,,"249,000,000","249,000,000"
			OtherIntangibleAssets,,"59,000,000","64,000,000"
		InvestmentsAndAdvances,"2,270,000,000","2,378,000,000","12,888,000,000"
			LongTermEquityInvestment,"2,270,000,000","2,378,000,000","11,565,000,000"
				InvestmentsinSubsidiariesatCost,,"3,940,000,000","3,790,000,000"
				InvestmentsinAssociatesatCost,"2,270,000,000","2,378,000,000",
				InvestmentsInOtherVenturesUnderEquityMethod,,"1,591,000,000","7,775,000,000"
			InvestmentinFinancialAssets,,"75,000,000","1,323,000,000"
				FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,,"75,000,000","1,323,000,000"
				AvailableForSaleSecurities,,"75,000,000","1,323,000,000"
		NonCurrentDeferredAssets,,"739,000,000","2,268,000,000"
		OtherNonCurrentAssets,"40,000,000","739,000,000","2,268,000,000"
TotalLiabilitiesNetMinorityInterest,"1,120,000,000","784,000,000","11,240,000,000"
	CurrentLiabilities,"1,120,000,000","784,000,000","10,540,000,000"
		PayablesAndAccruedExpenses,"864,000,000","784,000,000","10,079,000,000"
			Payables,"864,000,000","784,000,000","9,002,000,000"
				AccountsPayable,"859,000,000","781,000,000","561,000,000"
				DuetoRelatedPartiesCurrent,"5,000,000","3,000,000","8,207,000,000"
				OtherPayable,,"475,000,000","234,000,000"
			CurrentAccruedExpenses,,"991,000,000","1,077,000,000"
		CurrentDebtAndCapitalLeaseObligation,"256,000,000","3,000,000","461,000,000"
			CurrentDebt,"256,000,000","3,000,000","461,000,000"
				LineOfCredit,"256,000,000","0",
				OtherCurrentBorrowings,,"3,000,000","461,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"0","0","700,000,000"
		NonCurrentDeferredLiabilities,,"17,000,000","700,000,000"
			NonCurrentDeferredTaxesLiabilities,,"17,000,000","700,000,000"
		OtherNonCurrentLiabilities,,"17,000,000","700,000,000"
TotalEquityGrossMinorityInterest,"2,085,000,000","2,377,000,000","14,403,000,000"
	StockholdersEquity,"2,076,000,000","2,377,000,000","9,871,000,000"
		CapitalStock,"2,354,000,000","2,410,000,000","0"
			CommonStock,"2,354,000,000","2,410,000,000","0"
		AdditionalPaidInCapital,"403,000,000","278,000,000",
		RetainedEarnings,"-35,000,000","19,000,000","0"
		TreasuryStock,"649,000,000","330,000,000",
		GainsLossesNotAffectingRetainedEarnings,"3,000,000","0","156,000,000"
			OtherEquityAdjustments,"3,000,000","153,000,000","156,000,000"
		OtherEquityInterest,,,"9,715,000,000"
	MinorityInterest,"9,000,000","0","4,532,000,000"
TotalCapitalization,"2,076,000,000","2,377,000,000","9,871,000,000"
CommonStockEquity,"2,076,000,000","2,377,000,000","9,871,000,000"
NetTangibleAssets,"2,076,000,000","2,377,000,000","9,558,000,000"
WorkingCapital,"-225,000,000","-1,000,000","-414,000,000"
InvestedCapital,"2,332,000,000","2,377,000,000","10,332,000,000"
TangibleBookValue,"2,076,000,000","2,377,000,000","9,558,000,000"
TotalDebt,"256,000,000","3,000,000","461,000,000"
NetDebt,"247,000,000","2,000,000",
ShareIssued,"413,047,533","412,224,137","402,725,500"
OrdinarySharesNumber,"388,754,746","396,176,008","402,725,500"
TreasurySharesNumber,"24,292,787","16,048,129",
