name,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998
TotalAssets,"140,446,000","135,893,000","168,087,000","161,869,000","195,445,000","182,726,000","133,587,000","76,694,000","80,897,000","88,884,000","150,441,000","78,238,000","97,493,000","147,817,000","188,609,000","208,367,000","504,744,000","548,287,000","919,831,000","543,574,000","476,508,000","367,451,000","529,197,000","1,725,715,000","2,361,225,000","138,900,000","39,100,000"
	CurrentAssets,"127,570,000","123,138,000","84,440,000","88,534,000","61,328,000","42,400,000","63,594,000","68,014,000","80,821,000","86,127,000","134,989,000","76,165,000","87,529,000","119,314,000","155,324,000","166,990,000","364,099,000","365,120,000","602,962,000","395,141,000","363,886,000","248,809,000","320,687,000","516,558,000","611,891,000","134,400,000","36,500,000"
		CashCashEquivalentsAndShortTermInvestments,"116,503,000","117,371,000","72,120,000","74,916,000","49,205,000","29,232,000","61,134,000","66,780,000","80,711,000","85,468,000","133,945,000","58,406,000","83,569,000","81,213,000","106,146,000","109,082,000","224,809,000","240,644,000","431,851,000","236,555,000","269,771,000","172,684,000","214,199,000","348,493,000","523,007,000","113,100,000","12,700,000"
			CashAndCashEquivalents,"50,518,000","60,165,000","22,281,000","24,382,000","40,500,000","12,122,000","42,962,000","45,894,000","80,711,000","73,755,000","93,877,000","47,613,000","39,709,000","47,266,000","60,935,000","91,545,000","196,150,000","80,581,000","175,431,000","126,462,000","153,469,000","139,339,000","140,699,000","161,987,000","120,585,000","79,800,000","12,700,000"
			OtherShortTermInvestments,"65,985,000","57,206,000","49,839,000","50,534,000","8,705,000","17,110,000","18,172,000","20,886,000","0","11,713,000","40,068,000","10,793,000","43,860,000","33,947,000","45,211,000","17,537,000","28,659,000","160,063,000","256,420,000","110,093,000","116,302,000","33,345,000","73,500,000","186,506,000","402,422,000","33,300,000",
		Receivables,"2,259,000","3,308,000","2,445,000","8,183,000","9,050,000","10,253,000","1,338,000","1,060,000","0",,"0","88,000","0","22,293,000","31,160,000","31,107,000","93,550,000","72,894,000","152,547,000","137,007,000","78,421,000","62,907,000","96,571,000","153,701,000","77,385,000","20,500,000","2,700,000"
			AccountsReceivable,"1,684,000","2,167,000","1,241,000","6,518,000","7,991,000","8,832,000","0",,,,"0","88,000","0","22,293,000","31,160,000","31,107,000","78,550,000","72,894,000","152,547,000","137,007,000","78,421,000","62,907,000","96,571,000","153,701,000","77,385,000","20,500,000",
				GrossAccountsReceivable,,,,,,,,,,,,,,"22,437,000","32,207,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,"-144,000","-1,047,000",,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,"0",,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"274,000","841,000","592,000","1,665,000","1,059,000","1,421,000","1,338,000","348,000","0",,,,,,,,,,,,,,,,,,
			OtherReceivables,"301,000","300,000","612,000",,,,"917,000","712,000",,,,,,,,,"15,000,000",,,,,,,,,,
		Inventory,"5,769,000","1,742,000","0","1,066,000","1,470,000","1,336,000","0",,,,,,,,,,,,,,,,,,,,
