name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
		InvestmentsAndAdvances,,"604,000,000","532,000,000","201,000,000","127,000,000","123,000,000","121,200,000","59,000,000","83,700,000","69,600,000","37,500,000","38,300,000","37,200,000","30,800,000","30,400,000",,,,,,,,,,,
			LongTermEquityInvestment,,"517,000,000","443,000,000","135,000,000","117,000,000","105,000,000","99,100,000","26,300,000","28,700,000","21,600,000","37,500,000","38,300,000","37,200,000",,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,,"517,000,000","443,000,000","135,000,000","117,000,000","105,000,000","99,100,000",,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,,,,,,,"99,100,000","26,300,000","28,700,000","21,600,000","37,500,000","38,300,000","37,200,000",,,,,,,,,,,,,
			InvestmentinFinancialAssets,,"87,000,000","89,000,000","66,000,000","10,000,000","18,000,000","22,100,000","32,700,000","55,000,000","48,000,000","0",,,,,,,,,,,,,,,
				AvailableForSaleSecurities,,"87,000,000","89,000,000","66,000,000","10,000,000","18,000,000","22,100,000","32,700,000","55,000,000","48,000,000",,,,,,,,,,,,,,,,
		FinancialAssets,,"27,000,000","66,000,000","57,000,000","83,000,000","27,000,000",,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,"266,000,000","384,000,000","334,000,000","229,000,000","197,000,000","143,800,000","316,100,000","137,700,000","167,800,000","148,700,000","168,500,000","146,400,000","187,900,000","192,600,000","220,100,000",,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,"266,000,000","384,000,000","334,000,000","229,000,000","197,000,000","143,800,000","316,100,000","137,700,000","167,800,000","148,700,000","168,500,000","146,400,000","187,900,000","192,600,000","220,100,000",,,,,,,,,,
		NonCurrentPrepaidAssets,,"15,000,000","14,000,000","19,000,000","13,000,000","14,000,000","12,300,000","10,800,000","11,400,000","11,300,000","10,300,000","10,000,000","12,200,000",,,,,,,,,,,,,
		DefinedPensionBenefit,,"40,000,000","77,000,000","21,000,000","0",,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,,"406,000,000","345,000,000","217,000,000","166,000,000","111,000,000","26,400,000","42,400,000","45,300,000","65,000,000","64,300,000","47,700,000","32,600,000","25,000,000","20,300,000","44,500,000","274,100,000","192,000,000","127,100,000","105,800,000","121,800,000","97,200,000","81,000,000","63,600,000","56,600,000","535,100,000"
TotalLiabilitiesNetMinorityInterest,,"11,660,000,000","11,764,000,000","10,646,000,000","9,428,000,000","8,870,000,000","8,709,100,000","6,354,600,000","5,436,000,000","4,626,100,000","3,967,200,000","3,492,000,000","2,974,000,000","2,838,700,000","2,599,400,000","2,759,500,000","2,498,200,000","1,330,300,000","1,147,800,000","1,071,800,000","984,400,000","957,800,000","809,500,000","680,800,000","497,900,000","1,858,500,000"
