name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
			CustomerAccounts,"85,420,000,000","80,395,000,000","80,703,000,000","71,190,000,000","97,475,000,000","94,491,000,000","96,889,000,000","99,035,000,000","98,430,000,000","62,453,000,000","62,370,000,000","65,511,000,000","67,418,000,000","68,881,000,000","75,476,000,000","72,447,000,000","76,357,702,000","80,519,192,000","46,679,329,000","47,242,886,000","27,014,788,000","27,778,512,000","26,462,986,000","27,509,608,000","25,569,400,000","23,772,900,000","21,266,800,000","13,139,200,000","9,361,200,000","8,642,800,000","7,574,000,000","5,659,200,000","5,042,400,000","4,501,300,000","3,908,100,000"
		NonInterestBearingDeposits,"42,368,000,000","51,348,000,000","58,369,000,000","51,289,000,000","34,113,000,000","35,053,000,000","36,127,000,000","36,046,000,000","34,862,000,000","31,747,000,000","30,083,000,000","29,963,000,000","28,209,000,000","25,733,000,000","23,204,000,000","18,457,000,000","18,417,266,000","20,708,777,000","13,699,038,000","11,424,137,000","5,717,747,000","5,147,689,000","5,085,337,000","4,512,883,000","4,419,700,000","4,577,100,000","3,744,200,000","1,909,200,000","1,535,000,000","1,450,300,000","1,196,700,000","1,042,000,000","874,700,000","851,900,000","836,300,000"
	FederalFundsPurchasedAndSecuritiesSoldUnderAgreementToRepurchase,,,,,,,,,,"1,753,000,000","2,182,000,000","1,449,000,000","2,333,000,000","2,716,000,000","1,893,000,000","3,143,000,000","8,820,235,000","7,676,254,000","3,928,185,000","4,679,926,000",,,,"1,996,812,000","5,614,600,000","2,067,300,000","2,128,800,000","1,549,700,000",,,,"232,000,000","108,500,000","325,100,000","165,700,000"
	CurrentDebtAndCapitalLeaseObligation,,,,"0","2,050,000,000","1,600,000,000","500,000,000","0","10,000,000","500,000,000","0","125,000,000","734,000,000","1,221,000,000","1,775,000,000","12,679,000,000","2,299,887,000","1,990,817,000","1,038,094,000","1,315,685,000","4,427,038,000","4,085,457,000","4,098,400,000","1,136,330,000","2,010,400,000","2,429,500,000","578,600,000","62,200,000","954,300,000","1,011,500,000","203,800,000","21,200,000","24,900,000","37,200,000","29,200,000"
		CurrentDebt,,,,"0","2,050,000,000","1,600,000,000","500,000,000","0","10,000,000","500,000,000","0","125,000,000","734,000,000","1,221,000,000","1,775,000,000","12,679,000,000","2,299,887,000","1,990,817,000","1,038,094,000","1,315,685,000","4,427,038,000","4,085,457,000","4,098,400,000","1,136,330,000","2,010,400,000","2,429,500,000","578,600,000","62,200,000","954,300,000","1,011,500,000","203,800,000","21,200,000","24,900,000","37,200,000","29,200,000"
			OtherCurrentBorrowings,,,,"0","2,050,000,000","1,600,000,000","500,000,000","0","10,000,000","500,000,000","0","125,000,000","734,000,000","1,221,000,000","1,775,000,000","12,679,000,000","2,299,887,000","1,990,817,000","1,038,094,000","1,315,685,000","4,427,038,000","4,085,457,000","4,098,400,000","1,136,330,000","2,010,400,000","2,429,500,000","578,600,000","62,200,000","954,300,000","1,011,500,000","203,800,000","21,200,000","24,900,000","37,200,000","29,200,000"
	LongTermDebtAndCapitalLeaseObligation,"2,330,000,000","2,284,000,000","2,407,000,000","3,569,000,000","7,879,000,000","12,424,000,000","8,132,000,000","7,763,000,000","8,349,000,000","3,462,000,000","4,830,000,000","5,861,000,000","8,110,000,000","13,190,000,000","18,464,000,000","19,231,000,000","11,324,790,000","8,642,649,000","6,971,680,000","7,239,585,000","5,711,752,000","5,386,109,000","4,747,674,000","4,478,027,000","1,750,900,000","571,000,000","445,500,000","447,300,000","552,600,000","519,200,000","462,900,000","137,000,000","18,800,000","19,700,000","45,300,000"
		LongTermDebt,"2,330,000,000","2,284,000,000","2,407,000,000","3,569,000,000","7,879,000,000","12,424,000,000","8,132,000,000","7,763,000,000","8,349,000,000","3,462,000,000","4,830,000,000","5,861,000,000","8,110,000,000","13,190,000,000","18,464,000,000","19,231,000,000","11,324,790,000","8,642,649,000","6,971,680,000","7,239,585,000","5,711,752,000","5,386,109,000","4,747,674,000","4,478,027,000","1,750,900,000","571,000,000","445,500,000","447,300,000","552,600,000","519,200,000","462,900,000","137,000,000","18,800,000","19,700,000","45,300,000"
			AdvanceFromFederalHomeLoanBanks,,,,,"2,501,000,000","6,902,000,000","3,653,000,000","4,254,000,000","5,255,000,000","8,000,000","1,009,000,000","1,010,000,000","1,914,000,000","3,715,000,000","7,404,000,000","8,097,000,000","3,782,216,000","2,387,551,000","1,872,300,000",,,,,,,,,,,,,,,,
	OtherLiabilities,"4,583,000,000","5,242,000,000","3,133,000,000","3,230,000,000","2,541,000,000","2,083,000,000","2,581,000,000","2,506,000,000","2,417,000,000","2,775,000,000","2,163,000,000","2,939,000,000","3,747,000,000","3,876,000,000","3,625,000,000","3,478,000,000","3,998,808,000","3,129,878,000","1,854,991,000","1,454,762,000","1,274,556,000","1,362,651,000","952,550,000","596,689,000","284,300,000","413,700,000","570,400,000","223,900,000","180,400,000","201,600,000","187,900,000","132,900,000","102,800,000","85,100,000","75,600,000"
