name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
BasicEPS,"10.17","8.77","7.47","11.88","9.48","7.51","6.84","5.24","1.38","4.7","4.69","3.67","3.09","2.52","2.16","1.7","1.89","2.63","2.65","1.88","1.43","1.22","0.94","0.675","0.49","0.48","0.825"
DilutedEPS,"10.12","8.73","7.44","11.78","9.39","7.42","6.74","5.15","1.36","4.63","4.61","3.6","3.05","2.49","2.15","1.69","1.87","2.58","2.58","1.84","1.4","1.19","0.915","0.66","0.485","0.475","0.815"
BasicAverageShares,"182,750,000","183,200,000","183,900,000","186,400,000","187,600,000","189,300,000","191,600,000","191,100,000","192,700,000","200,100,000","210,700,000","219,400,000","223,200,000","226,300,000","235,000,000","236,100,000","242,400,000","266,400,000","284,200,000","297,700,000","297,000,000","297,800,000","307,800,000","315,200,000","323,400,000","324,600,000","338,984,000"
DilutedAverageShares,"183,550,000","184,000,000","184,700,000","187,900,000","189,300,000","191,600,000","194,400,000","194,200,000","195,400,000","203,400,000","214,700,000","223,500,000","226,600,000","229,400,000","236,600,000","237,800,000","245,300,000","272,200,000","291,900,000","305,600,000","304,700,000","304,600,000","315,000,000","320,400,000","326,000,000","328,600,000","343,406,000"
TotalOperatingIncomeAsReported,"2,609,000,000",,"1,883,000,000","2,844,000,000","2,388,000,000","1,998,000,000","1,868,000,000","1,821,000,000","650,900,000","1,473,400,000","1,439,100,000","1,234,600,000","1,077,400,000","888,400,000","772,800,000","687,500,000","748,200,000","1,131,000,000","1,259,500,000","939,600,000","786,400,000","663,100,000","538,100,000","398,500,000","288,500,000","270,400,000","225,500,000"
TotalExpenses,"3,828,000,000","3,657,000,000","3,447,000,000","3,365,000,000","2,924,000,000","2,736,000,000","2,508,000,000","2,352,000,000","2,068,600,000","2,004,700,000","1,888,800,000","1,718,700,000","1,627,900,000","1,385,900,000","1,259,100,000","1,092,200,000","1,009,700,000","1,078,000,000","777,600,000","792,000,000","651,900,000","583,500,000","485,200,000","398,200,000","313,800,000","293,800,000","288,400,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,858,000,000",,"1,374,000,000","2,214,000,000","1,778,000,000","1,422,000,000","1,310,000,000","1,001,000,000","266,600,000","941,300,000","988,700,000","804,500,000","690,000,000","571,400,000","507,800,000","402,000,000","457,600,000","701,500,000","753,900,000","560,800,000","425,100,000","363,900,000","288,900,000","212,200,000","158,500,000","155,600,000","142,000,000"
NormalizedIncome,"1,919,794,019.934","1,692,593,798.45","1,427,086,363.636","2,214,804,000","1,825,035,890.534","1,497,050,000","1,363,652,000","922,400,000","762,020,000","940,543,200","903,884,100","804,500,000","702,362,300","569,611,200","511,536,954.087","418,001,764.16","444,064,456.015","726,627,608.131","658,740,000","566,740,000","424,440,000","354,840,000","288,600,000","212,260,000","159,040,000","150,500,000","134,560,000"
InterestIncome,"77,000,000",,"15,000,000","30,000,000","11,000,000","17,000,000","15,000,000","16,000,000","10,900,000","9,700,000","6,700,000","5,500,000","5,200,000","5,300,000","3,100,000","2,500,000","29,100,000",,,,,,,,,,
InterestExpense,"334,000,000",,"246,000,000","171,000,000","205,000,000","225,000,000","230,000,000","225,000,000","168,200,000","124,800,000","123,500,000","97,300,000","69,000,000","67,400,000","55,600,000","35,900,000","70,300,000",,,,,,,,,,
NetInterestIncome,"-257,000,000",,"-231,000,000","-171,000,000","-205,000,000","-208,000,000","-215,000,000","-209,000,000","-157,300,000","-115,100,000","-116,800,000","-91,800,000","-63,800,000","-62,100,000","-52,500,000","-33,400,000","-41,200,000",,,,,,,,,,
EBIT,"2,742,000,000",,"2,006,000,000","2,926,000,000","2,434,000,000","2,035,000,000","1,902,000,000","2,012,000,000","726,200,000","1,504,400,000","1,584,500,000","1,266,600,000","1,093,000,000","907,200,000","770,000,000","682,100,000","800,100,000","1,181,000,000","1,259,500,000","939,600,000","786,400,000","663,100,000","538,100,000","398,500,000","288,500,000","270,400,000","225,500,000"
EBITDA,"3,144,000,000",,"2,337,000,000","3,183,000,000","2,654,000,000","2,235,000,000","2,094,000,000","2,170,000,000","852,900,000","1,617,900,000","1,680,100,000","1,360,000,000","1,186,500,000","986,400,000","836,300,000","746,200,000","875,200,000","1,223,900,000","1,299,000,000","974,800,000","820,500,000","695,700,000","562,700,000","415,500,000","305,100,000","283,400,000","240,900,000"
ReconciledCostOfRevenue,,,"1,613,000,000","1,637,000,000","1,475,000,000","1,387,000,000","1,246,000,000","1,216,000,000","1,019,600,000","976,300,000","930,300,000","822,400,000","795,000,000","683,500,000","604,800,000","532,400,000","493,300,000","584,000,000","539,400,000","452,900,000","375,400,000","347,300,000","285,300,000","239,600,000","189,600,000","183,600,000","177,300,000"
ReconciledDepreciation,"402,000,000",,"331,000,000","257,000,000","220,000,000","200,000,000","192,000,000","158,000,000","126,700,000","113,500,000","95,600,000","93,400,000","93,500,000","79,200,000","66,300,000","64,100,000","75,100,000","42,900,000","39,500,000","35,200,000","34,100,000","32,600,000","24,600,000","17,000,000","16,600,000","13,000,000","15,400,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"1,858,000,000",,"1,374,000,000","2,214,000,000","1,778,000,000","1,422,000,000","1,310,000,000","1,001,000,000","266,600,000","941,300,000","988,700,000","804,500,000","690,000,000","571,400,000","507,800,000","402,000,000","457,600,000","701,500,000","753,900,000","560,800,000","425,100,000","363,900,000","288,900,000","212,200,000","158,500,000","155,600,000","142,000,000"
TotalUnusualItemsExcludingGoodwill,"-80,000,000",,"-68,000,000","-1,000,000","-59,000,000","-95,000,000","-68,000,000","131,000,000","-825,700,000","1,100,000","123,100,000","0","-18,100,000","2,600,000","-5,200,000","-25,400,000","21,400,000","-40,000,000","158,600,000","-9,900,000","1,100,000","15,100,000","500,000","-100,000","-900,000","8,500,000","12,400,000"
TotalUnusualItems,"-80,000,000",,"-68,000,000","-1,000,000","-59,000,000","-95,000,000","-68,000,000","131,000,000","-825,700,000","1,100,000","123,100,000","0","-18,100,000","2,600,000","-5,200,000","-25,400,000","21,400,000","-40,000,000","158,600,000","-9,900,000","1,100,000","15,100,000","500,000","-100,000","-900,000","8,500,000","12,400,000"
NormalizedEBITDA,"3,224,000,000",,"2,405,000,000","3,214,000,000","2,713,000,000","2,330,000,000","2,162,000,000","2,039,000,000","1,678,600,000","1,616,800,000","1,557,000,000","1,360,000,000","1,204,600,000","983,800,000","841,500,000","771,600,000","853,800,000","1,263,900,000","1,140,400,000","984,700,000","819,400,000","680,600,000","562,200,000","415,600,000","306,000,000","274,900,000","228,500,000"
TaxRateForCalcs,"0.228","0.169","0.219","0.196","0.203","0.21","0.211","0.4","0.4","0.312","0.311","0.302","0.317","0.312","0.281","0.37","0.367","0.372","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-18,205,980.066","-17,406,201.55","-14,913,636.364","-196,000","-11,964,109.466","-19,950,000","-14,348,000","52,400,000","-330,280,000","343,200","38,284,100","0","-5,737,700","811,200","-1,463,045.913","-9,398,235.84","7,864,456.015","-14,872,391.869","63,440,000","-3,960,000","440,000","6,040,000","200,000","-40,000","-360,000","3,400,000","4,960,000"
