name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
				ChangesInAccountReceivables,"-32,560,000","-44,980,000","-42,240,000","3,952,000","-13,641,000","6,710,000","-17,360,000","-12,689,000","-14,064,000","-2,949,000","-1,098,000","-34,000","887,000","1,551,000","1,430,000",,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"-53,403,000","25,232,000","46,885,000","9,278,000","-37,350,000","8,893,000","3,348,000","-869,000","-8,006,000","13,523,000","17,846,000","49,000","-12,784,000","14,844,000","1,015,000","-4,946,000","-909,000",,,,,,,,,,,,
				ChangeInPayable,"-53,403,000","25,232,000","46,885,000","9,278,000","-37,350,000","8,893,000","3,348,000","-869,000","-8,006,000","13,523,000","17,846,000","49,000","-12,784,000","14,844,000","1,015,000",,,,,,,,,,,,,,
					ChangeInAccountPayable,"-53,403,000","25,232,000","46,885,000","9,278,000","-37,350,000","8,893,000","3,348,000","-869,000","-8,006,000","13,523,000","17,846,000","49,000","-12,784,000","14,844,000","1,015,000",,,,,,,,,,,,,,
				ChangeInAccruedExpense,,,,,,,,,,,"17,846,000","49,000",,"14,844,000","1,015,000","-4,946,000","-909,000",,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"48,221,000","46,930,000","-7,169,000","13,185,000","14,581,000","33,003,000","186,683,000",,"14,615,000","31,489,000","3,199,000","8,653,000","3,792,000","13,637,000","6,519,000","-12,598,000","-3,993,000",,,,,,,,,,,,
			ChangeInOtherWorkingCapital,"10,434,000","12,060,000","8,152,000","-14,460,000",,,,,,,,,,,,,,,,,,,,,,,,,
InvestingCashFlow,"-4,826,012,000","-5,530,549,000","-2,430,245,000","140,209,000","-2,972,239,000","120,631,000","-1,526,460,000","-2,630,397,000","-2,284,245,000","-1,334,715,000","-564,558,000","-84,278,000","187,596,000","793,010,000","492,100,000","476,171,000","-493,439,000","-190,559,000","-384,682,000","-404,664,000","-337,982,000","-299,782,000","-173,591,000","-28,032,000","-38,490,000","-181,100,000","-231,900,000","-72,100,000","-59,600,000"
	CashFlowFromContinuingInvestingActivities,"-4,826,012,000","-5,530,549,000","-2,430,245,000","140,209,000","-2,972,239,000","120,631,000","-1,526,460,000","-2,630,397,000","-2,284,245,000","-1,334,715,000","-564,558,000","-84,278,000","187,596,000","793,010,000","492,100,000","476,171,000","-493,439,000","-190,559,000","-384,682,000","-404,664,000","-337,982,000","-299,782,000","-173,591,000","-28,032,000","-38,490,000","-181,100,000","-231,900,000","-72,100,000","-59,600,000"
		NetInvestmentPurchaseAndSale,"340,430,000","333,256,000","127,807,000","-616,694,000","-1,112,886,000","648,843,000","-328,576,000","-1,121,891,000","-468,804,000","269,155,000","103,816,000","-55,604,000","37,778,000","110,480,000","189,458,000","453,505,000","-303,439,000","28,309,000","-46,966,000","-139,715,000","-72,163,000","-132,848,000","-42,829,000","69,756,000","8,319,000","-89,200,000","-130,600,000","-5,300,000","1,500,000"
			PurchaseOfInvestment,"-195,697,000","-241,650,000","-960,358,000","-3,731,007,000","-2,499,587,000","0","-825,194,000","-1,610,116,000","-652,106,000","-93,770,000","-56,134,000","-141,454,000","-63,064,000","-15,248,000","-125,661,000","-321,925,000","-1,959,464,000","-70,153,000","-256,389,000","-273,449,000","-243,411,000","-478,825,000","-175,939,000","-177,681,000","-12,173,000","-151,400,000","-255,100,000","-43,000,000","-32,900,000"
			SaleOfInvestment,"536,127,000","574,906,000","1,088,165,000","3,114,313,000","1,386,701,000","648,843,000","496,618,000","488,225,000","183,302,000","362,925,000","159,950,000","85,850,000","100,842,000","125,728,000","315,119,000","775,430,000","1,656,025,000","98,462,000","209,423,000","133,734,000","171,248,000","345,977,000","133,110,000","247,437,000","20,492,000","62,200,000","124,500,000","37,700,000","34,400,000"
		NetProceedsPaymentForLoan,"-5,118,375,000","-5,779,793,000","-2,482,587,000","895,324,000","-1,717,881,000","-439,640,000","-1,105,904,000","-1,429,288,000","-1,872,094,000","-1,863,746,000","-879,897,000","-173,377,000","139,710,000","288,305,000","104,455,000","12,293,000","-173,987,000",,,,,,,,,,,,
			ProceedsFromLoans,"125,154,000","124,131,000","212,429,000","895,324,000","627,287,000","655,743,000","1,200,785,000","1,421,951,000","1,161,051,000","718,695,000","492,516,000","371,984,000","358,919,000","341,134,000","66,260,000","12,293,000",,,,,,,,,,,,,
			PaymentForLoans,"-5,243,529,000","-5,903,924,000","-2,695,016,000",,"-2,345,168,000","-1,095,383,000","-2,306,689,000","-2,851,239,000","-3,033,145,000","-2,582,441,000","-1,372,413,000","-545,361,000","-219,209,000","-52,829,000","38,195,000",,"-173,987,000",,,,,,,,,,,,
		NetPPEPurchaseAndSale,"-63,911,000","-29,139,000","-29,852,000","-33,918,000","-49,606,000","-98,691,000","-86,752,000","-38,864,000","-45,171,000","-16,804,000","-18,067,000","-10,106,000","-46,099,000","-21,138,000","-16,881,000","-9,199,000","-19,715,000","-11,899,000","-29,456,000","-26,966,000","-17,420,000","-12,250,000","-7,498,000","-4,048,000","-1,570,000","-5,000,000","-14,100,000","-7,300,000","-1,000,000"
			PurchaseOfPPE,"-63,911,000","-29,139,000","-29,852,000","-33,918,000","-49,606,000","-98,691,000","-86,752,000","-38,864,000","-45,171,000","-16,804,000","-18,067,000","-10,106,000","-46,099,000","-21,138,000","-16,881,000","-9,199,000","-27,901,000",,,,,,,,,,,,
			SaleOfPPE,,,,,,,,,,,,"13,123,000",,"41,847,000",,"17,438,000","8,186,000",,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-55,322,000","-92,190,000","-74,309,000","-156,216,000","-106,217,000","-28,044,000","0","0","203,695,000","299,810,000","121,918,000","56,786,000","28,542,000","365,394,000","201,473,000","-15,000","-192,000",,,,,,,,,,,,
			PurchaseOfBusiness,"-55,322,000","-92,190,000","-74,309,000","-156,216,000","-106,217,000","-28,044,000","0","-4,795,000",,,"1,103,000","-1,108,000",,,,"-15,000","-192,000",,,,,,,,,,,,
			SaleOfBusiness,,,,,,,"0","0","203,695,000","299,810,000","121,918,000","56,786,000","28,542,000","365,394,000","201,473,000",,,,,,,,,,,,,,
		NetOtherInvestingChanges,"71,166,000","37,317,000","28,696,000","51,713,000","14,351,000","38,163,000","-5,228,000","-40,354,000","-101,871,000","-23,130,000","107,672,000","98,023,000","27,665,000","49,969,000","13,595,000","19,572,000","3,894,000","-206,969,000","-308,260,000","-237,983,000","-248,399,000","-154,684,000","-123,264,000","-93,740,000","-45,239,000","-86,900,000","-87,200,000","-59,500,000","-60,100,000"
FinancingCashFlow,"5,062,968,000","5,765,073,000","644,924,000","-1,008,244,000","3,318,198,000","659,810,000","671,430,000","1,819,945,000","2,817,689,000","1,074,322,000","422,020,000","12,967,000","-22,858,000","-803,700,000","-562,265,000","-486,822,000","440,818,000","152,676,000","364,213,000","371,648,000","315,855,000","273,234,000","146,050,000","33,724,000","24,691,000","178,000,000","229,200,000","77,400,000","54,600,000"
	CashFlowFromContinuingFinancingActivities,"5,062,968,000","5,765,073,000","644,924,000","-1,008,244,000","3,318,198,000","659,810,000","671,430,000","1,819,945,000","2,817,689,000","1,074,322,000","422,020,000","12,967,000","-22,858,000","-803,700,000","-562,265,000","-486,822,000","440,818,000","152,676,000","364,213,000","371,648,000","315,855,000","273,234,000","146,050,000","33,724,000","24,691,000","178,000,000","229,200,000","77,400,000","54,600,000"
		ChangeInFederalFundsAndSecuritiesSoldForRepurchase,,,,"-1,898,000","-3,236,000","-9,315,000","-48,767,000","4,221,000","-690,000","-315,000","-4,040,000","17,148,000","-3,260,000","-11,262,000","-883,000",,,,,,,,,,,,,,
		NetIssuancePaymentsOfDebt,"-703,535,000","198,652,000","-149,655,000","118,275,000","396,305,000","254,695,000","74,373,000","-19,583,000","-163,891,000","4,831,000","-98,545,000","132,000","-21,083,000","-73,111,000","-113,948,000","-82,394,000","88,414,000","146,957,000","-84,256,000","163,248,000","-471,000","53,572,000","34,202,000","35,362,000","-55,474,000","95,300,000","21,600,000","1,000,000","6,300,000"
			NetLongTermDebtIssuance,"-703,535,000","198,652,000","-149,655,000","118,275,000","396,305,000","254,695,000","74,373,000","-19,583,000","-163,891,000","4,831,000","-98,545,000","132,000","-21,083,000","-73,111,000","-113,948,000","-82,394,000","88,414,000","141,872,000","-89,586,000","160,800,000","-3,796,000","44,414,000","29,676,000","32,988,000","-60,287,000","87,700,000","7,400,000","-300,000","4,800,000"
				LongTermDebtIssuance,,"198,652,000","0","345,895,000","750,000,000","254,695,000","94,373,000","417,000","222,315,000","163,684,000","0","132,000",,,,,"88,414,000","141,872,000","20,619,000","160,800,000","15,464,000","44,414,000","29,676,000","32,988,000",,"87,700,000","14,400,000","10,000,000","4,800,000"
				LongTermDebtPayments,,"0","-149,655,000","-227,620,000","-353,695,000","0","-20,000,000","-20,000,000","-386,206,000","-158,853,000","-98,545,000","0","-21,083,000","-73,111,000","-113,948,000","-82,394,000",,,"-110,205,000",,"-19,260,000",,,,"-60,287,000",,"-7,000,000","-10,300,000",
			NetShortTermDebtIssuance,,,,,,,,,,,,,,,,,"778,000","5,085,000","5,330,000","2,448,000","3,325,000","9,158,000","4,526,000","2,374,000","4,813,000","7,600,000","14,200,000","1,300,000","1,500,000"
