name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalLiabilitiesNetMinorityInterest,"1,745,025,000,000","1,698,807,000,000","1,757,958,000,000","1,767,199,000,000","1,739,571,000,000","1,698,817,000,000","1,743,678,000,000","1,729,618,000,000","1,593,741,000,000","1,501,893,000,000","1,352,494,000,000","1,264,057,000,000","1,172,180,000,000","1,130,239,000,000","1,129,287,000,000","1,207,323,000,000","527,814,000,000","436,182,000,000","441,081,000,000","389,983,000,000","353,329,000,000","318,878,000,000","280,355,000,000","245,938,000,000","217,182,000,000","181,716,000,000","165,907,000,000","74,111,200,000","66,822,300,000","55,469,500,000","47,213,900,000","41,484,400,000","35,910,400,000","28,988,200,000","23,056,900,000"
	TotalDeposits,"1,358,173,000,000","1,383,985,000,000","1,482,479,000,000","1,404,381,000,000","1,322,626,000,000","1,286,170,000,000","1,335,991,000,000","1,306,079,000,000","1,223,312,000,000","1,168,310,000,000","1,079,177,000,000","1,002,835,000,000","920,070,000,000","847,942,000,000","824,018,000,000","781,402,000,000","344,460,000,000","310,243,000,000","314,450,000,000","274,858,000,000","247,527,000,000","216,916,000,000","187,266,000,000","169,559,000,000","145,918,000,000","136,788,000,000","127,656,000,000","50,130,200,000","42,028,800,000","36,424,000,000","32,573,200,000","26,969,800,000","25,438,900,000","20,124,400,000","15,206,100,000"
		InterestBearingDepositsLiabilities,"997,894,000,000","925,975,000,000","954,731,000,000","937,313,000,000","978,130,000,000","936,636,000,000","962,269,000,000","930,112,000,000","871,733,000,000","846,347,000,000","791,060,000,000","714,628,000,000","676,067,000,000","656,686,000,000","642,662,000,000","630,565,000,000","260,112,000,000","221,124,000,000","226,738,000,000","193,776,000,000","173,140,000,000","142,822,000,000","121,904,000,000","114,463,000,000","100,398,000,000","90,056,000,000","87,450,000,000","35,833,900,000","30,404,900,000","27,140,900,000","24,234,300,000","20,381,100,000","19,739,200,000","16,029,200,000","12,012,100,000"
			CustomerAccounts,"997,894,000,000","925,975,000,000","954,731,000,000","937,313,000,000","978,130,000,000","936,636,000,000","962,269,000,000","930,112,000,000","871,733,000,000","846,347,000,000","791,060,000,000","714,628,000,000","676,067,000,000","656,686,000,000","642,662,000,000","630,565,000,000","260,112,000,000","221,124,000,000","226,738,000,000","193,776,000,000","173,140,000,000","142,822,000,000","121,904,000,000","114,463,000,000","100,398,000,000","90,056,000,000","87,450,000,000","35,833,900,000","30,404,900,000","27,140,900,000","24,234,300,000","20,381,100,000","19,739,200,000","16,029,200,000","12,012,100,000"
		NonInterestBearingDeposits,"360,279,000,000","458,010,000,000","527,748,000,000","467,068,000,000","344,496,000,000","349,534,000,000","373,722,000,000","375,967,000,000","351,579,000,000","321,963,000,000","288,117,000,000","288,207,000,000","244,003,000,000","191,256,000,000","181,356,000,000","150,837,000,000","84,348,000,000","89,119,000,000","87,712,000,000","81,082,000,000","74,387,000,000","74,094,000,000","65,362,000,000","55,096,000,000","45,520,000,000","46,732,000,000","40,206,000,000","14,296,300,000","11,623,900,000","9,283,100,000","8,338,900,000","6,588,700,000","5,699,700,000","4,095,200,000","3,194,000,000"
	FederalFundsPurchasedAndSecuritiesSoldUnderAgreementToRepurchase,"77,676,000,000","30,623,000,000","21,191,000,000","46,362,000,000","92,403,000,000","92,430,000,000","88,684,000,000","78,124,000,000","82,948,000,000","51,052,000,000","36,263,000,000","34,973,000,000","31,038,000,000","37,947,000,000","26,016,000,000","62,203,000,000","22,828,000,000","11,707,000,000","19,934,000,000",,,,,,,,,,,,,,,,
	PayablesAndAccruedExpenses,,"69,056,000,000","70,957,000,000","74,360,000,000","75,163,000,000","69,317,000,000","70,615,000,000","57,189,000,000","59,445,000,000","86,122,000,000","66,436,000,000","76,668,000,000","77,665,000,000","69,913,000,000","62,442,000,000","50,689,000,000","30,706,000,000","25,965,000,000","23,071,000,000",,,,,,,,,,,,,,,,
		CurrentAccruedExpenses,,"69,056,000,000","70,957,000,000","74,360,000,000","75,163,000,000","69,317,000,000","70,615,000,000","57,189,000,000","59,445,000,000","86,122,000,000","66,436,000,000","76,668,000,000","77,665,000,000","69,913,000,000","62,442,000,000","50,689,000,000","30,706,000,000","25,965,000,000","23,071,000,000",,,,,,,,,,,,,,,,
	CurrentDebtAndCapitalLeaseObligation,"11,883,000,000","20,522,000,000","13,218,000,000","12,637,000,000","12,109,000,000","13,357,000,000","14,572,000,000","18,657,000,000","14,580,000,000","12,466,000,000","17,620,000,000","22,202,000,000","18,053,000,000","17,454,000,000","12,950,000,000","45,871,000,000","30,427,000,000","1,122,000,000","3,958,000,000","21,962,000,000","24,659,000,000","33,446,000,000","37,782,000,000","28,989,000,000","31,727,000,000","15,897,000,000","13,381,000,000","7,572,600,000","8,527,200,000","7,850,200,000","5,805,100,000","8,575,400,000","5,337,900,000","5,087,000,000","4,291,400,000"
		CurrentDebt,"11,883,000,000","20,522,000,000","13,218,000,000","12,637,000,000","12,109,000,000","13,357,000,000","14,572,000,000","18,657,000,000","14,580,000,000","12,466,000,000","17,620,000,000","22,202,000,000","18,053,000,000","17,454,000,000","12,950,000,000","45,871,000,000","30,427,000,000","1,122,000,000","3,958,000,000","21,962,000,000","24,659,000,000","33,446,000,000","37,782,000,000","28,989,000,000","31,727,000,000","15,897,000,000","13,381,000,000","7,572,600,000","8,527,200,000","7,850,200,000","5,805,100,000","8,575,400,000","5,337,900,000","5,087,000,000","4,291,400,000"
