name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1991
					IncomeTaxPayable,"0","4,130,000","13,536,000","9,726,000","0",,,,,,,,,,,"0","11,020,000",,"6,584,000","2,399,000","67,000","2,057,000","1,492,000","4,979,000","20,700,000","2,665,000","16,052,000","11,803,000","9,106,000",
				OtherPayable,"446,190,000","685,638,000","634,792,000","513,219,000","621,367,000","495,356,000","459,532,000","530,688,000","676,732,000","806,898,000","686,456,000","762,795,000","548,520,000","467,971,000","536,457,000","460,868,000",,,,,,,,,,,,,,
			CurrentAccruedExpenses,,,,,,,,,,,,,"144,283,000","175,938,000","202,525,000","179,649,000","153,786,000",,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,,,,,"16,348,000","42,412,000","39,228,000","48,011,000","35,373,000","48,198,000","56,586,000","51,848,000","147,000,000","0","6,500,000","29,000,000","137,141,000","185,712,000","2,373,000","117,540,000","37,853,000","33,756,000","52,363,000","66,300,000","23,398,000","18,507,000","12,439,000","16,821,000","2,200,000"
			CurrentDebt,,,,,,"16,348,000","42,412,000","39,228,000","48,011,000","35,373,000","48,198,000","56,586,000","51,848,000","147,000,000","0","6,500,000","29,000,000","137,141,000","185,712,000","2,373,000","117,540,000","37,853,000","33,756,000","52,363,000","66,300,000","23,398,000","18,507,000","12,439,000","16,821,000","2,200,000"
				CommercialPaper,,,,,"0","16,348,000","42,412,000","39,228,000","48,011,000","35,373,000","48,198,000","56,586,000","51,848,000",,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,,,,,,,,,,,,,"27,500,000","147,000,000","0","6,500,000","29,000,000","137,141,000","185,712,000","2,373,000","117,540,000","37,853,000","33,756,000","52,363,000","66,300,000","23,398,000","18,507,000","12,439,000","16,821,000","2,200,000"
		OtherCurrentLiabilities,,,,,,,,"1,217,000","74,680,000",,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,556,577,000","1,102,001,000","1,365,237,000","1,460,499,000","1,205,941,000","1,112,006,000","1,362,579,000","1,096,351,000","1,312,873,000","1,305,473,000","1,545,841,000","1,229,962,000","2,280,847,000",,,,,,,,,,,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"593,566,000","633,228,000","640,793,000","663,727,000","612,691,000","231,041,000","331,613,000","295,152,000","256,698,000","223,670,000","331,976,000","334,044,000","234,743,000","100,000,000","100,000,000","147,663,000","140,250,000","138,951,000","198,168,000","220,843,000","225,312,000",,,,,"42,247,000","23,785,000","11,830,000","41,230,000",
			LongTermDebt,"410,293,000","450,658,000","448,774,000","470,354,000","409,551,000","231,041,000","331,613,000","295,152,000","256,698,000","223,670,000","331,976,000","334,044,000","234,743,000","100,000,000","100,000,000","147,663,000","140,250,000","138,951,000","198,168,000","220,843,000","225,312,000",,,,,"42,247,000","23,785,000","11,830,000","41,230,000",
			LongTermCapitalLeaseObligation,"183,273,000","182,570,000","192,019,000","193,373,000","203,140,000","0",,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"38,355,000","32,241,000","44,016,000","44,909,000","23,749,000","160,898,000","191,362,000","193,012,000","136,775,000","150,989,000","218,717,000","190,387,000","329,136,000","16,295,000",,"4,538,000","12,556,000",,,,,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,"38,355,000","32,241,000","44,016,000","44,909,000","23,749,000","14,083,000","11,092,000","13,137,000","6,117,000","13,097,000","7,096,000","0","10,302,000","16,295,000",,"4,538,000","12,556,000",,,,,,,,,,,,,
			NonCurrentDeferredRevenue,,,,"249,499,000","234,343,000","146,815,000","180,270,000","179,875,000","130,658,000","137,892,000","211,621,000","190,387,000","318,834,000",,,,,,,,,,,,,,,,,
		EmployeeBenefits,"256,244,000","239,136,000","342,125,000","298,263,000","207,358,000","167,348,000","173,116,000","145,053,000","149,092,000","165,134,000","180,119,000","150,434,000","144,283,000",,,,,,,,,,,,,,,,,
		LiabilitiesHeldforSaleNonCurrent,,,,,,,,"1,217,000","74,680,000",,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"668,412,000","197,396,000","338,303,000","453,600,000","362,143,000","552,719,000","666,488,000","463,134,000","770,308,000","765,680,000","815,029,000","555,097,000","1,572,685,000",,,,,,,,,,,,,,,,,
TotalEquityGrossMinorityInterest,"789,239,000","820,421,000","953,030,000","685,668,000","592,722,000","545,322,000","523,911,000","513,334,000","525,082,000","533,732,000","527,871,000","505,001,000","513,403,000","497,596,000","451,447,000","425,726,000","443,980,000","359,041,000","308,123,000","306,884,000","279,836,000","247,636,000","241,695,000","221,800,000","187,400,000","166,323,000","160,935,000","135,877,000","107,405,000","44,300,000"
	StockholdersEquity,"789,166,000","794,233,000","823,196,000","685,668,000","592,722,000","545,322,000","523,550,000","510,703,000","518,058,000","527,644,000","522,518,000","500,740,000","508,070,000","494,564,000","451,447,000","425,726,000","443,980,000","359,041,000","308,123,000","306,884,000","279,836,000","247,636,000","241,695,000","221,800,000","187,400,000","166,323,000","160,935,000","135,877,000","107,405,000","44,300,000"
		CapitalStock,"10,000","11,000","13,000","39,333,000","46,557,000","53,392,000","58,492,000","59,361,000","57,520,000","62,397,000","60,198,000","62,181,000","62,726,000","51,901,000","47,824,000","43,653,000","53,054,000","41,226,000","32,631,000","49,637,000","41,653,000","34,471,000","34,593,000","30,019,000","32,700,000","36,525,000","40,916,000","39,821,000","37,646,000",
			CommonStock,"10,000","11,000","13,000","39,333,000","46,557,000","53,392,000","58,492,000","59,361,000","57,520,000","62,397,000","60,198,000","62,181,000","62,726,000","51,901,000","47,824,000","43,653,000","53,054,000","41,226,000","32,631,000","49,637,000","41,653,000","34,471,000","34,593,000","30,019,000","32,700,000","36,525,000","40,916,000","39,821,000","37,646,000",
