name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003
		GainLossonSaleofAssets,"8,000,000","-9,000,000","-214,000,000","424,000,000","80,000,000","-3,000,000","0","3,000,000","0","77,000,000","85,000,000","149,000,000",,"131,000,000","7,000,000","10,000,000","13,685,000","-15,970,000","78,243,000","156,592,000","-78,474,000","-8,042,000",
			GainOnSaleOfSecurity,"8,000,000","-9,000,000","-214,000,000","424,000,000","80,000,000","-3,000,000","0","3,000,000","0","9,000,000","4,000,000","5,000,000",,"26,000,000","-4,000,000","19,000,000","-3,826,000","-50,294,000","39,937,000","156,592,000","-78,474,000","-8,042,000",
			GainonSaleofLoans,,,,,,,,"0","0","68,000,000","81,000,000","144,000,000",,"105,000,000","0","-23,000,000","1,879,304,000","2,429,158,000","2,323,623,000","2,264,867,000","1,608,928,000","1,921,151,000",
			GainonSaleofInvestmentProperty,,,,,,,,,,,,"0",,"3,000,000","11,000,000","14,000,000","17,511,000","34,324,000","38,306,000","0",,,
		OtherNonInterestIncome,"2,021,000,000","1,704,000,000","1,627,000,000","1,419,000,000","1,169,000,000","1,353,000,000","1,375,000,000","1,367,000,000","1,383,000,000","1,486,000,000","1,414,000,000","1,645,000,000",,"1,607,000,000","1,637,000,000","1,567,000,000","2,223,430,000","2,721,472,000","1,416,713,000","1,347,649,000","1,375,025,000","1,487,846,000",
CreditLossesProvision,"-5,847,000,000","-6,018,000,000","-2,359,000,000","-218,000,000","-5,134,000,000","-3,231,000,000","-3,035,000,000","-2,579,000,000","-1,859,000,000","-1,512,000,000","-1,443,000,000","-1,086,000,000",,"-848,000,000","-1,013,000,000","-3,207,000,000","-2,362,405,000","-1,595,615,000","-733,887,000","-606,765,000","-878,486,000","-925,549,000",
NonInterestExpense,"7,250,000,000","5,999,000,000","5,201,000,000","4,651,000,000","4,460,000,000","4,393,000,000","4,077,000,000","3,781,000,000","3,584,000,000","3,615,000,000","3,340,000,000","3,206,000,000",,"2,834,000,000","2,519,000,000","2,178,000,000","2,251,088,000","2,415,797,000","3,617,698,000","3,541,161,000","4,063,843,000","4,207,042,000",
	OccupancyAndEquipment,"90,000,000","89,000,000","118,000,000","92,000,000","113,000,000","107,000,000","102,000,000","99,000,000","95,000,000","95,000,000","92,000,000","82,000,000",,"76,000,000","71,000,000","70,000,000","73,014,000","80,394,000","79,442,000","80,325,000","91,032,000","83,513,000",
		Equipment,,,,,"113,000,000","107,000,000","102,000,000","99,000,000","95,000,000","95,000,000","92,000,000","82,000,000",,"76,000,000","71,128,000","70,274,000","73,014,000","80,394,000",,"92,278,000","91,032,000","83,513,000",
	ProfessionalExpenseAndContractServicesExpense,"1,181,000,000","1,041,000,000","871,000,000","797,000,000","717,000,000","753,000,000","672,000,000","655,000,000","605,000,000","610,000,000","450,000,000","410,000,000",,"432,000,000","415,000,000","343,000,000","321,329,000","349,484,000","361,409,000","339,784,000","292,966,000","261,818,000",
	SellingGeneralAndAdministration,"3,713,000,000","3,598,000,000","3,174,000,000","2,796,000,000","2,553,000,000","2,621,000,000","2,484,000,000","2,288,000,000","2,110,000,000","2,072,000,000","1,977,000,000","1,881,000,000",,"1,651,000,000","1,451,000,000","1,266,000,000","1,233,703,000","1,376,293,000","1,426,328,000","1,426,316,000","1,456,436,000","1,333,944,000",
		GeneralAndAdministrativeExpense,"2,550,000,000","2,434,000,000","2,139,000,000","1,986,000,000","1,894,000,000","1,738,000,000","1,627,000,000","1,512,000,000","1,379,000,000","1,327,000,000","1,242,000,000","1,164,000,000",,"1,048,000,000","914,000,000","803,000,000","827,683,000","845,392,000","850,065,000","864,565,000","869,635,000","758,912,000",
			SalariesAndWages,"2,550,000,000","2,434,000,000","2,139,000,000","1,986,000,000","1,894,000,000","1,738,000,000","1,627,000,000","1,512,000,000","1,379,000,000","1,327,000,000","1,242,000,000","1,164,000,000",,"1,048,000,000","914,000,000","803,000,000","827,683,000","845,392,000","850,065,000","864,565,000","869,635,000","758,912,000",
			OtherGandA,,,,,"201,000,000","211,000,000","200,000,000","154,000,000","164,000,000","168,000,000","176,000,000","192,000,000",,"186,000,000","145,000,000","134,000,000","289,209,000","315,943,000",,"387,595,000","353,054,000","342,154,000",
		SellingAndMarketingExpense,"1,163,000,000","1,164,000,000","1,035,000,000","810,000,000","659,000,000","883,000,000","857,000,000","776,000,000","731,000,000","745,000,000","735,000,000","717,000,000",,"603,000,000","537,000,000","463,000,000","406,020,000","530,901,000","576,263,000","561,751,000","586,801,000","575,032,000",
	OtherNonInterestExpense,"2,266,000,000","1,271,000,000","1,038,000,000","966,000,000","1,077,000,000","912,000,000","819,000,000","739,000,000","774,000,000","838,000,000","821,000,000","833,000,000",,"675,000,000","582,000,000","499,000,000","623,042,000","609,626,000","1,750,519,000","1,694,736,000","2,223,409,000","2,527,767,000",
SpecialIncomeCharges,,"-17,000,000","-15,000,000","-154,000,000","-59,000,000","0","0","-89,000,000","-9,000,000","-18,000,000","0","12,000,000",,"-218,000,000","-22,000,000","-4,000,000","1,891,698,000","863,634,000","0","0","-103,825,000","-84,292,000",
	ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,"391,119,000",,,,
	WriteOff,,"0","0","95,000,000","59,000,000","0","0",,,,,,,,,,,,,,,,
	OtherSpecialCharges,,"17,000,000","15,000,000","59,000,000","96,000,000","96,000,000","83,000,000","89,000,000","9,000,000","18,000,000","134,000,000","-12,000,000",,"218,000,000","22,000,000","4,000,000","-1,891,698,000","-863,634,000","67,363,000","59,302,000","103,825,000","84,292,000",
PretaxIncome,"3,874,000,000","3,826,000,000","5,718,000,000","7,028,000,000","1,435,000,000","3,835,000,000","3,597,000,000","3,537,000,000","3,656,000,000","3,612,000,000","3,694,000,000","3,944,000,000",,"3,753,000,000","3,511,000,000","1,269,000,000","2,120,898,000","1,657,605,000","1,525,713,000","1,667,753,000","924,256,000","1,218,907,000","1,026,908,000"
TaxProvision,"965,000,000","886,000,000","1,344,000,000","1,606,000,000","294,000,000","878,000,000","855,000,000","1,438,000,000","1,263,000,000","1,315,000,000","1,371,000,000","1,474,000,000",,"1,408,000,000","1,284,000,000","504,000,000","844,713,000","594,692,000","561,514,000","535,563,000","346,341,000","442,654,000","378,277,000"
NetIncomeCommonStockholders,"2,828,000,000","2,859,000,000","4,286,000,000","5,323,000,000","1,104,000,000","2,908,000,000","2,689,000,000","2,031,000,000","2,339,000,000","2,246,000,000","2,270,000,000","2,414,000,000",,"2,318,000,000","2,202,000,000","668,000,000","1,206,965,000","910,510,000","588,630,000","1,076,616,000","577,915,000","776,253,000","648,631,000"
	NetIncome,"2,909,000,000","2,940,000,000","4,374,000,000","5,422,000,000","1,141,000,000","2,957,000,000","2,742,000,000","2,099,000,000","2,393,000,000","2,297,000,000","2,323,000,000","2,470,000,000",,"2,345,000,000","2,227,000,000","765,000,000","1,276,185,000","927,750,000","588,630,000","1,076,616,000","577,915,000","776,253,000","648,631,000"
		NetIncomeIncludingNoncontrollingInterests,"2,909,000,000","2,940,000,000","4,374,000,000","5,422,000,000","1,141,000,000","2,957,000,000","2,742,000,000","2,099,000,000","2,393,000,000","2,297,000,000","2,323,000,000","2,470,000,000",,"2,345,000,000","2,227,000,000","765,000,000","1,276,185,000","927,750,000","588,630,000","1,076,616,000","577,915,000","776,253,000","648,631,000"
			NetIncomeContinuousOperations,"2,909,000,000","2,940,000,000","4,374,000,000","5,422,000,000","1,141,000,000","2,957,000,000","2,742,000,000","2,099,000,000","2,393,000,000","2,297,000,000","2,323,000,000","2,470,000,000",,"2,345,000,000","2,227,000,000","765,000,000","1,276,185,000","1,062,913,000","964,199,000","1,132,190,000","577,915,000","776,253,000","648,631,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,"0","0","-135,163,000","-375,569,000","-55,574,000",,,
	PreferredStockDividends,"62,000,000","62,000,000","62,000,000","69,000,000","31,000,000","31,000,000","31,000,000","37,000,000","37,000,000","37,000,000","37,000,000","37,000,000",,"5,000,000",,"90,000,000","53,255,000",,,,,,
DilutedNIAvailtoComStockholders,"2,828,000,000","2,859,000,000","4,286,000,000","5,323,000,000","1,104,000,000","2,908,000,000","2,689,000,000","2,031,000,000","2,339,000,000","2,246,000,000","2,270,000,000","2,414,000,000",,"2,318,000,000","2,202,000,000","668,000,000","1,206,965,000","910,510,000","588,630,000","1,076,616,000","577,915,000","776,253,000","648,631,000"
BasicEPS,"11.35","11.27","15.52","17.85","3.6","9.09","7.81","5.43","5.77","5.14","4.91","4.97","4.51","4.47","4.06","1.23","2.39","1.9","1.23","2.26","1.21","1.63","1.36"
DilutedEPS,"11.33","11.26","15.5","17.83","3.6","9.08","7.79","5.42","5.77","5.13","4.9","4.96","4.5","4.46","4.06","1.22","2.38","1.9","1.23","2.26","1.21","1.63","1.36"
BasicAverageShares,"251,000,000","254,000,000","277,000,000","300,000,000","307,000,000","320,000,000","344,000,000","374,000,000","405,000,000","437,000,000","462,000,000","485,000,000","516,000,000","519,000,000","542,000,000","544,000,000","504,550,000","479,335,000","477,236,000","477,236,000","477,235,927","476,208,602","477,236,000"
DilutedAverageShares,"251,000,000","254,000,000","278,000,000","300,000,000","307,000,000","320,000,000","345,000,000","374,000,000","406,000,000","438,000,000","463,000,000","487,000,000","517,000,000","520,000,000","543,000,000","549,000,000","507,907,000","479,357,000","478,879,000","477,236,000","477,235,927","476,208,602","477,236,000"
InterestIncomeAfterProvisionForLoanLoss,"7,954,000,000","7,081,000,000","8,640,000,000","9,299,000,000","4,096,000,000","6,232,000,000","5,719,000,000","5,421,000,000","5,359,000,000","5,170,000,000","5,019,000,000","4,832,000,000",,"4,524,000,000","3,847,000,000","1,356,000,000","-468,609,000","-191,056,000","2,903,659,000","2,983,142,000","3,024,814,000","3,436,380,000","1,259,028,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"2,909,000,000","2,940,000,000","4,374,000,000","5,422,000,000","1,141,000,000","2,957,000,000","2,742,000,000","2,099,000,000","2,393,000,000","2,297,000,000","2,323,000,000","2,470,000,000",,"2,345,000,000","2,227,000,000","765,000,000","1,276,185,000","927,750,000","588,630,000","1,076,616,000","577,915,000","776,253,000","648,631,000"
NormalizedIncome,"2,921,765,358.802","2,953,073,000","4,385,475,000","5,540,734,000","1,187,905,000","2,957,000,000","2,742,000,000","2,099,000,000","2,393,000,000","2,297,000,000","2,323,000,000","2,462,488,000",,"2,481,250,000","2,233,974,000","758,971,631.206","127,377,330.954","487,111,628.953","939,990,903.92","1,132,190,000","577,915,000","776,253,000","648,631,000"
TotalMoneyMarketInvestments,,,,,,,,,,,,,,,,,,"220,667,000","266,841,000","16,097,000","17,801,000","3,904,000",
ReconciledDepreciation,"388,000,000","458,000,000","561,000,000","531,000,000","485,000,000","436,000,000","435,000,000","393,000,000","351,000,000","391,000,000","369,000,000","334,000,000",,"267,000,000","246,000,000","172,000,000","203,492,000","231,398,000","257,131,000","222,798,000","214,311,000","193,130,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"2,909,000,000","2,940,000,000","4,374,000,000","5,422,000,000","1,141,000,000","2,957,000,000","2,742,000,000","2,099,000,000","2,393,000,000","2,297,000,000","2,323,000,000","2,470,000,000",,"2,345,000,000","2,227,000,000","765,000,000","1,276,185,000","1,062,913,000","964,199,000","1,132,190,000","577,915,000","776,253,000","648,631,000"
TotalUnusualItemsExcludingGoodwill,"-17,000,000","-17,000,000","-15,000,000","-154,000,000","-59,000,000","0","0","-89,000,000","-9,000,000","-18,000,000","0","12,000,000",,"-218,000,000","-11,000,000","10,000,000","1,909,209,000","897,958,000","38,306,000","0","-103,825,000","-84,292,000",
TotalUnusualItems,"-17,000,000","-17,000,000","-15,000,000","-154,000,000","-59,000,000","0","0","-89,000,000","-9,000,000","-18,000,000","0","12,000,000",,"-218,000,000","-11,000,000","10,000,000","1,909,209,000","897,958,000","38,306,000","0","-103,825,000","-84,292,000",
TaxRateForCalcs,"0.249","0.231","0.235","0.229","0.205","0.229","0.238","0.4","0.345","0.364","0.371","0.374",,"0.375","0.366","0.397","0.398","0.359","0.368","0.321","0.375","0.363","0.368"
TaxEffectOfUnusualItems,"-4,234,641.198","-3,927,000","-3,525,000","-35,266,000","-12,095,000","0","0","0","0","0","0","4,488,000",,"-81,750,000","-4,026,000","3,971,631.206","760,401,330.954","322,156,628.953","14,097,903.92","0","0","0","0"
