name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
FinancingCashFlow,"15,170,000,000","7,739,000,000","4,933,000,000","-3,011,000,000","4,883,000,000","-1,634,000,000","781,000,000","-1,258,000,000","3,201,000,000","-3,571,000,000","1,629,000,000","2,242,000,000","-1,305,000,000","2,099,000,000","1,613,000,000","-10,421,000,000","3,721,000,000","1,539,000,000","6,522,000,000","7,148,000,000","1,813,000,000","1,511,000,000","-794,000,000","-1,680,000,000"
	CashFlowFromContinuingFinancingActivities,"15,170,000,000","7,739,000,000","4,933,000,000","-3,011,000,000","4,883,000,000","-1,634,000,000","781,000,000","-1,258,000,000","3,201,000,000","-3,571,000,000","1,629,000,000","2,242,000,000","-1,305,000,000","2,099,000,000","1,613,000,000","-10,421,000,000","3,721,000,000","1,539,000,000","6,522,000,000","7,148,000,000","1,813,000,000","1,511,000,000","-794,000,000","-1,680,000,000"
		NetIssuancePaymentsOfDebt,"918,000,000","-232,000,000","1,445,000,000","-1,143,000,000","230,000,000","1,716,000,000","1,323,000,000","-564,000,000","281,000,000","277,000,000","544,000,000","817,000,000","2,090,000,000","631,000,000","1,507,000,000","-9,059,000,000","-4,851,000,000","4,111,000,000","7,125,000,000","7,706,000,000","1,645,000,000","2,549,000,000","2,217,000,000","-3,604,000,000"
			NetLongTermDebtIssuance,"1,407,000,000","-242,000,000","1,659,000,000","-1,440,000,000","251,000,000","1,897,000,000","1,124,000,000","-602,000,000","-11,000,000","209,000,000","571,000,000","721,000,000","2,673,000,000","527,000,000","823,000,000","-4,493,000,000","-4,851,000,000","3,759,000,000","5,792,000,000","2,885,000,000","930,000,000","269,000,000","-420,000,000","2,494,000,000"
				LongTermDebtIssuance,"2,854,000,000","2,076,000,000","2,843,000,000","268,000,000","3,013,000,000","3,964,000,000","2,934,000,000","1,225,000,000","2,742,000,000","5,166,000,000","7,955,000,000","4,660,000,000","6,064,000,000","2,266,000,000","4,561,000,000","5,314,000,000","11,781,000,000","10,429,000,000","7,918,000,000","4,381,000,000","4,212,000,000","2,897,000,000","1,346,000,000","3,214,000,000"
				LongTermDebtPayments,"-1,447,000,000","-2,318,000,000","-1,184,000,000","-1,708,000,000","-2,762,000,000","-2,067,000,000","-1,810,000,000","-1,827,000,000","-2,753,000,000","-4,957,000,000","-7,384,000,000","-3,939,000,000","-3,391,000,000","-1,739,000,000","-3,738,000,000","-9,807,000,000","-16,632,000,000","-6,670,000,000","-2,126,000,000","-1,496,000,000","-2,652,000,000","-3,248,000,000","-2,380,000,000","-720,000,000"
			NetShortTermDebtIssuance,"-489,000,000","10,000,000","-214,000,000","297,000,000","-21,000,000","-181,000,000","199,000,000","38,000,000","292,000,000","68,000,000","-27,000,000","96,000,000","-583,000,000","104,000,000","684,000,000","-4,566,000,000","-2,809,000,000","352,000,000","1,333,000,000","4,821,000,000","1,645,000,000","2,549,000,000","2,217,000,000","-6,098,000,000"
				ShortTermDebtIssuance,,,,,,,,,,,,,,,,,,"352,000,000",,,,,"2,517,000,000",
				ShortTermDebtPayments,,,,,,,,,,,,,,,,,"-2,809,000,000",,,,,,"-2,170,000,000",
		NetCommonStockIssuance,"-1,001,000,000","-1,012,000,000","-1,488,000,000","-2,500,000,000","-500,000,000","-2,500,000,000","-1,500,000,000","-1,250,000,000","-2,119,000,000","-1,664,000,000","-1,000,000,000","-738,000,000","-650,000,000","-999,000,000","970,000,000","1,391,000,000","-2,161,000,000","-3,000,000,000","-2,346,000,000","-1,926,000,000","-696,000,000","-954,000,000","-781,000,000","4,167,000,000"
