name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
TotalRevenue,"1,304,684,000","1,248,825,000","1,110,941,000","1,394,035,000","1,198,667,000","1,033,379,000","958,154,000","920,338,000","857,779,000","897,801,000","981,135,000","1,019,714,000","952,612,000","958,992,000","1,036,273,000","970,383,000","881,072,000","857,754,000","737,956,000","640,010,000","635,204,000","673,102,000","274,954,000","247,190,000","283,377,000","257,800,000","210,950,000","221,997,000","197,677,000","162,906,000",,,,"109,800,000",,,,
	OperatingRevenue,"1,281,595,000","1,225,296,000","1,109,828,000","1,364,697,000","1,168,836,000","998,235,000","942,367,000","884,191,000","831,893,000","864,558,000","952,127,000","955,906,000","894,047,000","912,966,000","984,779,000","970,383,000","881,072,000","857,754,000","737,956,000","640,010,000","635,204,000","673,102,000","274,954,000","247,190,000","283,377,000","257,800,000","210,950,000","221,997,000","197,677,000","162,906,000",,,,"109,800,000",,,,
CostOfRevenue,"856,680,000","807,324,000","766,393,000","909,146,000","793,975,000","679,676,000","630,177,000","625,683,000","609,836,000","636,842,000","679,105,000","700,417,000","650,161,000","651,758,000","701,795,000",,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"448,004,000","441,501,000","344,548,000","484,889,000","404,692,000","353,703,000","327,977,000","294,655,000","247,943,000","260,959,000","302,030,000","319,297,000","302,451,000","307,234,000","334,478,000",,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"160,381,000","157,323,000","145,371,000","140,589,000","144,484,000","143,786,000","135,650,000","133,142,000","131,181,000","129,391,000","129,421,000","132,575,000","126,177,000","139,182,000","139,089,000",,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"160,381,000","157,323,000","145,371,000","140,589,000","144,484,000","143,786,000","135,650,000","133,142,000","131,181,000","129,391,000","129,421,000","132,575,000","126,177,000","139,182,000","139,089,000","761,797,000","732,396,000","592,488,000","516,083,000","418,734,000","428,247,000","435,025,000","169,810,000","148,838,000","154,881,000","143,600,000","130,064,000","119,785,000","102,059,000","87,051,000",,,,,,,,
		GeneralAndAdministrativeExpense,"160,381,000","157,323,000","145,371,000","140,589,000","144,484,000","143,786,000","135,650,000","133,142,000","131,181,000","129,391,000","129,421,000","132,575,000","126,177,000","139,182,000","139,089,000","761,797,000","732,396,000","592,488,000","516,083,000","418,734,000","428,247,000","435,025,000","169,810,000","148,838,000","154,881,000","143,600,000","130,064,000","119,785,000","102,059,000","87,051,000",,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,"626,767,000","672,244,000","672,325,000","626,030,000","540,200,000","468,609,000","418,734,000","428,247,000","435,025,000","169,810,000","148,838,000","154,881,000","143,600,000","130,064,000","119,785,000","102,059,000","87,051,000",,,,,,,,
			RentAndLandingFees,"65,025,000","66,002,000","59,897,000","60,069,000","62,352,000","62,198,000","61,171,000","61,164,000","60,791,000","62,842,000","62,671,000","66,758,000","62,818,000","76,509,000","74,389,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"95,356,000","91,321,000","85,474,000","80,520,000","82,132,000","81,588,000","74,479,000","71,978,000","70,390,000","66,549,000","66,750,000","65,817,000","63,359,000","62,673,000","64,700,000","89,472,000","106,366,000","52,288,000","47,474,000",,,,,,,,,,,,,,,,,,,
