name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
OperatingCashFlow,"7,963,472,000","-1,493,812,000","-5,279,259,000","-7,176,708,000","-5,953,693,000","-5,682,155,000","-7,606,475,000","-3,532,166,000","-1,441,220,000","385,404,000","1,488,650,000","2,577,753,000","6,201,751,000","-208,577,000","733,396,000","-347,312,000","-2,446,156,000","-8,522,501,000"
	CashFlowFromContinuingOperatingActivities,"7,963,472,000","-1,493,812,000","-5,279,259,000","-7,176,708,000","-5,953,693,000","-5,682,155,000","-7,606,475,000","-3,532,166,000","-1,441,220,000","385,404,000","1,488,650,000","2,577,753,000","6,201,751,000","-208,577,000","733,396,000","-347,312,000","-2,446,156,000","-8,522,501,000"
		NetIncomeFromContinuingOperations,"6,058,426,000","5,357,086,000","-417,614,000","12,451,717,000","5,117,598,000","4,639,540,000","2,450,946,000","2,560,042,000","950,664,000","5,275,032,000","5,395,020,000","7,854,228,000","8,028,244,000","876,486,000","7,776,471,000","6,852,371,000","-13,055,232,000","2,401,074,000"
		OperatingGainsLosses,"2,051,810,000","2,037,493,000","786,558,000","-3,074,387,000","-162,939,000","-497,346,000","-534,652,000","-38,316,000","-347,097,000","-3,001,884,000","-5,433,586,000","-3,909,432,000","-5,202,664,000","-3,317,360,000","-2,411,510,000","314,407,000","-2,155,979,000","-13,314,642,000"
			GainLossOnInvestmentSecurities,"3,398,853,000","3,866,034,000","-944,941,000","-1,781,888,000","-162,939,000","-497,346,000","-534,652,000","-38,316,000","-347,097,000","-3,001,884,000","-5,433,586,000","-3,909,432,000","-5,202,664,000","-3,317,360,000","-2,411,510,000","314,407,000","-2,155,979,000","-13,314,642,000"
			EarningsLossesFromEquityInvestments,"-1,347,043,000","-1,828,541,000","1,731,499,000","-1,292,499,000",,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,"-3,232,324,000","-2,506,693,000","1,241,459,000","-3,940,356,000","-3,479,865,000","-2,664,538,000","-720,180,000","-889,828,000","136,125,000","-1,670,743,000","655,354,000","-3,916,650,000","-2,669,009,000","2,335,502,000","-5,343,580,000","-7,819,412,000","13,198,130,000","445,529,000"
		StockBasedCompensation,"655,120,000","618,469,000","730,236,000","529,816,000","326,758,000","297,708,000","331,708,000","334,820,000","264,890,000","261,579,000","310,403,000","307,514,000","400,207,000","470,221,000","824,193,000","562,373,000","0","0"
		OtherNonCashItems,"-1,075,276,000","-8,428,838,000","-6,189,018,000","-15,381,668,000","-8,165,822,000","-8,519,498,000","-9,096,777,000","-6,883,665,000","-2,134,979,000","-751,396,000","1,037,409,000","1,273,801,000","5,043,434,000","-328,530,000","236,303,000","-1,397,000","2,387,000","-10,886,000"
		ChangeInWorkingCapital,"3,505,716,000","1,428,671,000","-1,430,880,000","2,238,170,000","410,577,000","1,061,979,000","-37,520,000","1,384,781,000","-310,823,000","272,816,000","-475,950,000","968,292,000","601,539,000","-244,896,000","-348,481,000","-255,654,000","-435,462,000","1,956,424,000"
			ChangeInReceivables,"2,134,818,000","1,060,972,000","685,487,000","685,797,000","0","0",,,,,,,,,,"-21,830,000","14,080,000","70,728,000"
				ChangesInAccountReceivables,"2,134,818,000","1,060,972,000","685,487,000","685,797,000","0","0",,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"2,509,763,000","542,820,000","-3,124,973,000","2,141,411,000","1,187,516,000","327,431,000","93,536,000","1,581,967,000","648,737,000","-187,661,000","-156,176,000","578,724,000","254,976,000","273,617,000","266,974,000","344,137,000","28,724,000","99,260,000"
				ChangeInAccruedExpense,"2,509,763,000","542,820,000","-3,124,973,000","2,141,411,000","1,187,516,000","327,431,000","93,536,000","1,581,967,000","648,737,000","-187,661,000","-156,176,000","578,724,000","254,976,000","273,617,000","266,974,000",,,
			ChangeInOtherCurrentAssets,"-607,275,000","188,691,000","1,035,529,000","507,031,000","-571,336,000","954,554,000","24,226,000","86,545,000","-555,666,000","605,305,000","-150,131,000","248,330,000","35,185,000","-287,842,000","-79,616,000","668,545,000","-478,266,000","1,786,436,000"
