name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalRevenue,"21,354,260,000","14,322,870,000","5,565,056,000","16,105,827,000","4,230,891,000","4,220,900,000","2,395,836,000","3,557,280,000","2,040,018,000","1,043,768,000","1,110,008,000","762,546,000","568,442,000","723,620,000","435,386,000","8,085,079,000","-12,630,058,000","2,854,048,000"
	OperatingRevenue,"21,354,260,000","14,322,870,000","5,565,056,000","16,105,827,000","4,230,891,000","4,220,900,000","2,395,836,000","3,557,280,000","2,040,018,000","1,043,768,000","1,110,008,000","762,546,000","568,442,000","723,620,000","435,386,000","8,085,079,000","-12,630,058,000","2,854,048,000"
CostOfRevenue,"16,622,884,000","9,462,219,000","3,558,253,000","9,210,245,000","2,152,490,000","2,116,890,000","1,374,363,000","1,695,490,000","1,063,813,000","1,180,591,000","1,263,852,000","1,266,592,000","1,280,854,000","868,749,000","1,344,455,000",,,
GrossProfit,"4,731,376,000","4,860,651,000","2,006,803,000","6,895,582,000","2,078,401,000","2,104,010,000","1,021,473,000","1,861,790,000","976,205,000","-136,823,000","-153,844,000","-504,046,000","-712,412,000","-145,129,000","-909,069,000",,,
OperatingExpense,"2,798,322,000","2,722,503,000","2,352,381,000","1,942,360,000","780,642,000","791,541,000","715,114,000","641,202,000","631,661,000","690,634,000","932,215,000","500,546,000","317,934,000","345,256,000","418,208,000",,,
	SellingGeneralAndAdministration,"2,798,322,000","2,722,503,000","2,352,381,000","1,942,360,000","780,642,000","791,541,000","715,114,000","641,202,000","631,661,000","690,634,000","932,215,000","500,546,000","317,934,000","345,256,000","418,208,000","1,157,697,000","387,958,000","420,842,000"
		GeneralAndAdministrativeExpense,"2,798,322,000","2,722,503,000","2,352,381,000","1,942,360,000","780,642,000","791,541,000","715,114,000","641,202,000","631,661,000","690,634,000","932,215,000","500,546,000","317,934,000","345,256,000","418,208,000","1,157,697,000","387,958,000","420,842,000"
			SalariesAndWages,,,,,,,,,,,,,,"868,749,000","1,344,455,000","838,072,000","149,182,000","212,766,000"
			RentAndLandingFees,"94,495,000","93,391,000","77,271,000","69,084,000","72,100,000","62,728,000","59,706,000","58,722,000","64,622,000","65,683,000","62,564,000","61,720,000","58,205,000","54,282,000","39,692,000",,,
			InsuranceAndClaims,"872,749,000","825,998,000","562,585,000","358,878,000","0","0",,,,,,,,,,,,
			OtherGandA,"1,831,078,000","1,803,114,000","1,712,525,000","1,514,398,000","708,542,000","728,813,000","655,408,000","582,480,000","567,039,000","624,951,000","869,651,000","438,826,000","259,729,000","290,974,000","378,516,000","319,625,000","238,776,000","208,076,000"
OperatingIncome,"1,933,054,000","2,138,148,000","-345,578,000","4,953,222,000","1,297,759,000","1,312,469,000","306,359,000","1,220,588,000","344,544,000","-827,457,000","-1,086,059,000","-1,004,592,000","-1,030,346,000","-490,385,000","-1,327,277,000",,,
NetNonOperatingInterestIncomeExpense,"357,667,000","423,476,000","257,323,000","353,441,000","433,569,000","374,965,000","520,503,000","433,521,000","231,856,000","645,971,000","592,015,000","375,143,000","289,434,000","249,185,000","173,725,000",,,
