name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
		StockBasedCompensation,"5,832,000","5,929,000","5,366,000","4,349,000","3,629,000","7,475,000","3,122,000","2,952,000","1,844,000","1,695,000","859,000","1,011,000","254,000","45,000","932,000","1,863,000","1,686,000",,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-8,000","-102,000","-138,000","223,000","8,000","0","4,000","-75,000","-1,325,000",,,,,,,,,,,,,,,,,
		ProvisionForLoanLeaseAndOtherLosses,"18,319,000","14,795,000","19,963,000","23,076,000","39,765,000","57,000","9,953,000","10,824,000","2,333,000","2,284,000","1,912,000","6,887,000","21,525,000","64,500,000","84,693,000","124,618,000","28,480,000",,,,,,,,,,,,,,,,,
		ChangeInWorkingCapital,"-39,030,000","92,493,000","-22,928,000","12,672,000","-34,256,000","7,543,000","9,619,000","-1,088,000","-1,193,000","2,076,000","1,034,000","9,165,000","4,053,000","10,545,000","6,714,000","-32,611,000","-3,157,000","11,569,000","-1,409,000","8,273,000","1,108,000","1,379,000","-7,262,000","-20,540,000","667,000","-1,001,000","1,900,000","-7,430,000","2,900,000","2,700,000","-400,000","-400,000","-300,000","100,000"
			ChangeInReceivables,"-10,406,000","-10,989,000","-6,865,000","5,118,000","-17,663,000","1,899,000","-2,741,000","2,466,000","-1,144,000","-2,377,000","2,648,000","-265,000","-2,809,000","-4,715,000",,,,,,,,,,,,,,,,,,,,
				ChangesInAccountReceivables,"-10,406,000","-10,989,000","-6,865,000","5,118,000","-17,663,000","1,899,000","-2,741,000","2,466,000","-1,144,000","-2,377,000","2,648,000","-265,000","-2,809,000","-4,715,000",,,,,,,,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"-17,344,000","121,576,000","1,922,000","-1,222,000","-1,507,000","312,000","357,000","-135,000","60,000","-828,000","567,000","-1,354,000","-1,150,000","-1,420,000","-1,200,000","-929,000","-3,155,000","970,000","1,791,000","1,308,000","1,201,000","2,636,000","-915,000","1,077,000","-75,000","475,000","-632,000","738,000","-500,000","700,000",,,,"300,000"
				ChangeInPayable,"-17,344,000","121,576,000","1,922,000","-1,222,000","-1,507,000","312,000","357,000","-135,000","60,000","-828,000","567,000","-1,354,000","-1,150,000","-1,420,000","-683,000","-2,241,000","-3,155,000","970,000","1,791,000","1,308,000","1,201,000","2,636,000","-915,000","1,077,000","-75,000","475,000","-632,000","738,000","-500,000","700,000",,,,"300,000"
					ChangeInTaxPayable,,,,,,,,,,,,,,,,"-2,913,000","2,636,000","970,000","1,791,000","1,308,000","1,201,000","2,636,000","-915,000","1,077,000","-75,000","475,000","-632,000","738,000","-500,000","700,000",,,,"300,000"
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,,"-2,913,000","2,636,000","970,000","1,791,000","1,308,000","1,201,000","2,636,000","-915,000","1,077,000","-75,000","475,000","-632,000","738,000","-500,000","700,000",,,,"300,000"
					ChangeInAccountPayable,"-17,344,000","121,576,000","1,922,000","-1,222,000","-1,507,000","312,000","357,000","-135,000","60,000","-828,000","567,000","-1,354,000","-1,150,000","-1,420,000","-683,000","-2,241,000","-5,791,000",,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,,,,,,,,,,,,,,"-4,715,000","-517,000","1,312,000",,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"-5,745,000","-9,801,000","-25,807,000","8,188,000","-20,926,000","5,078,000","348,000","1,139,000","6,621,000","2,701,000","-5,702,000","19,881,000","-3,291,000","12,464,000","6,878,000","-29,895,000","-519,000",,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,"-5,535,000","-8,293,000","7,822,000","588,000","5,840,000","254,000","11,655,000","-4,558,000","-6,730,000","2,580,000","3,521,000","-9,097,000","11,303,000","4,216,000","1,036,000","-1,787,000","517,000",,,,,,,,,,,,,,,,,
			ChangeInOtherWorkingCapital,,,,,,,,,,,,,,,,,"-3,161,000","10,599,000","-3,200,000","6,965,000","-93,000","-1,257,000","-6,347,000","-21,617,000","742,000","-1,476,000","2,532,000","-8,168,000","3,400,000","2,000,000",,,,"-200,000"
InvestingCashFlow,"298,575,000","-207,492,000","-1,351,782,000","-3,906,701,000","-3,563,696,000","-42,682,000","-872,420,000","23,655,000","-421,313,000","-681,314,000","158,893,000","149,237,000","-579,646,000","-529,096,000","-822,506,000","-363,683,000","-707,158,000","-211,921,000","-231,739,000","-164,516,000","-271,744,000","-453,880,000","-187,045,000","18,723,000","-104,956,000","-221,187,000","-46,339,000","-52,451,000","-60,200,000","-58,600,000","-56,500,000","-18,000,000","-19,700,000","-15,100,000"
	CashFlowFromContinuingInvestingActivities,"298,575,000","-207,492,000","-1,351,782,000","-3,906,701,000","-3,563,696,000","-42,682,000","-872,420,000","23,655,000","-421,313,000","-681,314,000","158,893,000","149,237,000","-579,646,000","-529,096,000","-822,506,000","-363,683,000","-707,158,000","-211,921,000","-231,739,000","-164,516,000","-271,744,000","-453,880,000","-187,045,000","18,723,000","-104,956,000","-221,187,000","-46,339,000","-52,451,000","-60,200,000","-58,600,000","-56,500,000","-18,000,000","-19,700,000","-15,100,000"
		ProceedsPaymentFederalFundsSoldAndSecuritiesPurchasedUnderAgreementToResell,,,,,,,,,,,,,,,"-1,829,000","-701,000","-640,000",,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"833,505,000","907,020,000","531,883,000","-5,054,279,000","-2,470,167,000","279,389,000","-197,493,000","666,091,000","163,312,000","-319,982,000","476,318,000","438,655,000","-595,750,000","-690,379,000","-965,988,000","-415,520,000","-311,140,000","180,754,000","163,602,000","252,628,000","-1,144,000","-327,027,000","-226,729,000","-115,603,000","6,232,000","-93,463,000","8,992,000","1,657,000","-14,700,000","-21,300,000","-18,200,000","11,400,000","-1,200,000","-14,800,000"
			PurchaseOfInvestment,"-262,420,000","-585,323,000","-1,474,006,000","-6,560,501,000","-3,338,399,000","-1,321,828,000","-946,264,000","-122,149,000","-660,524,000","-1,180,191,000","-331,023,000","-1,426,262,000","-2,638,054,000","-1,730,244,000","-1,666,170,000","-768,045,000","-591,191,000","-92,569,000","-59,462,000","-166,896,000","-318,417,000","-716,427,000","-433,283,000","-299,355,000","-27,810,000","-144,640,000","-38,925,000","-40,944,000","-74,000,000","-49,500,000","-36,800,000","-13,500,000","-13,400,000","21,900,000"
			SaleOfInvestment,"1,095,925,000","1,492,343,000","2,005,889,000","1,506,222,000","868,232,000","1,601,217,000","748,771,000","788,240,000","823,836,000","860,209,000","807,341,000","1,864,917,000","2,042,304,000","1,039,865,000","700,182,000","352,525,000","280,051,000","273,323,000","223,064,000","419,524,000","317,273,000","389,400,000","206,554,000","183,752,000","34,042,000","51,177,000","47,917,000","42,601,000","59,300,000","28,200,000","18,600,000","24,900,000","12,200,000","-36,700,000"
		NetInvestmentPropertiesPurchaseAndSale,,,,,,"4,670,000","9,385,000","12,335,000","10,145,000","10,278,000","15,714,000","28,535,000","41,804,000","46,703,000","30,529,000",,,,,,,,,,,,,,,,,,,
			SaleOfInvestmentProperties,,,,,,"4,670,000","9,385,000","12,335,000","10,145,000","10,278,000","15,714,000","28,535,000","41,804,000","46,703,000","30,529,000",,,,,,,,,,,,,,,,,,,
		NetProceedsPaymentForLoan,"-520,073,000","-1,067,407,000","-1,863,658,000","-471,128,000","-1,131,097,000","-373,328,000","-768,274,000","-640,989,000","-593,602,000","-375,956,000","-316,638,000","-335,131,000","-14,970,000","132,072,000","135,605,000","49,634,000","-384,336,000",,,,,,,,,,,,,,,,,
			ProceedsFromLoans,"3,155,910,000","2,946,294,000","5,432,753,000","6,529,504,000","4,732,941,000","3,250,220,000","2,691,953,000","2,099,292,000","1,781,534,000","1,736,198,000","1,418,517,000","1,224,222,000","1,034,374,000","958,401,000","984,827,000","1,240,739,000","1,394,224,000",,,,,,,,,,,,,,,,,
			PaymentForLoans,"-3,675,983,000","-4,013,701,000","-7,296,411,000","-7,000,632,000","-5,864,038,000","-3,623,548,000","-3,460,227,000","-2,740,281,000","-2,375,136,000","-2,112,154,000","-1,735,155,000","-1,559,353,000","-1,049,344,000","-826,329,000","-849,222,000","-1,191,105,000","-1,778,560,000",,,,,,,,,,,,,,,,,
		NetPPEPurchaseAndSale,"-47,183,000","-49,283,000","-23,238,000","-9,436,000","-11,717,000","-16,398,000","-18,637,000","-10,128,000","-8,306,000","-18,224,000","-14,389,000","-8,977,000","-10,730,000","-17,492,000","-22,652,000","2,904,000","-11,042,000","-18,033,000","-22,241,000","-17,359,000","-7,032,000","-7,579,000","-828,000","-53,131,000","-3,307,000","-5,799,000","-4,791,000","-2,135,000","-2,200,000","-1,300,000","-1,300,000","-800,000","-500,000","-300,000"
			PurchaseOfPPE,"-47,183,000","-49,283,000","-23,238,000","-9,436,000","-11,717,000","-16,398,000","-18,637,000","-10,128,000",,,,,,"-17,492,000","-22,652,000","-11,859,000","-15,336,000",,,,,,,,,,,,,,,,,
			SaleOfPPE,,,,,,,,,,,,,,,"30,529,000","14,763,000","4,294,000",,,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"30,903,000","0","0","1,622,717,000","43,713,000","62,985,000","101,268,000","-4,091,000","6,701,000","21,427,000","-2,112,000","26,155,000","0","0","0","0","0","2,107,000","43,086,000","6,265,000","14,524,000","-243,000",,"109,042,000",,"-4,739,000","-236,000","371,000",,,,,,
			PurchaseOfBusiness,,,,"-22,640,000","-12,088,000","-16,348,000",,"-4,091,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			SaleOfBusiness,"30,903,000","0","0","1,622,717,000","43,713,000","79,333,000","101,268,000",,,,,"26,155,000",,"0",,,,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,"1,423,000","2,178,000","3,231,000","5,425,000","5,572,000","4,670,000","10,716,000","12,772,000","10,582,000","11,421,000","15,714,000","28,535,000","41,804,000","46,703,000",,,"1,033,395,000","-376,749,000","-416,186,000","-406,050,000","-278,092,000","-119,031,000","40,512,000","78,415,000","-107,881,000","-117,186,000","-50,304,000","-52,344,000","-43,300,000","-36,000,000","-37,000,000","-28,600,000","-18,000,000",
FinancingCashFlow,"-836,247,000","659,124,000","845,431,000","3,139,196,000","3,676,332,000","-56,796,000","595,495,000","-230,933,000","187,514,000","255,387,000","-54,875,000","-514,715,000","454,861,000","365,194,000","523,079,000","342,266,000","527,589,000","178,053,000","204,425,000","129,137,000","206,818,000","365,357,000","152,380,000","54,901,000","66,131,000","184,911,000","23,895,000","38,941,000","51,900,000","55,000,000","46,300,000","14,700,000","20,100,000","13,700,000"
	CashFlowFromContinuingFinancingActivities,"-836,247,000","659,124,000","845,431,000","3,139,196,000","3,676,332,000","-56,796,000","595,495,000","-230,933,000","187,514,000","255,387,000","-54,875,000","-514,715,000","454,861,000","365,194,000","523,079,000","342,266,000","527,589,000","178,053,000","204,425,000","129,137,000","206,818,000","365,357,000","152,380,000","54,901,000","66,131,000","184,911,000","23,895,000","38,941,000","51,900,000","55,000,000","46,300,000","14,700,000","20,100,000","13,700,000"
		ChangeInFederalFundsAndSecuritiesSoldForRepurchase,"272,642,000","540,934,000","-74,878,000","16,211,000","427,510,000","172,264,000","4,398,000","-111,077,000","50,236,000","24,951,000","83,713,000","23,886,000","30,865,000","-627,000","-181,699,000","-680,749,000","708,980,000",,,,,,,,,,,,,,,,,
		NetIssuancePaymentsOfDebt,"-437,218,000","943,327,000","1,809,120,000","3,526,000","-38,025,000","-392,051,000","78,743,000","82,792,000","-146,088,000","94,486,000","-544,171,000","-163,800,000","-71,853,000","103,905,000","174,774,000","451,345,000","-216,450,000","294,062,000","-53,720,000","-203,539,000","102,868,000","297,327,000","144,012,000","1,733,000","-8,944,000","90,498,000","-33,027,000","7,556,000","17,800,000","24,300,000","27,800,000","18,000,000","3,400,000","13,000,000"
			NetLongTermDebtIssuance,"4,551,282,000","2,743,327,000","9,120,000","3,526,000","-8,025,000","-137,051,000","-6,257,000","-54,408,000","-46,088,000","-45,514,000","-123,171,000","40,667,000","-71,853,000","103,905,000","174,774,000","451,345,000","-216,450,000","231,427,000","-66,219,000","-439,545,000","45,000,000",,,"-143,000","-14,055,000","87,971,000","-28,593,000","-1,798,000","27,500,000",,,"18,000,000","-8,000,000","13,000,000"
				LongTermDebtIssuance,"4,549,547,000","2,743,327,000","9,120,000","3,526,000","30,564,000","14,109,000","0","150,000,000","0","49,816,000","192,500,000","1,147,451,000","180,000","103,905,000","174,774,000","452,275,000","914,000,000","231,427,000","65,000,000",,"45,000,000",,,,,"87,971,000",,,"27,500,000",,,"18,000,000","260,800,000",
				LongTermDebtPayments,,,"0","0","-38,589,000","-151,160,000","-6,257,000","-204,408,000","-46,088,000","-95,330,000","-315,671,000","-1,106,784,000","-72,033,000",,,,"-216,450,000",,"-131,219,000","-439,545,000",,,,"-143,000","-14,055,000","75,144,000","-28,593,000","-1,798,000",,,,,"-268,800,000","13,000,000"
			NetShortTermDebtIssuance,"-4,988,500,000","-1,800,000,000","1,800,000,000","0","-30,000,000","-255,000,000","85,000,000","137,200,000","-100,000,000","140,000,000","-421,000,000","-204,467,000","0",,,,"10,322,000","62,635,000","12,499,000","236,006,000","57,868,000","297,327,000","144,012,000","1,876,000","5,111,000","2,527,000","-4,434,000","9,354,000","-9,700,000","24,300,000","27,800,000",,"11,400,000",
				ShortTermDebtIssuance,,,"1,800,000,000",,,,"85,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,"-2,740,000,000","-1,800,000,000",,"0","-30,000,000","-255,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,,,,,,,,,,,,,,,,,"103,749,000","6,154,000","36,403,000","5,158,000","3,634,000","4,674,000","6,041,000","9,542,000","101,000","1,073,000","1,573,000","1,554,000","500,000","-500,000","100,000","400,000","500,000",
		NetPreferredStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,"35,000,000",,,,,,,,,,
		CashDividendsPaid,"-147,549,000","-146,690,000","-157,540,000","-145,557,000","-131,263,000","-124,468,000","-85,493,000","-111,720,000","-84,040,000","-79,456,000","-50,944,000","-44,232,000","-47,472,000","-37,395,000","-37,396,000","-32,021,000","-29,079,000","-26,694,000","-22,563,000","-19,059,000","-16,627,000","-14,587,000","-11,532,000","-9,915,000","-6,904,000","-5,923,000","-4,237,000","-3,369,000","-2,300,000","-2,000,000","-1,600,000","-1,400,000","-1,000,000","-1,000,000"
