name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
		PayablesAndAccruedExpenses,"40,428,717,000","28,877,597,000","30,832,882,000","3,493,305,000","2,601,615,000","2,107,702,000","2,787,836,000","2,399,038,000","2,188,052,000","2,384,145,000","1,639,861,000","1,198,929,000","826,700,000","904,155,000","799,445,000","185,548,000"
			Payables,"3,571,532,000","2,796,154,000","4,458,108,000","2,460,547,000","1,886,113,000","1,353,568,000","1,733,218,000","1,562,068,000","1,491,705,000","1,430,853,000","1,355,997,000","1,014,600,000","657,695,000","18,047,000","87,741,000","0"
				AccountsPayable,"2,918,649,000","2,114,517,000","3,863,930,000","2,047,330,000","1,567,333,000","1,053,531,000","1,373,475,000","1,102,848,000","1,311,007,000","1,220,434,000","1,227,735,000","874,139,000","554,271,000",,,
				TotalTaxPayable,"114,784,000","215,580,000","131,456,000","88,040,000","32,682,000","24,453,000","35,933,000","12,514,000","8,770,000","6,362,000","5,742,000","9,250,000","27,259,000",,,
					IncomeTaxPayable,,,,,,,,,"8,770,000","6,362,000",,,,,,
				DuetoRelatedPartiesCurrent,"538,099,000","466,057,000","462,722,000","325,177,000","286,098,000","275,584,000","323,810,000","359,479,000","144,807,000","131,548,000","93,851,000","72,830,000","43,062,000",,,
				OtherPayable,,,,,,,,"87,227,000","27,121,000","72,509,000","28,669,000","58,381,000","33,103,000",,,
			CurrentAccruedExpenses,"36,857,185,000","26,081,443,000","26,374,774,000","1,032,758,000","715,502,000","754,134,000","1,054,618,000","836,970,000","696,347,000","953,292,000","283,864,000","184,329,000","169,005,000","886,108,000","711,704,000","185,548,000"
				InterestPayable,"34,847,917,000","23,116,595,000","23,635,984,000","182,044,000","234,165,000","212,969,000","168,673,000","114,894,000","102,195,000","61,643,000","23,700,000","11,746,000","119,337,000",,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,"107,887,000","35,953,000","20,764,000","17,765,000","17,799,000","21,531,000","17,265,000","12,744,000",,,
		CurrentDebtAndCapitalLeaseObligation,"200,000,000","400,000,000","300,446,000",,,,,,,"27,000,000",,,,,,
			CurrentDebt,"200,000,000","400,000,000","300,446,000",,,,,,,"27,000,000",,,,,,
				LineOfCredit,"200,000,000","400,000,000",,"0","0","0",,,"0","27,000,000","0",,,,,
				OtherCurrentBorrowings,,"805,316,000","300,446,000",,,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,"58,369,000","51,964,000",,,"4,591,000","3,362,000","11,736,000",,,
