name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
		NetPPEPurchaseAndSale,"-197,000,000","-240,000,000","-211,000,000","-345,000,000","-308,000,000","-433,000,000","-277,000,000","-299,000,000","-313,000,000","-303,000,000","-288,000,000","-207,000,000","-285,000,000","-246,000,000","-162,000,000","-189,000,000","-291,000,000","-274,000,000","-161,000,000","-196,000,000","-200,000,000","-169,000,000","-239,000,000","-186,000,000","-300,000,000","-212,000,000","-188,000,000","-150,000,000","-126,000,000","-106,000,000","-132,000,000","-76,000,000","-120,000,000"
			PurchaseOfPPE,"-223,000,000","-267,000,000","-420,000,000","-345,000,000","-308,000,000","-433,000,000","-277,000,000","-299,000,000","-313,000,000","-303,000,000","-288,000,000","-207,000,000","-285,000,000","-246,000,000","-162,000,000","-189,000,000","-291,000,000","-274,000,000","-161,000,000","-196,000,000","-200,000,000","-169,000,000","-239,000,000","-186,000,000","-300,000,000","-212,000,000","-188,000,000","-150,000,000","-126,000,000","-106,000,000","-132,000,000","-76,000,000","-120,000,000"
			SaleOfPPE,"26,000,000","27,000,000","209,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-584,000,000","-180,000,000","-288,000,000","-2,415,000,000","86,000,000","-594,000,000","-1,473,000,000","-1,671,000,000","-569,000,000","-242,000,000","453,000,000","-291,000,000","-113,000,000","-1,612,000,000","-830,000,000","12,000,000","-731,000,000","0","0","-60,000,000","0",,,"-16,000,000","-25,000,000","-971,000,000","-226,000,000","138,000,000","378,000,000",,,,
			PurchaseOfBusiness,"-1,026,000,000","-890,000,000","-1,258,000,000","-5,359,000,000","-1,265,000,000","-1,350,000,000","-2,237,000,000","-2,796,000,000","-1,450,000,000","-1,343,000,000","-1,398,000,000","-1,312,000,000","-1,524,000,000","-1,696,000,000","-1,342,000,000","-784,000,000","-1,102,000,000","0","0","-60,000,000","0",,,"-16,000,000","-25,000,000","-971,000,000","-275,000,000","0",,,,,
			SaleOfBusiness,"442,000,000","710,000,000","970,000,000","2,944,000,000","1,351,000,000","756,000,000","764,000,000","1,125,000,000","881,000,000","1,101,000,000","1,473,000,000","1,045,000,000","1,398,000,000","1,000,000,000","505,000,000","12,000,000","371,000,000",,,,,,,,"0","0","49,000,000","138,000,000","378,000,000",,,,
		NetOtherInvestingChanges,,,,,,,,,,,,,,,,,"-120,000,000","3,000,000","-826,000,000","-2,000,000",,,,,,"1,942,000,000","-95,000,000","-105,000,000","12,000,000","-142,000,000","178,000,000","-73,000,000","-269,000,000"
FinancingCashFlow,"-737,000,000","-1,243,000,000","-3,420,000,000","-5,240,000,000","-2,011,000,000","-2,483,000,000","-3,574,000,000","-2,923,000,000","-1,526,000,000","-4,520,000,000","-4,875,000,000","-5,953,000,000","-4,605,000,000","-7,876,000,000","-6,071,000,000","-7,544,000,000","-7,705,000,000","-5,339,000,000","-3,006,000,000","-555,000,000","5,303,000,000","3,677,000,000","4,784,000,000","2,110,000,000","1,012,000,000","341,000,000","-1,486,000,000","-1,718,000,000","373,000,000","1,307,000,000","596,000,000","1,374,000,000","1,837,000,000"
	CashFlowFromContinuingFinancingActivities,"-737,000,000","-1,243,000,000","-3,420,000,000","-5,240,000,000","-2,011,000,000","-2,483,000,000","-3,574,000,000","-2,923,000,000","-1,526,000,000","-4,520,000,000","-4,875,000,000","-5,953,000,000","-4,605,000,000","-7,876,000,000","-6,071,000,000","-7,544,000,000","-7,705,000,000","-5,339,000,000","-3,006,000,000","-555,000,000","5,303,000,000","3,677,000,000","4,784,000,000","2,110,000,000","1,012,000,000","341,000,000","-1,486,000,000","-1,718,000,000","373,000,000","1,307,000,000","596,000,000","1,374,000,000","1,837,000,000"
		NetIssuancePaymentsOfDebt,"145,000,000","-7,000,000","0","-436,000,000","1,189,000,000","174,000,000","98,000,000","0","1,219,000,000","-20,000,000","-1,006,000,000","-356,000,000","141,000,000","0","-2,000,000","251,000,000","19,000,000","966,000,000","-608,000,000","-46,000,000","668,000,000","-198,000,000","313,000,000","564,000,000","480,000,000","1,035,000,000","394,000,000","310,000,000","158,000,000","359,000,000","19,000,000","-950,000,000","-1,766,000,000"
