name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1991
			NetLongTermDebtIssuance,"124,400,000","-1,000,000","-10,950,000","0","57,000,000","-65,000,000","-103,300,000","50,000,000","0","0","-45,000,000","0","0","72,497,000","-10,000,000","-21,660,000","64,338,000","-41,050,000","-46,825,000","114,652,000","-119,636,000","100,316,000",,"-13,265,000","-40,423,000",,"18,462,000","-31,262,000","-29,400,000","5,375,000","11,700,000"
				LongTermDebtIssuance,,,,"0","207,000,000","0","0","200,000,000","0","0",,"0","0","200,000,000","0",,"100,000,000",,"125,000,000","137,327,000",,"125,300,000",,,,,"18,462,000",,,"5,375,000","13,200,000"
				LongTermDebtPayments,"0","-1,000,000","-10,950,000","0","-150,000,000","-65,000,000","-103,300,000","-150,000,000","0","0","-45,000,000","0","0","-127,503,000","-10,000,000","-21,660,000","-35,662,000","-41,050,000","-171,825,000","-22,675,000","-119,636,000","-24,984,000",,"-13,265,000","-40,423,000",,,"-31,262,000","-29,400,000",,"-1,500,000"
			NetShortTermDebtIssuance,,"0","-69,500,000","-12,500,000",,"-15,000,000","-103,300,000","-27,500,000","45,600,000","40,800,000","-58,800,000","-10,100,000","100,800,000","-119,500,000","147,000,000","0","0","-62,621,000","-68,446,000",,,,,,,,,,,,
				ShortTermDebtPayments,,"0","-69,500,000","-12,500,000",,"-15,000,000","-103,300,000","-27,500,000",,,,,,,,,"-22,500,000","-62,621,000","-68,446,000",,,,,,,,,,,,
		NetCommonStockIssuance,"-37,073,000","-35,049,000","-60,509,000","118,821,000","-14,992,000","-8,317,000","-5,824,000","-7,438,000","-3,935,000","-8,250,000","185,000","-3,475,000","-1,866,000","337,000","2,312,000","2,484,000","-11,447,000","10,970,000","8,595,000","-17,006,000","7,984,000","7,182,000","214,000","4,574,000","-2,968,000","-3,800,000","-4,391,000","1,095,000","2,175,000","-455,000","700,000"
			CommonStockIssuance,,"75,000","127,000","126,558,000","56,000","83,000","70,000","26,000","0","0","185,000","150,000","0","337,000","2,312,000","3,043,000","5,740,000","10,970,000","10,850,000",,,,,,,,,,,,
			CommonStockPayments,"-37,148,000","-35,124,000","-60,636,000","-7,737,000","-15,048,000","-8,400,000","-5,894,000","-7,464,000","-3,935,000","-8,250,000","0","-3,625,000","-1,866,000","0","0","-559,000","-17,187,000",,"-2,255,000",,,,,,,,,,,,
		CashDividendsPaid,"-6,252,000","-6,452,000","-7,044,000","-19,444,000","-18,578,000","-5,944,000","-5,833,000","-5,836,000","-5,887,000","-6,008,000","-5,983,000","-5,978,000","-5,986,000","-6,010,000","-5,871,000","-5,776,000","-5,890,000","-5,560,000","-5,106,000","-4,700,000","-4,828,000","-4,616,000","-4,509,000","-4,443,000","-3,758,000","-3,500,000","-3,531,000","-3,002,000","-4,296,000","-1,827,000",
			CommonStockDividendPaid,"-6,252,000","-6,452,000","-7,044,000","-19,444,000","-18,578,000","-5,944,000","-5,833,000","-5,836,000","-5,887,000","-6,008,000","-5,983,000","-5,978,000","-5,986,000","-6,010,000","-5,871,000","-5,776,000","-5,890,000",,,,,,,,,,,,,,
		InterestPaidCFF,,,"0","0","-2,507,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-32,699,000","-32,260,000","-105,909,000","-2,296,000","-7,049,000","-2,702,000","-2,901,000","-5,982,000","-7,081,000","-1,683,000","1,194,000","-78,000","-3,720,000","-6,194,000","-71,000","230,000","301,000","307,000","-3,720,000",,,,,,,"25,100,000","863,000","234,000","314,000",,"-100,000"
OtherCashAdjustmentInsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000"
EndCashPosition,"33,214,000","28,835,000","137,967,000","341,524,000","35,424,000","79,550,000","90,675,000","48,154,000","64,913,000","63,364,000","63,807,000","98,294,000","135,366,000","70,329,000","52,854,000","68,918,000","46,685,000","27,702,000","23,542,000","32,013,000","33,390,000","34,478,000","16,115,000","24,217,000","14,669,000","10,800,000","11,501,000","10,784,000","9,363,000","9,707,000","0"
	ChangesInCash,"-21,734,000","-109,132,000","-203,557,000","306,100,000","-44,126,000","-11,125,000","42,521,000","-16,759,000","1,549,000","-443,000","-34,487,000","-37,072,000","65,037,000","17,475,000","-16,064,000","22,233,000","18,983,000","4,160,000","-8,471,000","-1,377,000","-1,088,000","18,363,000","-8,102,000","9,548,000","3,831,000","-700,000","717,000","1,421,000","-344,000","-1,336,000","1,400,000"
	BeginningCashPosition,"54,948,000","137,967,000","341,524,000","35,424,000","79,550,000","90,675,000","48,154,000","64,913,000","63,364,000","63,807,000","98,294,000","135,366,000","70,329,000","52,854,000","68,918,000","46,685,000","27,702,000","23,542,000","32,013,000","33,390,000","34,478,000","16,115,000","24,217,000","14,669,000","10,838,000","11,500,000","10,784,000","9,363,000","9,707,000","11,043,000","5,000,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,400,000"
IncomeTaxPaidSupplementalData,"12,793,000","20,576,000","37,512,000","62,378,000","11,191,000","16,816,000","11,520,000",,,"6,088,000","7,590,000","4,509,000","14,254,000","7,993,000","13,913,000","23,719,000","13,750,000","45,900,000","23,400,000",,,,,,,,,,,,
InterestPaidSupplementalData,"80,156,000","68,399,000","22,810,000","10,089,000","19,013,000","40,678,000","53,559,000","23,899,000","19,705,000","17,273,000","18,784,000","26,492,000","38,692,000","60,394,000","15,938,000","16,248,000","32,078,000","57,429,000","61,258,000",,,,,,,,,,,,
CapitalExpenditure,"-8,989,000","-17,056,000","-16,311,000","-8,268,000","-4,528,000","-10,024,000","-9,072,000","-5,611,000","-5,731,000","-5,889,000","-4,398,000","-14,012,000","-14,739,000","-5,192,000","-12,157,000","-7,762,000","-15,243,000","-11,553,000","-7,272,000","-4,589,000","-10,219,000","-12,215,000","-1,360,000","-1,009,000","-1,821,000","-4,600,000","-2,564,000","-39,492,000","-995,000","-597,000",
IssuanceOfCapitalStock,,"75,000","127,000","126,558,000","56,000","83,000","70,000","26,000","0","0","185,000","150,000","0","337,000","2,312,000","3,043,000","5,740,000","10,970,000","10,850,000",,,,,,,,,,,,
IssuanceOfDebt,,,,"0","207,000,000","0","0","200,000,000","0","0",,"0","0","200,000,000","0",,"100,000,000",,"125,000,000","137,327,000",,"125,300,000",,,,,"18,462,000",,,"5,375,000","13,200,000"
RepaymentOfDebt,"0","-1,000,000","-80,450,000","-12,500,000","-150,000,000","-65,000,000","-103,300,000","-177,500,000","0","0","-45,000,000","0","0","-127,503,000","-10,000,000","-21,660,000","-35,662,000","-103,671,000","-240,271,000","-22,675,000","-119,636,000","-24,984,000",,"-13,265,000","-40,423,000",,,"-31,262,000","-29,400,000",,"-1,500,000"
RepurchaseOfCapitalStock,"-37,148,000","-35,124,000","-60,636,000","-7,737,000","-15,048,000","-8,400,000","-5,894,000","-7,464,000","-3,935,000","-8,250,000","0","-3,625,000","-1,866,000","0","0","-559,000","-17,187,000",,"-2,255,000",,,,,,,,,,,,
FreeCashFlow,"-71,302,000","-35,866,000","48,181,000","219,518,000","-58,587,000","69,118,000","159,498,000","-21,747,000","-72,596,000","-25,302,000","73,917,000","-17,441,000","-24,191,000","76,345,000","-149,434,000","46,955,000","44,516,000","102,114,000","107,031,000","-94,323,000","115,392,000","-68,908,000","-4,600,000","21,332,000","51,748,000","-19,100,000","-10,686,000","32,998,000","30,863,000","-4,586,000","-11,700,000"
