name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalAssets,"5,086,083,000","2,076,126,000","1,957,263,000","1,679,485,000","1,532,077,000","1,300,670,000","1,078,502,000","927,637,000","834,100,000","703,547,000","566,304,000","447,133,000","329,390,000","266,575,000"
	CurrentAssets,"1,915,374,000","983,344,000","864,516,000","821,765,000","687,468,000","630,681,000","620,342,000","513,766,000","544,799,000","470,025,000","416,808,000","360,110,000","258,775,000","218,972,000"
		CashCashEquivalentsAndShortTermInvestments,"517,789,000","446,058,000","443,447,000","426,741,000","311,487,000","339,584,000","373,707,000","290,312,000","281,029,000","228,704,000","238,924,000","212,400,000","142,668,000","111,701,000"
			CashAndCashEquivalents,"467,292,000","150,466,000","193,069,000","239,397,000","195,724,000","139,647,000","118,817,000","66,954,000","60,152,000","82,265,000","89,962,000","212,400,000","142,668,000","111,701,000"
			OtherShortTermInvestments,"50,497,000","295,592,000","250,378,000","187,344,000","115,763,000","199,937,000","254,890,000","223,358,000","220,877,000","146,439,000","148,962,000","0",,
		Receivables,"504,870,000","217,308,000","165,651,000","148,100,000","162,424,000","144,356,000","127,060,000","95,783,000","86,353,000","81,202,000","65,137,000","58,601,000","50,063,000","48,583,000"
			AccountsReceivable,"503,235,000","213,247,000","164,436,000","141,676,000","154,326,000","137,067,000","116,676,000","91,983,000","77,681,000","75,430,000","62,414,000","53,496,000","46,727,000","42,433,000"
				GrossAccountsReceivable,"512,169,000","217,971,000","169,398,000","146,084,000","159,925,000","141,293,000","120,639,000","94,754,000","80,194,000","77,077,000","63,995,000","54,457,000","47,329,000","43,041,000"
				AllowanceForDoubtfulAccountsReceivable,"-8,934,000","-4,724,000","-4,962,000","-4,408,000","-5,599,000","-4,226,000","-3,963,000","-2,771,000","-2,513,000","-1,647,000","-1,581,000","-961,000","-602,000","-608,000"
			NotesReceivable,,,,,,"0","1,667,000","0",,,,,,
			TaxesReceivable,"1,635,000","4,061,000","1,215,000","6,424,000","8,098,000","7,289,000","8,717,000","3,800,000","8,672,000","5,772,000","2,723,000","5,105,000","3,336,000","6,150,000"
