name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
InterestExpense,"718,000,000","725,000,000","665,000,000","665,000,000","728,000,000","412,000,000","343,000,000","255,000,000","217,000,000","43,000,000","35,000,000","27,000,000","20,000,000","20,320,000","17,992,000","16,318,000","16,673,000","15,626,000","10,636,000","3,990,000","680,000","194,000","45,000",,,
NetInterestIncome,"-718,000,000","-725,000,000","-665,000,000","-665,000,000","-728,000,000","-412,000,000","-343,000,000","-255,000,000","-217,000,000","-43,000,000","-35,000,000","-27,000,000","-20,000,000","-20,320,000","-17,992,000","-16,318,000","-16,673,000","-15,626,000","-10,636,000","-3,990,000","-680,000","-194,000","-45,000",,,
EBIT,"4,499,000,000","4,323,000,000","2,627,000,000","2,478,000,000","3,501,000,000","2,194,000,000","1,711,000,000","1,389,000,000","1,377,000,000","740,000,000","492,000,000","296,000,000","143,000,000","208,670,000","172,274,000","153,826,000","153,289,000","79,697,000","-11,016,000","89,846,000","70,967,000","52,087,000","41,181,000","18,472,000","6,520,000","-6,612,000"
EBITDA,"5,756,000,000","5,616,000,000","4,058,000,000","3,813,000,000","4,760,000,000","2,837,000,000","2,206,000,000","1,750,000,000","1,655,000,000","851,000,000","581,000,000","363,000,000","209,000,000","266,997,000","224,274,000","197,830,000","188,703,000","107,504,000","9,584,000","102,915,000","80,981,000","58,535,000","43,746,000","20,319,000","7,554,000","-6,612,000"
ReconciledCostOfRevenue,"140,460,000,000","136,684,000,000","127,892,000,000","111,783,000,000","95,359,000,000","65,411,000,000","51,411,000,000","42,376,000,000","34,932,000,000","19,927,000,000","14,583,000,000","9,655,000,000","7,297,000,000","4,429,776,000","3,813,489,000","3,224,312,000","2,697,255,000","2,252,246,000","1,880,546,000","1,232,760,000","808,541,000","634,515,000","379,809,000","270,151,000",,"0"
ReconciledDepreciation,"1,257,000,000","1,293,000,000","1,430,000,000","1,335,000,000","1,259,000,000","643,000,000","495,000,000","361,000,000","278,000,000","111,000,000","89,000,000","67,000,000","66,000,000","58,327,000","52,000,000","44,004,000","35,414,000","27,807,000","20,600,000","13,069,000","10,014,000","6,448,000","2,565,000","1,847,000","1,034,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"2,823,000,000","2,702,000,000","1,202,000,000","1,347,000,000","1,808,000,000","1,321,000,000","900,000,000","828,000,000","562,000,000","356,000,000","268,000,000","161,000,000","89,000,000","120,518,000","90,947,000","86,093,000","84,181,000","41,040,000","-43,629,000","55,632,000","44,312,000","33,270,000","25,621,000","12,895,000","7,728,000","-9,411,000"
TotalUnusualItemsExcludingGoodwill,"1,119,000,000","864,000,000","-1,009,000,000","-785,000,000","347,000,000","142,000,000","253,000,000","190,000,000","114,000,000","35,000,000","28,000,000","18,000,000","7,000,000","4,867,000","15,205,000","15,691,000","21,728,000","24,452,000","17,892,000","10,655,000","6,431,000","5,160,000","9,575,000","3,916,000","1,276,000",
TotalUnusualItems,"1,119,000,000","864,000,000","-1,009,000,000","-785,000,000","347,000,000","142,000,000","253,000,000","190,000,000","114,000,000","35,000,000","28,000,000","18,000,000","7,000,000","4,867,000","15,205,000","15,691,000","21,728,000","24,452,000","17,892,000","10,655,000","6,431,000","5,160,000","9,575,000","3,916,000","1,276,000",
NormalizedEBITDA,"4,637,000,000","4,752,000,000","5,067,000,000","4,598,000,000","4,413,000,000","2,695,000,000","1,953,000,000","1,560,000,000","1,541,000,000","816,000,000","553,000,000","345,000,000","202,000,000","262,130,000","209,069,000","182,139,000","166,975,000","83,052,000","-8,308,000","92,260,000","74,550,000","53,375,000","43,746,000","16,403,000","6,278,000","-6,612,000"
TaxRateForCalcs,"0.255","0.25","0.387","0.263","0.353","0.265","0.346","0.287","0.4","0.4","0.35","0.398","0.382","0.37","0.388","0.355","0.384","0.359","0.4","0.352","0.37","0.376","0.38","0.4","0.4","0"
TaxEffectOfUnusualItems,"285,003,173.764","216,000,000","-390,483,000","-206,533,370.105","122,491,000","37,691,358.025","87,662,280.702","54,620,811.287","45,600,000","14,000,000","9,800,000","7,164,000","2,674,000","1,800,790","5,903,342.58","5,573,233.056","8,339,489.372","8,789,530.552","7,156,800","3,750,893.589","2,376,616.231","1,939,387.586","0","1,566,400","510,400","0"
