name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012
TotalAssets,"5,910,920,000","4,804,296,000","3,816,465,000","3,046,067,000","2,271,777,000","1,653,766,000","1,230,333,000","917,376,000","705,799,000","544,890,000","370,308,000","89,820,000","41,414,000"
	CurrentAssets,"5,003,211,000","3,969,313,000","3,107,183,000","2,310,826,000","1,531,124,000","1,433,414,000","1,012,421,000","711,865,000","500,964,000","501,837,000","353,732,000","86,890,000","39,664,000"
		CashCashEquivalentsAndShortTermInvestments,"4,027,756,000","3,102,628,000","2,376,104,000","1,663,626,000","1,086,748,000","1,090,161,000","761,962,000","518,872,000","346,203,000","397,873,000","288,132,000","46,166,000","16,880,000"
			CashAndCashEquivalents,"703,487,000","886,465,000","1,138,040,000","730,504,000","476,733,000","550,971,000","320,183,000","217,606,000","132,179,000","129,253,000","262,507,000","31,890,000","16,880,000"
			OtherShortTermInvestments,"3,324,269,000","2,216,163,000","1,238,064,000","933,122,000","610,015,000","539,190,000","441,779,000","301,266,000","214,024,000","268,620,000","25,625,000","14,276,000","0"
		Receivables,"888,537,000","785,229,000","694,400,000","611,593,000","422,507,000","321,587,000","238,016,000","182,816,000","144,798,000","92,661,000","58,433,000","38,458,000","21,869,000"
			AccountsReceivable,"852,172,000","703,055,000","631,134,000","564,387,000","389,690,000","303,465,000","224,668,000","182,816,000","144,798,000","92,661,000","58,433,000","37,094,000","20,567,000"
				GrossAccountsReceivable,"852,692,000","703,524,000","631,607,000","564,580,000","390,307,000","303,933,000","225,013,000","183,475,000","145,340,000","93,074,000","58,738,000","37,399,000","20,867,000"
				AllowanceForDoubtfulAccountsReceivable,"-520,000","-469,000","-473,000","-193,000","-617,000","-468,000","-345,000","-659,000","-542,000","-413,000","-305,000","-305,000","-300,000"
			NotesReceivable,,,,,,,,,,,"0","253,000","250,000"
			TaxesReceivable,,,,,,,,,,,"1,389,000","1,111,000","1,052,000"
			OtherReceivables,"36,365,000","82,174,000","63,266,000","47,206,000","32,817,000","18,122,000","13,348,000",,,,,,
		PrepaidAssets,,,"36,679,000","35,607,000","21,869,000","21,666,000","12,443,000","10,177,000","9,963,000","6,488,000",,,
		CurrentDeferredAssets,,,,,,,,,"0","4,815,000","2,075,000","1,169,000","511,000"
			CurrentDeferredTaxesAssets,,,,,,,,,"0","4,815,000","2,075,000","1,169,000","511,000"
