name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2010
MarketCap,"15,396,238,449","20,900,388,128","27,810,640,849","26,312,398,187","26,629,693,556","14,417,253,286","10,027,683,336","10,080,402,872","10,033,528,039","8,000,727,390","3,351,175,652","2,030,846,926","693,709,237","606,246,417"
EnterpriseValue,"13,194,920,980","16,931,434,810","24,490,589,728","23,525,566,174","23,798,031,034","12,778,869,955","9,124,563,454","9,477,071,346","9,498,516,647","7,531,196,327","2,920,454,215","1,754,220,110","428,187,931","335,888,861"
PeRatio,"19.108","32.906","34.515","59.779","28.452","60.868","46.882","55.155","96.769","125.334","68.758",,,
ForwardPeRatio,"16.892","21.882","32.258","47.17","53.192","64.516","32.573","30.769",,,,"33.445","15.552",
PegRatio,"0.833","1.29","1.105","5.216","2.196","2.298","0.969","0.945",,,,,,
PsRatio,"5.567","8.305","16.284","21.701","14.681","25.661","23.784","28.172","48.731","71.337","23.677","17.769","7.504","5.838"
PbRatio,"3.308","4.503","7.25","8.023","8.709","7.725","9.316","11.549","17.858","17.922","10.575","21.32","10.37","3.147"
EnterprisesValueRevenueRatio,"4.638","6.699","14.252","19.544","13.056","23.413","21.219","25.976","45.644","66.411","21.028","15.521","4.985","3.235"
EnterprisesValueEBITDARatio,"11.187","21.122","23.217","43.154","19.662","50.136","40.149","49.686","89.346","117.193","61.119","21.821","-4.449","-5.438"
