name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011
TotalRevenue,"2,573,649,000","2,363,673,000","2,155,060,000","1,850,777,000","1,465,069,000","1,104,081,000","862,210,000","690,559,000","550,542,000","409,221,000","313,222,000","210,151,000","129,548,000","61,262,000","29,129,000"
	OperatingRevenue,"2,573,649,000","2,363,673,000","2,155,060,000","1,850,777,000","1,465,069,000","1,104,081,000","862,210,000","690,559,000","550,542,000","409,221,000","313,222,000","210,151,000","129,548,000","61,262,000","29,129,000"
CostOfRevenue,"685,866,000","677,291,000","609,405,000","503,678,000","408,928,000","303,369,000","245,281,000","211,422,000","173,681,000","142,214,000","115,658,000","82,602,000","57,016,000","29,056,000","12,317,000"
GrossProfit,"1,887,783,000","1,686,382,000","1,545,655,000","1,347,099,000","1,056,141,000","800,712,000","616,929,000","479,137,000","376,861,000","267,007,000","197,564,000","127,549,000","72,532,000","32,206,000","16,812,000"
OperatingExpense,"1,302,369,000","1,257,048,000","1,086,564,000","841,603,000","678,347,000","514,493,000","394,063,000","321,208,000","256,173,000","188,418,000","127,598,000","88,245,000","42,499,000","25,568,000","11,721,000"
	SellingGeneralAndAdministration,"638,386,000","628,017,000","566,286,000","459,568,000","384,127,000","304,598,000","235,280,000","189,191,000","159,430,000","122,442,000","86,442,000","61,918,000","27,861,000","17,818,000","8,084,000"
		GeneralAndAdministrativeExpense,"243,583,000","246,545,000","217,595,000","171,507,000","149,113,000","114,267,000","86,413,000","60,410,000","48,796,000","41,458,000","30,239,000","20,411,000","8,371,000","5,539,000","2,513,000"
			OtherGandA,"243,583,000","246,545,000","217,595,000","171,507,000","149,113,000","114,267,000","86,413,000","60,410,000","48,796,000","41,458,000","30,239,000","20,411,000","8,371,000","5,539,000","2,513,000"
		SellingAndMarketingExpense,"394,803,000","381,472,000","348,691,000","288,061,000","235,014,000","190,331,000","148,867,000","128,781,000","110,634,000","80,984,000","56,203,000","41,507,000","19,490,000","12,279,000","5,571,000"
	ResearchAndDevelopment,"663,983,000","629,031,000","520,278,000","382,035,000","294,220,000","209,895,000","158,783,000","132,017,000","96,743,000","65,976,000","41,156,000","26,327,000","14,638,000","7,750,000","3,637,000"
OperatingIncome,"585,414,000","429,334,000","459,091,000","505,496,000","377,794,000","286,219,000","222,866,000","157,929,000","120,688,000","78,589,000","69,966,000","39,304,000","30,033,000","6,638,000","5,091,000"
NetNonOperatingInterestIncomeExpense,,"133,748,000","45,860,000","14,730,000","15,859,000","25,185,000","15,388,000","8,383,000","4,477,000","4,617,000","3,537,000","502,000","148,000",,
	InterestIncomeNonOperating,,"133,748,000","45,860,000","14,730,000","15,859,000","25,185,000","15,388,000","8,383,000","4,477,000","4,617,000","3,537,000","502,000","148,000",,
OtherIncomeExpense,"66,169,000","24,941,000","4,145,000","-7,915,000","340,000","2,293,000","389,000","-541,000","-2,810,000","-4,589,000","-6,317,000","-1,306,000","-1,088,000","15,000","173,000"
	GainOnSaleOfSecurity,,"124,000","591,000","-714,000","2,275,000","-708,000","-2,103,000","1,177,000","-1,009,000","-1,785,000","-3,893,000","-940,000","-987,000",,
	SecuritiesAmortization,,"-24,817,000","-2,982,000","7,201,000","3,082,000","-3,001,000","-2,492,000","1,718,000","1,801,000","2,804,000","2,424,000","366,000","101,000",,
	OtherNonOperatingIncomeExpenses,,,"572,000",,"1,147,000",,,,,,,"-804,000","-940,000","15,000","173,000"
PretaxIncome,"785,331,000","588,023,000","509,096,000","512,311,000","393,993,000","313,697,000","238,643,000","165,771,000","122,355,000","78,617,000","67,186,000","38,500,000","29,093,000","6,653,000","5,264,000"
