name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
EndCashPosition,"408,190,000","467,292,000","150,466,000","193,069,000","239,397,000","195,724,000","139,747,000","118,817,000","67,431,000","57,652,000","82,265,000","89,962,000","212,400,000","142,668,000","111,701,000","50,650,000"
	ChangesInCash,"101,738,000","314,646,000","-41,856,000","-45,518,000","42,808,000","56,133,000","21,186,000","49,407,000","-14,445,000","-24,766,000","-7,882,000","-122,668,000","69,829,000","31,689,000","61,053,000","5,878,000"
	EffectOfExchangeRateChanges,"2,234,000","2,180,000","-747,000","-810,000","865,000","-156,000","-256,000","1,979,000","-1,894,000","153,000","185,000","230,000","-97,000","-722,000","-2,000","50,000"
	BeginningCashPosition,"306,452,000","150,466,000","193,069,000","239,397,000","195,724,000","139,747,000","118,817,000","67,431,000","83,770,000","82,265,000","89,962,000","212,400,000","142,668,000","111,701,000","50,650,000","44,722,000"
IncomeTaxPaidSupplementalData,"133,200,000","100,593,000","77,823,000","45,027,000","25,437,000","34,139,000","30,552,000","59,111,000","50,087,000","57,100,000","51,096,000","38,719,000","44,875,000","35,721,000","28,828,000","38,906,000"
InterestPaidSupplementalData,"79,000",,,,,"79,000","6,000","3,000","35,000","9,000","32,000","96,000","63,000","167,000","463,000","496,000"
CapitalExpenditure,"-100,781,000","-78,274,000","-74,047,000","-56,898,000","-63,658,000","-70,750,000","-59,697,000","-51,303,000","-40,909,000","-50,760,000","-24,754,000","-23,680,000","-24,684,000","-22,487,000","-12,303,000","-25,963,000"
IssuanceOfCapitalStock,,,,"63,496,000","72,322,000","31,036,000","39,309,000","11,735,000","5,874,000","5,477,000","9,738,000","7,555,000","22,464,000","886,000","1,321,000","918,000"
IssuanceOfDebt,,,,,,,,,,,,,,"0",,"858,000"
RepaymentOfDebt,,,,,,,,,,,,"0","0","-5,253,000","-340,000","-531,000"
RepurchaseOfCapitalStock,"-310,349,000","-225,562,000","-144,493,000","0","-104,669,000","0","0",,,,,"0","0","-10,021,000","0","0"
FreeCashFlow,"161,022,000","165,225,000","104,421,000","219,376,000","135,135,000","101,225,000","121,946,000","107,755,000","106,914,000","73,247,000","54,418,000","69,791,000","51,835,000","53,923,000","58,985,000","6,116,000"
