name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
InvestingCashFlow,"-348,339,000","-576,754,000","-876,343,000","531,032,000","-1,007,700,000","-1,448,778,000","1,829,279,000","1,246,257,000","-428,973,000","-1,660,365,000","-1,511,879,000","-196,648,000","-2,314,152,000","-4,580,484,000","-430,929,000","-61,406,000","427,327,000","-2,888,115,000","-3,692,052,000","-414,786,000","-84,682,000","-309,321,000","-391,030,000","-118,163,000","63,714,000","-230,460,000","-417,524,000","-205,238,000","-104,797,000","-80,627,000","-61,383,000","-29,300,000","-69,100,000","-1,500,000","-54,800,000","-44,800,000"
	CashFlowFromContinuingInvestingActivities,"-348,339,000","-576,754,000","-876,343,000","531,032,000","-1,007,700,000","-1,448,778,000","1,829,279,000","1,246,257,000","-428,973,000","-1,660,365,000","-1,511,879,000","-196,648,000","-2,314,152,000","-4,580,484,000","-430,929,000","-61,406,000","427,327,000","-2,888,115,000","-3,692,052,000","-414,786,000","-84,682,000","-309,321,000","-391,030,000","-118,163,000","63,714,000","-230,460,000","-417,524,000","-205,238,000","-104,797,000","-80,627,000","-61,383,000","-29,300,000","-69,100,000","-1,500,000","-54,800,000","-44,800,000"
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,"-179,202,000","-272,563,000","-24,256,000","484,054,000","461,754,000","512,317,000","64,564,000","-200,462,000","-222,745,000","-272,853,000","-155,329,000","-21,558,000","-194,654,000","-390,184,000","-191,408,000","-115,308,000","-74,958,000","-52,413,000",,,,,
			PurchaseOfPPE,,,,,,,,,,,,,,"-198,385,000","-304,847,000","-96,528,000","-155,531,000","-425,464,000","-480,137,000","-389,726,000","-200,462,000","-222,745,000","-272,853,000","-155,329,000","-21,558,000","-240,752,000","-411,722,000","-200,032,000","-115,308,000","-83,345,000",,,,,,
			SaleOfPPE,,,,,,,,,,,,,,"19,183,000","32,284,000","72,272,000","639,585,000","887,218,000","512,317,000","454,290,000","140,402,000","56,110,000","20,890,000","29,303,000","81,022,000","46,098,000","21,538,000","8,624,000","0","8,387,000",,,,,,
		NetIntangiblesPurchaseAndSale,,,,,,,,,,,,,,,,"-40,702,000","-59,991,000","-49,669,000",,,,,,,,,,,,,,,,,,
			PurchaseOfIntangibles,,,,,,,,,,,,,,,,"-40,702,000","-59,991,000","-49,669,000",,,,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-151,153,000","-88,391,000","104,842,000","-25,260,000","-39,118,000","429,686,000","717,503,000","415,908,000","-10,186,000","-838,349,000","-373,121,000","0","-186,478,000","-4,257,106,000","-218,570,000","-1,106,000","-724,000","-2,986,330,000","-3,325,046,000","0",,,,,,"-298,911,000","0",,,,,,,,,
			PurchaseOfBusiness,"-276,815,000","-88,391,000","-21,143,000","-25,260,000","-39,118,000","-14,956,000","-12,203,000","-46,334,000","-10,186,000","-838,349,000","-373,121,000","0","-186,478,000","-4,257,106,000","-218,570,000","-7,975,000","-3,579,000","-2,986,330,000","-3,325,046,000","0",,,,,,"-298,911,000","0",,,,,,,,,
			SaleOfBusiness,"125,662,000","0","125,985,000","0","0","444,642,000","729,706,000","462,242,000","0","0",,,,"2,408,000","4,365,000","6,869,000","2,855,000","0",,,,,,,,,,,,,,,,,,
