name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-194,000,000","-585,000,000","-482,000,000","-279,000,000","-114,000,000","-40,848,000","-81,620,000","-80,186,000","-191,939,000",,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"5,438,000,000","1,982,000,000","1,724,000,000","1,515,000,000","6,106,000,000","4,530,000,000","171,000,000","304,000,000","162,000,000","562,000,000","101,000,000","105,000,000","66,000,000","56,414,000","10,408,000","152,824,000","198,262,000","201,817,000","200,697,000",,,,"611,000","737,000","1,180,000",,"-100,000","-100,000","-100,000","100,000",,"-100,000",,,"-100,000"
		ChangeInWorkingCapital,"-4,097,000,000","-2,303,000,000","-1,763,000,000","489,000,000","-1,638,000,000","-798,000,000","-939,000,000","5,108,000,000","1,546,000,000","1,495,000,000","-518,000,000","-562,000,000","108,000,000","211,853,000","-680,380,000","30,209,000","-128,130,000","-236,065,000","-225,147,000","-260,821,000","-122,890,000","-102,092,000","-35,256,000","-30,822,000","-6,617,000","-20,100,000","3,000,000","-6,800,000","800,000","1,100,000","0","1,000,000","3,500,000","-100,000","900,000"
			ChangeInReceivables,"-487,000,000","157,000,000","-406,000,000","313,000,000","-1,171,000,000","-218,000,000","480,000,000","754,000,000","1,192,000,000","-1,397,000,000","-2,578,000,000","-315,000,000","198,000,000","-375,736,000","-348,875,000","-356,462,000","-257,161,000","-138,034,000","-184,370,000","13,753,000","-118,843,000","-97,086,000","-43,890,000","-25,482,000","-3,942,000","-7,000,000","-6,500,000","-6,100,000",,,,,,,
				ChangesInAccountReceivables,"-487,000,000","157,000,000","-406,000,000","313,000,000","-1,171,000,000","-218,000,000","480,000,000","754,000,000","1,192,000,000","-1,397,000,000","-2,578,000,000","-315,000,000","198,000,000","-375,736,000","-348,875,000","-356,462,000","-257,161,000",,,,,,,,,,,,,,,,,,
			ChangeInInventory,"-504,000,000","-842,000,000","-310,000,000","11,000,000","-195,000,000","-95,000,000","-310,000,000","-253,000,000","-488,000,000","-855,000,000","143,000,000","-343,000,000","-350,000,000","-200,793,000","-161,190,000","-75,266,000","-330,726,000","-34,619,000","-358,184,000","-81,923,000","-37,889,000","-46,474,000","-12,348,000","-18,718,000","397,000","-4,400,000","900,000","-1,000,000",,,,,,,
			ChangeInPrepaidAssets,"-83,000,000","39,000,000","-134,000,000","-45,000,000","-214,000,000","-307,000,000","903,000,000","358,000,000","-520,000,000","-90,000,000","-371,000,000","-170,000,000","-129,000,000","-13,959,000","-70,466,000","-65,667,000","9,719,000","-252,489,000","19,028,000","-355,540,000","-18,764,000","-10,806,000","-8,915,000","-2,734,000","-10,601,000",,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"-65,000,000","111,000,000","-549,000,000","571,000,000","-58,000,000","-178,000,000","-2,012,000,000","4,249,000,000","1,362,000,000","3,837,000,000","2,257,000,000","244,000,000","366,000,000","831,825,000","-70,121,000","479,001,000","424,957,000","-77,549,000","263,965,000","13,531,000","11,903,000","6,144,000","5,232,000","8,454,000","2,232,000","1,400,000","-500,000","-4,800,000","100,000","1,400,000",,,"700,000",,"200,000"
				ChangeInPayable,"-83,000,000","-347,000,000","226,000,000","-118,000,000","-698,000,000","211,000,000","-1,498,000,000","5,067,000,000","1,057,000,000","495,000,000","244,000,000","-68,000,000","49,000,000","539,715,000","-190,186,000","369,975,000","288,681,000",,,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,,,"-568,000,000","-364,000,000","-778,000,000","272,000,000","-1,459,000,000","5,497,000,000","1,010,000,000","269,000,000","533,000,000","30,000,000","-68,000,000","110,771,000","-185,733,000","166,334,000","-23,887,000",,,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,,,"-568,000,000","-364,000,000","-778,000,000","272,000,000","-1,459,000,000","5,497,000,000","1,010,000,000","269,000,000","533,000,000","30,000,000","-68,000,000","110,771,000","-185,733,000","166,334,000","-23,887,000",,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"-83,000,000","-347,000,000","226,000,000","-118,000,000","80,000,000","-61,000,000","-39,000,000","-430,000,000","47,000,000","226,000,000","-289,000,000","-98,000,000","117,000,000","428,944,000","-4,453,000","203,641,000","312,568,000",,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,"18,000,000","458,000,000","-775,000,000","689,000,000","640,000,000","-389,000,000","-514,000,000","-818,000,000","305,000,000","3,342,000,000","2,013,000,000","312,000,000","317,000,000","292,110,000","120,065,000","109,026,000","136,276,000",,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,"-10,601,000","-300,000","5,300,000","-13,700,000","-2,900,000","200,000","-100,000","-1,100,000","-100,000","-700,000","-100,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,"80,087,000","-30,387,000","149,358,000","40,703,000","46,130,000","24,665,000","7,658,000","5,297,000","-9,800,000","3,800,000","18,800,000","3,600,000","-500,000","100,000","2,100,000","2,900,000","600,000","800,000"
			ChangeInOtherWorkingCapital,"-2,958,000,000","-1,768,000,000","-364,000,000","-361,000,000",,,,,"-304,000,000","374,000,000","31,000,000","22,000,000","23,000,000","-29,484,000","-29,728,000","48,603,000","25,081,000","186,539,000","64,801,000",,,,,,,,,,,,,,,,
InvestingCashFlow,"-3,470,000,000","-2,265,000,000","-2,466,000,000","-3,131,000,000","-14,615,000,000","-7,817,000,000","14,355,000,000","-16,069,000,000","-11,985,000,000","-12,475,000,000","-1,823,000,000","-254,000,000","-11,846,000,000","3,589,845,000","-1,937,751,000","-2,215,900,000","-178,819,000","-1,302,467,000","-1,739,334,000","-682,478,000","-487,414,000","-727,345,000","45,822,000","20,780,000","-84,203,000","-16,300,000","67,400,000","-141,500,000","-39,500,000","-69,900,000","39,400,000","32,100,000","-124,100,000","-18,000,000","-300,000"
	CashFlowFromContinuingInvestingActivities,"-3,471,000,000","-2,266,000,000","-2,466,000,000","-3,131,000,000","-14,615,000,000","-7,817,000,000","14,355,000,000","-16,069,000,000","-11,985,000,000","-12,475,000,000","-1,823,000,000","-254,000,000","-11,846,000,000","3,589,845,000","-1,937,751,000","-2,215,900,000","-178,819,000","-1,302,467,000","-1,739,334,000","-682,478,000","-487,414,000","-727,345,000","45,822,000","20,780,000","-84,203,000","-16,300,000","67,400,000","-141,500,000","-39,500,000","-69,900,000","39,400,000","32,100,000","-124,100,000","-18,000,000","-300,000"
		CapitalExpenditureReported,"-572,000,000","-585,000,000","-728,000,000","-579,000,000","-650,000,000","-825,000,000","-924,000,000","-590,000,000","-748,000,000","-747,000,000","-557,000,000","-190,000,000","-397,000,000","-131,904,000","-61,884,000","-230,057,000","-115,005,000",,,,,,,,,,,,,,,,,,
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,,,,,"-78,648,000","-105,208,000","-47,951,000","-51,366,000","-38,609,000","-17,597,000","103,669,000","-15,621,000","-12,500,000","-11,000,000","-13,800,000","-3,700,000","-600,000","-3,900,000","-3,200,000","-4,400,000","-500,000","-300,000"
			PurchaseOfPPE,,,,,,,,,,,,,,,,,,"-78,648,000","-105,208,000","-47,951,000","-51,366,000","-38,609,000","-17,597,000","-26,331,000","-15,621,000","-12,500,000","-11,000,000","-13,800,000","-3,700,000","-600,000","-3,900,000","-3,200,000","-4,400,000","-500,000","-300,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,"130,000,000",,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-4,553,000,000","-1,152,000,000","-1,797,000,000","-1,584,000,000","-25,742,000,000","-4,251,000,000","0","-10,426,000,000","0","0","0","-379,000,000","-10,752,000,000","-588,608,000","-91,000,000","-1,247,816,000","-10,851,000","-46,443,000","-2,736,172,000",,,"-498,507,000",,,,,,,,,,,,,
			PurchaseOfBusiness,"-4,553,000,000","-1,152,000,000","-1,797,000,000","-1,584,000,000","-25,742,000,000","-4,251,000,000","0","-10,426,000,000","0","0","0","-379,000,000","-10,752,000,000","-588,608,000","-91,000,000","-1,247,816,000","-10,851,000",,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"1,637,000,000","-528,000,000","60,000,000","-987,000,000","11,948,000,000","-2,307,000,000","15,469,000,000","-5,053,000,000","-11,237,000,000","-11,728,000,000","-1,266,000,000","315,000,000","-697,000,000","4,310,357,000","-1,784,867,000","-738,027,000","-52,963,000","-1,177,376,000","1,102,046,000","-634,527,000","-436,048,000","-190,229,000","113,419,000","-97,191,000","-66,132,000","-1,400,000","68,100,000","-131,100,000","-35,800,000","-69,400,000","43,200,000","35,300,000","-119,800,000","-17,500,000",
			PurchaseOfInvestment,"-1,763,000,000","-2,372,000,000","-1,942,000,000","-3,897,000,000","-20,770,000,000","-32,228,000,000","-10,389,000,000","-23,314,000,000","-25,976,000,000","-17,239,000,000","-2,125,000,000","-257,000,000","-1,270,000,000","-5,127,790,000","-5,502,687,000","-2,614,046,000","-3,273,112,000","-3,507,119,000","-2,609,483,000","-2,225,980,000","-1,464,046,000","-934,759,000","-490,259,000","-377,725,000","-229,862,000","-187,000,000","-488,400,000","-430,500,000","-437,600,000","-174,000,000","-111,600,000","-171,900,000","-203,400,000","-17,500,000",
