name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2002
TotalAssets,"470,114,000","375,630,000","237,788,000","192,354,000","112,376,230","60,449,962","85,387,430","41,706,853","60,101,570","43,908,086","25,369,554","16,789,245","6,249,257","5,831,488","7,966,382","12,032,968","16,679,922","20,619,479","789,450","185,376","111,589"
	CurrentAssets,"219,329,000","320,806,000","210,106,000","159,244,000","111,363,623","55,187,406","85,187,157","41,453,761","59,901,133","43,827,821","25,320,038","16,726,678","6,228,183","5,775,404","7,887,424","11,915,156","16,531,686","20,587,822","771,567","183,911",
		CashCashEquivalentsAndShortTermInvestments,"137,636,000","298,395,000","191,266,000","140,278,000","94,518,760","53,481,613","84,013,413","40,405,817","58,396,395","39,275,123","23,710,596","15,417,208","6,029,067","5,475,158","7,779,277","11,766,629","15,943,896","20,434,702","771,127","183,911","107,089"
			CashAndCashEquivalents,"137,636,000","298,395,000","171,445,000","130,237,000","89,511,710","16,559,400","57,496,702","13,893,064","28,235,016","9,096,778","2,215,958","1,409,939","6,029,067","5,475,158","7,779,277","11,766,629","15,943,896","20,434,702","771,127","183,911","107,089"
				CashEquivalents,,,,,,,,,,,"6,227,534","7,912,764",,,,,,,,,
			OtherShortTermInvestments,,"0","19,821,000","10,041,000","5,007,050","36,922,213","26,516,711","26,512,753","30,161,379","30,178,345","21,494,638","14,007,269","0",,,,,,,,
		Receivables,"53,514,000","10,439,000","6,619,000","5,987,000","10,536,997","0",,,,,,,"0","134,025","0","12,153","63,709","85,787",,,
			AccountsReceivable,"53,514,000","10,439,000","6,619,000","5,987,000","10,536,997","0",,,,,,,,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,"0","12,153",,,,,
			TaxesReceivable,,,,"1,368,464","0",,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,"436,784","0",,,,,,,,,,,,,,,,
			OtherReceivables,,"354,000","105,000","437,000",,,,,,,,,,,,,,,,,
		Inventory,"15,644,000","6,805,000","7,870,000","4,651,000","1,956,792","56,012","0",,,,,,,,,,,,,,
			RawMaterials,"1,910,000","0","1,769,000","0",,,,,,,,,,,,,,,,,
			WorkInProcess,"4,573,000","5,543,000","5,172,000","3,555,000",,,,,,,,,,,,,,,,,
			FinishedGoods,"9,161,000","1,262,000","929,000","1,096,000",,,,,,,,,,,,,,,,,
		PrepaidAssets,"12,397,000","4,813,000","3,919,000","7,445,000","3,834,409","1,346,052","1,115,463","1,011,500","1,470,022","4,552,698","1,586,291","1,294,757","190,745","166,221","108,147","136,374","524,081","67,333","440",,
		OtherCurrentAssets,"138,000","354,000","432,000","883,000","516,665","303,729","58,281","36,444","34,716","4,552,698","23,151","14,713","8,371","0","0","0","0","0","0","0",
