name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995
			PurchaseOfPPE,"-459,000,000","-431,000,000","-390,000,000","-388,000,000","-451,000,000","-362,000,000","-426,000,000","-405,000,000","-404,000,000","-488,000,000","-376,000,000","-278,000,000","-241,000,000","-221,000,000","-233,000,000","-199,000,000","-195,000,000","-356,000,000","-306,000,000","-326,000,000","-271,000,000","-112,000,000","-116,000,000","-130,800,000","-158,900,000","-145,100,000","-199,200,000","-166,400,000","-1,354,900,000","-107,100,000","-77,100,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,"200,000","11,600,000","1,077,900,000","22,300,000","19,400,000","308,000,000","42,800,000","572,900,000"
		NetIntangiblesPurchaseAndSale,,,,,"-190,000,000","-144,000,000","-131,000,000","-175,000,000","-158,000,000","-189,000,000","-169,000,000","-141,000,000","-159,000,000","-177,000,000","-155,000,000",,,,,,,,,,,,,,,,
			PurchaseOfIntangibles,,,,,"-190,000,000","-144,000,000","-131,000,000","-175,000,000","-158,000,000","-189,000,000","-169,000,000","-141,000,000","-159,000,000","-177,000,000","-155,000,000",,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-174,000,000","-225,000,000","210,000,000","572,000,000","365,000,000","-96,000,000","-804,000,000","-2,393,000,000","-2,780,000,000","170,000,000","-155,000,000","-4,537,000,000","-1,873,000,000","-1,051,000,000","-183,000,000","-17,000,000","-295,000,000","-610,000,000","-1,938,000,000","-589,000,000","-64,000,000","-49,000,000","-385,800,000","-73,100,000","-51,900,000","-128,900,000","-277,800,000","-177,500,000",,,
			PurchaseOfBusiness,,"-272,000,000","-867,000,000","-6,000,000","-35,000,000","-133,000,000","-905,000,000","-2,893,000,000","-4,212,000,000","-40,000,000","-170,000,000","-4,634,000,000","-1,873,000,000","-1,051,000,000","-292,000,000","-18,000,000","-358,000,000",,,,,,,,,,,,,,
			SaleOfBusiness,"98,000,000","47,000,000","1,077,000,000","578,000,000","400,000,000","37,000,000","101,000,000","500,000,000","1,432,000,000","210,000,000","15,000,000","97,000,000","0","0","109,000,000","1,000,000","63,000,000",,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,,,,,,,,,,,,,,,,,,,"179,000,000","63,000,000",,,,,"13,900,000","1,700,000","90,000,000","60,700,000","70,200,000","114,200,000","-304,100,000"
			PurchaseOfInvestment,,,,,,,,,,,,,,,,,,,,,,,,,,"-161,100,000","-27,900,000","-118,300,000","-274,200,000","-130,600,000","-324,000,000"
			SaleOfInvestment,,,,,,,,,,,,,,,,,,,"179,000,000","63,000,000",,,,,"13,900,000","162,800,000","90,000,000","179,000,000","344,400,000","244,800,000","19,900,000"
		NetOtherInvestingChanges,"-106,000,000","-160,000,000","-194,000,000","-126,000,000","-139,000,000","23,000,000","-20,000,000","-20,000,000","73,000,000","-1,050,000,000","23,000,000","-90,000,000","64,000,000","-53,000,000","-53,000,000","86,000,000","-40,000,000",,"-38,000,000","-1,118,000,000","-25,000,000","-139,000,000","-74,300,000","-179,700,000","-104,300,000","-250,300,000","-222,500,000","-130,900,000","-117,500,000","-53,900,000","-27,500,000"
	CashFromDiscontinuedInvestingActivities,,,,,,,,,,,,,,,,,,"961,000,000","-43,000,000","-961,000,000",,,,,,,,,,,
