name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
			CommonStock,"825,000,000","890,000,000","901,000,000","913,000,000","936,000,000","944,000,000","969,000,000","972,000,000","991,000,000","1,001,000,000","1,001,000,000","1,001,000,000","1,016,000,000","957,000,000","957,000,000","959,000,000","990,000,000","990,000,000","994,000,000","1,008,000,000","1,017,000,000","1,025,000,000","871,000,000","894,000,000","906,000,000","1,048,691,860.465"
		AdditionalPaidInCapital,,,,,,,,,,,,,"1,016,000,000","957,000,000","957,000,000","959,000,000","990,000,000","990,000,000",,,,"3,114,000,000","2,595,000,000","179,000,000",,
		RetainedEarnings,,,,,,,,,,,,,"64,949,000,000","62,364,000,000","56,562,000,000","49,468,000,000","45,031,000,000","40,261,000,000","32,142,000,000","30,328,000,000","29,533,000,000","26,978,000,000","22,954,000,000","22,291,000,000","22,543,000,000","21,851,744,186.047"
		TreasuryStock,"41,000,000","92,000,000","48,000,000","53,000,000","80,000,000","69,000,000","100,000,000","76,000,000","101,000,000","103,000,000","89,000,000","92,000,000","121,000,000","125,000,000","132,000,000","139,000,000","175,000,000","140,000,000","146,000,000","159,000,000","121,000,000","127,000,000","102,000,000","86,000,000","82,000,000","83,575,581.395"
		GainsLossesNotAffectingRetainedEarnings,"45,883,000,000","58,544,000,000","66,802,000,000","55,738,000,000","54,618,000,000","77,739,000,000","73,299,000,000","73,936,000,000","76,156,000,000","69,868,000,000","73,431,000,000","68,228,000,000","64,949,000,000","62,364,000,000","56,562,000,000","49,468,000,000","48,408,000,000","40,261,000,000","32,142,000,000","30,328,000,000","29,533,000,000","27,371,000,000","-823,000,000","-438,000,000",,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,,,,,,,,,"-2,085,000,000","-811,000,000","-438,000,000",,
			OtherEquityAdjustments,,,,,,,,,,,,,,,,,,,,,,"-546,000,000","-12,000,000",,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000",
	MinorityInterest,"83,000,000","81,000,000","167,000,000","68,000,000","77,000,000","78,000,000","59,000,000","59,000,000","76,000,000","78,000,000","129,000,000","126,000,000","96,000,000","6,573,000,000","75,000,000","149,000,000","173,000,000","183,000,000","174,000,000","138,000,000","90,000,000","66,000,000","63,000,000","48,000,000","139,000,000","140,988,372.093"
TotalCapitalization,"65,103,000,000","79,586,000,000","90,557,000,000","82,857,000,000","75,827,000,000","101,084,000,000","97,392,000,000","92,729,000,000","93,373,000,000","84,565,000,000","85,585,000,000","82,918,000,000","79,699,000,000","77,556,000,000","66,062,000,000","52,466,000,000","49,900,000,000","41,767,000,000","34,309,000,000","33,913,000,000","33,620,000,000","30,998,000,000","26,999,000,000","24,255,000,000","24,903,000,000","24,880,087,209.302"
