name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
TotalAssets,"33,080,200,000","29,214,500,000","25,434,800,000","17,163,300,000","14,805,200,000","11,734,500,000","8,764,300,000","6,973,466,000","5,609,132,000","3,837,672,000","2,951,013,000","2,080,490,000","1,323,583,000","1,089,432,000","741,202,000","724,220,000","936,258,000","585,090,000","423,501,000","473,108,000","479,555,000","391,574,000","495,397,000","208,274,000","137,000,000","156,900,000","168,400,000","137,600,000","93,800,000","94,200,000","117,600,000","97,900,000","114,000,000","25,400,000"
	CurrentAssets,"19,479,200,000","15,884,100,000","14,014,900,000","9,779,100,000","7,689,100,000","6,447,600,000","4,335,000,000","3,180,188,000","2,915,095,000","2,084,759,000","1,796,934,000","1,206,012,000","665,777,000","357,622,000","425,508,000","521,442,000","797,829,000","469,984,000","341,392,000","343,955,000","320,207,000","276,948,000","394,186,000","134,142,000","73,000,000","92,900,000","99,600,000","85,000,000","49,200,000","52,000,000","91,800,000","84,700,000","106,600,000","22,400,000"
		CashCashEquivalentsAndShortTermInvestments,"10,844,800,000","7,742,300,000","5,694,700,000","3,587,000,000","3,214,300,000","2,809,900,000","1,409,500,000","1,038,684,000","1,045,223,000","900,480,000","693,984,000","308,095,000","526,942,000","249,368,000","341,330,000","474,750,000","766,457,000","459,276,000","298,545,000","295,982,000","293,774,000","264,271,000","385,079,000","117,612,000","66,200,000","19,800,000","28,900,000","34,500,000","32,700,000","23,600,000","12,500,000","16,400,000","26,200,000","21,800,000"
			CashAndCashEquivalents,"2,730,000,000","3,105,900,000","2,885,600,000","2,193,700,000","1,617,800,000","1,467,700,000","812,700,000","535,203,000","809,102,000","648,719,000","535,608,000","230,276,000","483,610,000","112,572,000","207,075,000","247,796,000","498,925,000","237,876,000","184,508,000","95,229,000","118,285,000","80,077,000","247,393,000","30,978,000","23,700,000","19,800,000","28,900,000","34,500,000","32,700,000","23,600,000","12,500,000","16,400,000","26,200,000","21,800,000"
			OtherShortTermInvestments,"8,114,800,000","4,636,400,000","2,809,100,000","1,393,300,000","1,596,500,000","1,342,200,000","596,800,000","503,481,000","236,121,000","251,761,000","158,376,000","77,819,000","43,332,000","136,796,000","134,255,000","226,954,000","267,532,000","221,400,000","114,037,000","200,753,000","175,489,000","184,194,000","137,686,000","86,634,000","42,500,000",,,,,,,,,
		Receivables,"5,667,300,000","5,328,700,000","6,036,500,000","4,114,700,000","2,785,600,000","2,243,200,000","1,974,300,000","1,611,620,000","1,467,793,000","976,372,000","954,967,000","693,120,000","103,035,000","81,917,000","65,568,000","35,212,000","18,320,000","7,493,000","36,521,000","43,102,000","15,529,000","4,017,000","2,975,000","13,835,000","600,000","5,700,000","6,600,000","4,300,000","2,700,000","1,700,000","1,700,000","1,100,000","1,400,000","200,000"
			AccountsReceivable,"5,667,300,000","5,328,700,000","6,036,500,000","4,114,700,000","2,360,600,000","2,243,200,000","1,974,300,000","1,611,620,000","1,467,793,000","976,372,000","954,967,000","693,120,000","103,035,000","81,917,000","65,568,000","35,212,000","18,320,000","7,493,000","36,521,000","43,102,000","15,529,000","4,017,000","2,975,000","13,835,000",,,,,,,,,,
			OtherReceivables,,,,"598,500,000","425,000,000",,,,,,,,,,,,"1,279,000",,,,,,,,,,,,,,,,,
		Inventory,"2,580,500,000","2,401,900,000","1,951,300,000","1,916,600,000","1,415,500,000","1,151,200,000","726,100,000","399,356,000","238,578,000","128,861,000","70,354,000","28,638,000","16,614,000","1,423,000",,,,,"2,904,000","3,229,000","9,006,000","6,831,000","3,973,000","1,915,000","4,600,000",,,,,,,,,
			RawMaterials,"789,300,000","818,400,000","721,900,000","459,400,000","216,300,000","226,800,000","190,000,000","92,287,000","59,151,000","10,923,000","9,120,000","4,862,000","4,666,000","592,000",,,,,"278,000","310,000","388,000","357,000","374,000",,,,,,,,,,,
			WorkInProcess,"1,121,800,000","963,100,000","707,200,000","904,600,000","727,700,000","571,100,000","302,000,000","202,301,000","132,068,000","73,519,000","35,868,000","14,656,000","8,846,000","699,000",,,,,"1,423,000","692,000",,"261,000","227,000",,,,,,,,,,,
			FinishedGoods,"147,300,000","98,600,000","73,700,000","121,700,000","70,600,000","24,400,000","21,800,000","13,334,000","11,197,000","10,768,000","14,352,000","2,570,000","1,142,000","132,000",,,,,"1,203,000","2,227,000","8,618,000","6,213,000","3,372,000",,,,,,,,,,,
			OtherInventories,"522,100,000","521,800,000","448,500,000","430,900,000","400,900,000","328,900,000","212,300,000","91,434,000","36,162,000","33,651,000","11,014,000","6,550,000","1,960,000",,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,"411,200,000","332,400,000","160,800,000","273,700,000","243,300,000","225,100,000","130,528,000","163,501,000","79,046,000","32,952,000","28,025,000","19,186,000","24,914,000","18,610,000","11,480,000","13,052,000","3,215,000","3,422,000","1,642,000","1,898,000","1,829,000","2,159,000","780,000",,,,,,,,,,
		CurrentDeferredAssets,,"521,800,000","448,500,000","430,900,000","400,900,000","328,900,000","212,300,000","91,434,000","36,162,000","33,651,000","44,677,000","148,134,000","0",,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"49,235,000","44,677,000","148,134,000","0",,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"386,600,000","411,200,000","332,400,000","160,800,000","273,700,000","243,300,000","225,100,000","130,528,000","163,501,000","79,046,000","32,952,000","28,025,000",,,,,,,,,,,,"780,000","1,600,000","67,400,000","64,100,000","46,200,000","13,800,000","26,700,000","77,600,000","67,200,000","79,000,000","400,000"
	TotalNonCurrentAssets,"13,601,000,000","13,330,400,000","11,419,900,000","7,384,200,000","7,116,100,000","5,286,900,000","4,429,300,000","3,793,278,000","2,694,037,000","1,752,913,000","1,154,079,000","874,478,000","657,806,000","731,810,000","315,694,000","202,778,000","138,429,000","115,106,000","82,109,000","129,153,000","159,348,000","114,626,000","101,211,000","74,132,000","64,000,000","64,000,000","68,800,000","52,600,000","44,600,000","42,200,000","25,800,000","13,200,000","7,400,000","3,000,000"
		NetPPE,"4,146,400,000","3,763,000,000","3,482,200,000","3,221,600,000","2,890,400,000","2,575,800,000","2,358,600,000","2,083,421,000","1,594,120,000","974,309,000","526,983,000","379,940,000","367,955,000","347,450,000","259,676,000","142,035,000","58,304,000","49,353,000","60,535,000","71,239,000","80,723,000","76,825,000","39,448,000","36,934,000","36,300,000","33,000,000","32,700,000","34,300,000","27,900,000","27,700,000","22,400,000","10,500,000","5,400,000","2,200,000"
			GrossPPE,"6,125,200,000","5,432,200,000","4,880,300,000","4,352,700,000","3,812,800,000","3,304,500,000","2,924,900,000","2,508,925,000","1,925,216,000","1,228,293,000","748,600,000","560,453,000","526,094,000","478,757,000","372,454,000","241,318,000","154,781,000","136,962,000","150,632,000","148,520,000","143,708,000","127,193,000","82,409,000","73,131,000","66,700,000","59,600,000","56,300,000","40,200,000","33,800,000","33,600,000","28,300,000","13,600,000","6,500,000","2,600,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,
