name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
DilutedNIAvailtoComStockholders,"5,540,000,000","4,352,000,000","5,452,000,000","2,957,000,000","4,758,000,000","2,166,000,000","1,472,000,000","1,104,000,000","1,187,075,000","763,513,000","301,296,000","112,362,000","-487,118,000","-596,368,000","-321,456,000","-1,010,760,000","-965,089,000","-383,369,000","-438,236,000","-393,590,000","-415,212,000","-327,114,000","-479,329,000"
BasicEPS,"8.511","6.664","8.338","4.522","7.3","3.44","2.403","1.814","1.983","1.305","0.535","0.22","-1.058","-1.328","-0.716","-2.251","-2.162","-0.872","-1.126","-1.259","-1.569","-1.433","-2.15"
DilutedEPS,"8.442","6.602","8.259","4.477","7.221","3.403","2.373","1.777","1.922","1.256","0.526","0.216","-1.058","-1.328","-0.716","-2.251","-2.162","-0.872","-1.126","-1.259","-1.569","-1.433","-2.15"
BasicAverageShares,"650,950,210","653,097,440","653,873,010","653,956,370","651,790,060","629,628,130","612,675,060","608,343,080","598,760,000","585,210,000","563,150,000","509,770,000","460,430,000","449,071,420","449,071,420","449,037,360","446,418,560","439,445,600","389,267,580","312,549,730","264,700,140","228,308,180","223,361,500"
DilutedAverageShares,"656,246,040","659,147,050","660,096,040","660,457,510","658,858,750","636,368,430","620,449,970","620,941,820","617,660,000","607,740,000","572,510,000","519,100,000","460,430,000","449,071,420","449,071,420","449,037,360","446,418,560","439,445,600","389,267,580","312,549,730","264,700,140","228,308,180","223,361,500"
TotalOperatingIncomeAsReported,"5,877,000,000","5,321,000,000","6,267,000,000","2,953,000,000","6,313,000,000","2,638,000,000","1,380,000,000","1,344,000,000","1,052,833,000","730,379,000","265,177,000","69,253,000","-116,679,000","-249,422,000","-160,689,000","-498,034,000","-722,030,000","-437,133,000","-472,214,000","-427,924,000","441,273,000","342,209,000","-483,081,000"
TotalExpenses,"12,887,000,000","11,153,000,000","8,238,000,000","5,464,000,000","3,798,000,000","2,728,000,000","1,645,000,000","1,021,000,000","763,289,000","402,662,000","585,208,000","594,317,000","601,315,000","600,358,000","742,766,000","1,084,110,000","1,414,328,000","861,513,000","607,761,000","526,429,000","-437,172,000","-273,883,000","440,174,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"5,540,000,000","4,352,000,000","5,452,000,000","2,957,000,000","4,758,000,000","2,166,000,000","1,472,000,000","1,104,000,000","1,187,075,000","763,513,000","301,296,000","112,362,000","-487,118,000","-596,368,000","-321,456,000","-1,010,760,000","-965,089,000","-383,369,000","-438,236,000","-393,590,000","-415,212,000","-327,114,000","-479,329,000"
NormalizedIncome,"5,314,569,148.936","4,812,136,952.28","5,157,615,550.756","2,367,562,276.672","5,227,836,382.114","2,084,178,384.05","1,318,210,000","1,353,600,000","1,151,964,080","771,160,705","302,887,540","92,008,500","-99,229,662.713","-230,319,000","-143,317,000","-347,898,000","-817,448,000","-383,369,000","-434,254,000","-383,639,000","-415,212,000","-327,114,000","-436,451,201.658"
InterestIncome,"1,120,000,000","939,000,000","324,000,000","197,000,000","184,000,000","120,000,000","63,000,000","113,000,000","32,583,000","37,263,000","38,331,000","28,613,000","17,827,000","22,200,000","1,402,000","25,054,000","125,994,000","158,921,000","46,249,000","34,775,000","42,520,000","68,678,000","53,389,000"
InterestExpense,"35,000,000","27,000,000","21,000,000","13,000,000","10,000,000","7,000,000","0","354,000,000","213,000","118,000","4,054,000","3,326,000","2,722,000","2,034,000","39,648,000","181,099,000","220,829,000","1,149,000","1,033,000","1,353,000","68,581,000","83,707,000","100,374,000"
NetInterestIncome,"1,085,000,000","912,000,000","303,000,000","184,000,000","174,000,000","113,000,000","63,000,000","-241,000,000","32,370,000","37,145,000","34,277,000","25,287,000","15,105,000","20,166,000","-38,246,000","-156,045,000","-94,835,000","53,764,000","48,808,000","33,422,000","-26,061,000","-15,029,000","-46,985,000"
EBIT,"7,555,000,000","5,664,000,000","6,966,000,000","3,931,000,000","5,914,000,000","2,866,000,000","1,612,000,000","1,418,000,000","1,130,430,000","757,645,000","301,400,000","68,728,000","-111,359,000","-207,794,000","-82,795,000","-160,890,000","-596,036,000","-331,976,000","-437,203,000","-392,237,000","483,793,000","410,887,000","579,377,000"
EBITDA,"7,884,000,000","5,959,000,000","7,328,000,000","4,179,000,000","6,173,000,000","3,005,000,000","1,700,000,000","1,488,000,000","1,171,386,000","789,467,000","313,731,000","80,392,000","-96,248,000","-192,747,000","-61,762,000","-77,107,000","-516,458,000","-317,723,000","-419,703,000","-360,462,000","537,456,000","474,557,000","626,845,000"
ReconciledCostOfRevenue,"580,000,000","226,000,000","0","0",,,,,,,,,,"532,507,000","582,512,000","0","48,812,000","0",,,,,
ReconciledDepreciation,"329,000,000","295,000,000","362,000,000","248,000,000","259,000,000","139,000,000","88,000,000","70,000,000","40,956,000","31,822,000","12,331,000","11,664,000","15,111,000","15,047,000","21,033,000","83,783,000","79,578,000","14,253,000","17,500,000","31,775,000","53,663,000","63,670,000","47,468,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"5,540,000,000","4,352,000,000","5,452,000,000","2,957,000,000","4,758,000,000","2,166,000,000","1,472,000,000","1,104,000,000","1,187,075,000","763,513,000","301,296,000","70,155,000","-111,448,000","-215,748,000","-143,317,000","-347,898,000","-817,448,000","-383,369,000","-438,236,000","-393,590,000","-415,212,000","-327,114,000","-479,329,000"
TotalUnusualItemsExcludingGoodwill,"306,000,000","-596,000,000","375,000,000","781,000,000","-583,000,000","108,000,000","169,000,000","-320,000,000","45,014,000","-9,997,000","-2,108,000","-29,138,000","-12,507,000","19,428,000",,,,"-73,706,000","-3,982,000","-9,951,000",,"0","-42,907,000"
TotalUnusualItems,"306,000,000","-596,000,000","375,000,000","781,000,000","-583,000,000","108,000,000","169,000,000","-320,000,000","45,014,000","-9,997,000","-2,108,000","-29,138,000","-12,507,000","19,428,000",,,,"-73,706,000","-3,982,000","-9,951,000",,"0","-42,907,000"
NormalizedEBITDA,"7,578,000,000","6,555,000,000","6,953,000,000","3,398,000,000","6,756,000,000","2,897,000,000","1,531,000,000","1,808,000,000","1,126,372,000","799,464,000","315,839,000","109,530,000","-83,741,000","-212,175,000","-61,762,000","-77,107,000","-516,458,000","-317,723,000","-415,721,000","-350,511,000","537,456,000","474,557,000","669,752,000"
TaxRateForCalcs,"0.263","0.228","0.215","0.245","0.194","0.242","0.09","0.22","0.22","0.235","0.245","0.25","0.023","0.25","0.25","0.25","0.25","0","0","0","0","0.4","0.001"
TaxEffectOfUnusualItems,"80,569,148.936","-135,863,047.72","80,615,550.756","191,562,276.672","-113,163,617.886","26,178,384.05","15,210,000","-70,400,000","9,903,080","-2,349,295","-516,460","-7,284,500","-288,662.713","4,857,000","0","0","0","0","0","0","0","0","-29,201.658"
