name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
OperatingCashFlow,"4,070,500,000","4,594,000,000","5,014,900,000","7,081,300,000","2,618,100,000","2,430,000,000","2,195,100,000","1,307,100,000","1,485,900,000","1,330,780,000","752,435,000","588,596,000","-74,615,000","-141,682,000","99,222,000","-72,230,000","-89,086,000","27,372,000","23,075,000","-30,296,000","-16,909,000","-6,133,000","-110,523,000","-57,320,000","-27,910,000","-13,500,000","-10,200,000","-6,100,000","-20,300,000","-18,200,000","-20,500,000","-30,100,000","-17,200,000","-6,800,000"
	CashFlowFromContinuingOperatingActivities,"4,070,500,000","4,594,000,000","5,014,900,000","7,081,300,000","2,618,100,000","2,430,000,000","2,195,100,000","1,307,100,000","1,485,900,000","1,330,780,000","752,435,000","588,596,000","-74,615,000","-141,682,000","99,222,000","-72,230,000","-89,086,000","27,372,000","23,075,000","-30,296,000","-16,909,000","-6,133,000","-110,523,000","-57,320,000","-27,910,000","-13,500,000","-10,200,000","-6,100,000","-20,300,000","-18,200,000","-20,500,000","-30,100,000","-17,200,000","-6,800,000"
		NetIncomeFromContinuingOperations,"4,321,700,000","3,953,600,000","4,338,400,000","8,075,300,000","3,513,200,000","2,115,800,000","2,444,400,000","1,198,500,000","895,500,000","636,056,000","338,126,000","413,738,000","750,269,000","-221,760,000","-104,468,000","-67,830,000","-79,129,000","-105,600,000","-102,337,000","-95,446,000","41,699,000","-107,458,000","-124,377,000","-76,180,000","-23,215,000","-23,100,000","-8,600,000","-11,600,000","-32,400,000","-23,500,000","-30,700,000","-39,900,000","-19,100,000","-4,500,000"
		OperatingGainsLosses,"-127,600,000","266,400,000","36,800,000","-387,000,000","-221,800,000","-131,500,000",,,,"18,861,000","33,469,000",,,,"293,000","-56,000","2,248,000","5,943,000",,"21,859,000","-15,227,000","4,062,000","1,820,000","1,768,000","6,138,000","4,500,000","2,900,000","3,800,000","14,700,000","14,100,000","10,000,000","3,400,000",,"-2,300,000"
			GainLossOnInvestmentSecurities,"-127,600,000","266,400,000","36,800,000","-387,000,000","-221,800,000","-131,500,000",,,,,,,,,"293,000","-56,000","1,310,000","5,943,000",,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"453,200,000","421,000,000","341,400,000","286,200,000","235,900,000","210,300,000","148,200,000","145,500,000","104,700,000","74,909,000","52,686,000","41,204,000","36,940,000","31,082,000","19,687,000","14,247,000","11,287,000","11,487,000","14,592,000","15,504,000","15,362,000","12,937,000","8,454,000","6,077,000","4,421,000","3,400,000","3,000,000","4,400,000","6,100,000","5,900,000","4,200,000","3,100,000","2,000,000","800,000"
			DepreciationAndAmortization,"453,200,000","421,000,000","341,400,000","286,200,000","235,900,000","210,300,000","148,200,000","145,500,000","104,700,000","74,909,000","52,686,000","41,204,000","36,940,000","31,082,000","19,687,000","14,247,000","11,287,000","11,487,000","14,592,000","15,504,000","15,362,000","12,937,000","8,454,000","6,077,000","4,421,000","3,400,000","3,000,000","4,400,000","6,100,000","5,900,000","4,200,000","3,100,000","2,000,000","800,000"
				Depreciation,,"328,800,000","303,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,"92,200,000","37,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,"92,200,000","37,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-720,500,000","-837,800,000","-746,400,000","-147,100,000","75,600,000","-130,600,000","-140,000,000","318,800,000","-360,100,000","-121,623,000","-53,276,000","62,195,000","-340,156,000","0",,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-720,500,000","-837,800,000","-746,400,000","-147,100,000","75,600,000","-130,600,000","-140,000,000","318,800,000","-360,100,000","-121,623,000","-53,276,000","62,195,000","-340,156,000","0",,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"897,600,000","885,000,000","725,000,000","601,700,000","432,000,000","464,300,000","427,400,000","507,300,000","559,900,000","459,049,000","321,750,000","215,377,000","94,157,000","56,094,000","39,897,000","31,259,000","32,523,000","28,075,000",,,,,,,,,,,,,,,,
		OtherNonCashItems,"-32,200,000","-100,000","563,000,000","568,700,000","86,800,000","102,200,000","12,100,000","63,500,000","45,100,000","52,562,000","77,571,000","46,751,000","56,974,000","11,815,000","4,080,000","-382,000",,"34,018,000","17,862,000",,,,,,,"200,000","-100,000","-100,000","-200,000","100,000","-1,000,000","200,000","-1,600,000","-200,000"
		ChangeInWorkingCapital,"-721,700,000","-94,100,000","-243,300,000","-1,916,500,000","-1,503,600,000","-200,500,000","-697,000,000","-926,500,000","240,800,000","229,827,000","15,578,000","-190,669,000","-672,799,000","-18,913,000","140,026,000","-49,850,000","-56,015,000","87,467,000","92,958,000","27,787,000","-58,743,000","84,326,000","3,580,000","11,015,000","-15,254,000","1,500,000","-7,400,000","-2,600,000","-8,500,000","-14,800,000","-3,000,000","3,100,000","1,500,000","-600,000"
			ChangeInReceivables,"-593,500,000","-338,800,000","707,800,000","-1,927,400,000","-1,356,100,000","-523,700,000","-236,400,000","-362,700,000","-143,800,000","-491,421,000","-34,927,000","-245,472,000","-588,398,000","-21,118,000","-17,518,000","-30,356,000","-16,892,000","-10,827,000","29,028,000","6,581,000","-27,573,000","-11,512,000","-1,042,000","10,860,000","-13,545,000","5,400,000","900,000","-2,200,000","-1,600,000","-1,700,000","1,800,000","-1,700,000","1,000,000","-1,700,000"
				ChangesInAccountReceivables,"-593,500,000","-338,800,000","707,800,000","-1,927,400,000","-1,356,100,000","-523,700,000","-236,400,000","-362,700,000","-143,800,000","-491,421,000","-34,927,000","-245,472,000","-588,398,000","-21,118,000","-17,518,000","-30,356,000","-16,892,000","-10,827,000",,,,,,,,,,,,,,,,
			ChangeInInventory,"-462,100,000","-271,700,000","-696,500,000","-494,300,000","-529,400,000","-335,500,000","-387,900,000","-314,200,000","-149,800,000","-111,825,000","-56,947,000","-47,956,000","-28,932,000","-14,094,000",,,"0","0","3,594,000","1,250,000","6,914,000","-1,049,000","-1,732,000","-941,000","4,050,000","-4,000,000",,,,,,,,
			ChangeInPrepaidAssets,"-715,400,000","-120,100,000","-148,600,000","-240,700,000","114,900,000","-79,800,000","-88,100,000","-113,300,000","36,100,000","-79,476,000","-45,327,000","7,571,000","-25,371,000","6,612,000","-8,212,000","-4,574,000","-6,560,000","-9,649,000","155,000","74,000","-1,799,000","589,000","157,000","-1,454,000",,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"755,000,000","598,600,000","-138,400,000","866,100,000","118,900,000","599,000,000","58,800,000","-23,200,000","254,000,000","303,657,000","161,182,000","136,684,000","10,979,000","50,016,000","7,605,000","12,577,000","-5,729,000","18,179,000","-652,000","5,413,000","1,025,000","2,429,000","4,699,000","4,293,000","3,348,000","1,100,000","1,100,000","500,000","-400,000","-500,000","-2,300,000","5,400,000","600,000","1,100,000"
				ChangeInPayable,"755,000,000","598,600,000","-138,400,000","866,100,000","118,900,000","599,000,000","58,800,000","-23,200,000","254,000,000","303,657,000","161,182,000","136,684,000","10,979,000","50,016,000","7,605,000","12,959,000","-5,729,000",,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"755,000,000","598,600,000","-138,400,000","866,100,000","118,900,000","599,000,000","58,800,000","-23,200,000","254,000,000","303,657,000","161,182,000","136,684,000","10,979,000","50,016,000","7,605,000","12,959,000","-5,729,000",,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,"1,498,000","-1,743,000","-9,107,000","-1,000,000","-9,400,000","-900,000","-6,500,000","-13,400,000","-10,900,000","-600,000","-100,000",
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,"14,469,000","-37,310,000","93,869,000",,,,,,,,"800,000","8,400,000",,,
