name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
OperatingCashFlow,"-75,070,000","-41,564,000","-28,588,000","-34,035,000","-54,144,507","-48,282,674","-31,830,535","-24,290,354","-13,946,701"
	CashFlowFromContinuingOperatingActivities,"-75,070,000","-41,564,000","-28,588,000","-34,035,000","-54,144,507","-48,282,674","-31,830,535","-24,290,354","-13,946,701"
		NetIncomeFromContinuingOperations,"-112,110,000","-78,502,000","-41,015,000","-34,579,000","-59,762,769","-47,583,455","-53,135,859","-29,154,240","-15,933,762"
		OperatingGainsLosses,"11,486,000","2,309,000","1,001,000","97,000","10,802","6,587","-415,410","-11,884,253",
			GainLossOnSaleOfPPE,"3,000","-2,000","4,000","44,000","10,802","6,587","0",,
			GainLossOnInvestmentSecurities,,,,,,,"-277,715","-11,884,253",
		DepreciationAmortizationDepletion,"2,089,000","2,178,000","3,647,000","5,612,000","3,129,579","2,567,742","1,543,667","931,931","651,560"
			DepreciationAndAmortization,"2,089,000","2,178,000","3,647,000","5,612,000","3,129,579","2,567,742","1,543,667","931,931","651,560"
				Depreciation,,,,,,,"1,543,667","931,931","651,560"
		StockBasedCompensation,"13,934,000","10,089,000","9,298,000","6,746,000","3,954,000","3,376,305","2,195,075","514,092","347,444"
		OtherNonCashItems,"9,279,000","16,490,000","639,000","469,000","235,526","300,901","17,687,146","14,912,451","391,651"
		ChangeInWorkingCapital,"252,000","5,872,000","-2,158,000","-12,380,000","-1,711,645","-6,950,754","294,846","389,665","596,406"
			ChangeInReceivables,"846,000","956,000","-2,027,000","-2,990,000","0","272,557","1,349,622","-328,458","2,527,304"
				ChangesInAccountReceivables,"846,000","956,000","-2,027,000","-2,990,000","0","272,557",,,
			ChangeInPrepaidAssets,"-3,106,000","-798,000","-719,000","-40,000","-132,007","-371,194","-67,154","25,206","1,655,775"
			ChangeInPayablesAndAccruedExpense,"10,653,000","6,594,000","1,359,000","-6,996,000","-116,424","185,807","-2,337,348","3,753,079","1,894,470"
				ChangeInPayable,"2,452,000","-1,152,000","814,000","-7,559,000","-297,160","294,514","-1,281,784","1,872,852","1,313,193"
					ChangeInAccountPayable,"2,452,000","-1,152,000","814,000","-7,559,000","-297,160","294,514","-1,281,784","1,872,852","1,313,193"
				ChangeInAccruedExpense,"8,201,000","7,746,000","545,000","563,000","180,736","-108,707","-1,055,564","1,880,227","581,277"
					ChangeInInterestPayable,,,,,,,"0","-105,036","5,374"
			ChangeInOtherCurrentAssets,"36,000","20,000","4,000","80,000","-12,000","807,192","2,408,097","-123,249","-966,104"
			ChangeInOtherCurrentLiabilities,"-965,000","-900,000","-775,000","-2,434,000","-1,493,526","-422,364","0",,
			ChangeInOtherWorkingCapital,,,,"-102,728","42,312","-7,422,752","-1,058,371","-2,936,913","-4,515,039"
InvestingCashFlow,"-12,595,000","-11,288,000","-587,000","-107,000","247,914","-1,850,099","-870,943","-2,544,064","-2,885,159"
	CashFlowFromContinuingInvestingActivities,"-12,595,000","-11,288,000","-587,000","-107,000","247,914","-1,850,099","-870,943","-2,544,064","-2,885,159"
		NetPPEPurchaseAndSale,"-2,595,000","-1,288,000","-587,000","-107,000","-752,086","-1,850,099","-870,943","-2,544,064","-2,885,159"
			PurchaseOfPPE,"-2,595,000","-1,290,000","-592,000","-107,000","-752,086","-1,850,099","-870,943","-2,544,064","-2,885,159"
			SaleOfPPE,"0","2,000","5,000","0",,,,,
		NetIntangiblesPurchaseAndSale,,"-10,000,000","0",,,,,,
			PurchaseOfIntangibles,,"-10,000,000","0",,,,,,
		NetBusinessPurchaseAndSale,,,,"0","1,000,000","0",,,
			SaleOfBusiness,,,,"0","1,000,000","0",,,
FinancingCashFlow,"132,562,000","43,248,000","64,964,000","26,320,000","63,416,696","66,394,166","68,817,484","28,814,685","6,109,593"
	CashFlowFromContinuingFinancingActivities,"132,562,000","43,248,000","64,964,000","26,320,000","63,416,696","66,394,166","68,817,484","28,814,685","6,109,593"
		NetIssuancePaymentsOfDebt,"34,801,000","19,373,000","8,956,000","-420,000","-6,769,416","3,966,664","-1,425,275","30,115,610","5,664,125"
			NetLongTermDebtIssuance,"34,801,000","19,373,000","8,956,000","-420,000","-6,769,416","3,966,664","-1,425,275","30,115,610","5,664,125"
				LongTermDebtIssuance,"34,905,000","41,744,000","19,767,000","10,410,000","0","5,000,000","11,588,889","31,388,524","6,000,000"
				LongTermDebtPayments,"-104,000","-22,371,000","-10,811,000","-10,830,000","-6,769,416","-1,033,336","-13,014,164","-1,272,914","-335,875"
		NetCommonStockIssuance,"99,106,000","24,238,000","54,461,000","21,710,000","71,225,398","63,039,490","47,320,233","0",
			CommonStockIssuance,"99,106,000","24,238,000","54,461,000","21,710,000","71,225,398","63,039,490","47,320,233","0",
		NetPreferredStockIssuance,,,,,,"0","25,106,896","0",
			PreferredStockIssuance,,,,,,"0","25,106,896","0",
		ProceedsFromStockOptionExercised,"1,267,000","1,178,000","1,096,000","41,000","87,332","142,040","335,533","96,703","445,468"
		NetOtherFinancingCharges,"-2,612,000","-1,541,000","451,000","4,989,000","-1,126,618","-754,028","-2,519,903","-1,397,628",
EndCashPosition,"133,093,000","83,679,000","93,283,000","57,494,000","65,316,481","55,796,378","39,534,985","3,418,979","1,438,712"
	ChangesInCash,"44,897,000","-9,604,000","35,789,000","-7,822,000","9,520,103","16,261,393","36,116,006","1,980,267","-10,722,267"
	BeginningCashPosition,"88,196,000","93,283,000","57,494,000","65,316,000","55,796,378","39,534,985","3,418,979","1,438,712","12,160,979"
InterestPaidSupplementalData,"0","360,000","1,626,000","423,000","820,889","887,038","1,094,532","313,390","92,155"
CapitalExpenditure,"-12,595,000","-11,290,000","-592,000","-107,000","-752,086","-1,850,099","-870,943","-2,544,064","-2,885,159"
IssuanceOfCapitalStock,"99,106,000","24,238,000","54,461,000","21,710,000","71,225,398","63,039,490","72,427,129","0",
