name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalAssets,"35,289,000,000","30,119,000,000","24,627,000,000","21,143,000,000","15,144,000,000","8,461,000,000","6,602,942,000","5,238,236,000","3,902,548,000","2,866,681,000","1,731,527,000","1,692,886,000","1,564,432,000","2,481,601,000","2,221,534,000","3,258,953,000","3,958,783,000","1,804,629,000","1,370,431,000","1,271,908,000","1,180,108,000","1,583,136,000"
	CurrentAssets,"33,139,000,000","28,218,000,000","22,736,000,000","18,791,000,000","13,961,000,000","7,433,000,000","6,059,427,000","4,897,639,000","3,667,889,000","2,766,354,000","1,692,983,000","1,653,810,000","1,516,800,000","2,419,367,000","2,148,337,000","1,966,770,000","3,918,015,000","1,770,912,000","1,323,172,000","1,192,154,000","1,067,449,000","1,418,622,000"
		CashCashEquivalentsAndShortTermInvestments,"28,135,000,000","22,324,000,000","19,338,000,000","16,079,000,000","10,971,000,000","6,106,000,000","5,422,737,000","3,921,965,000","3,493,229,000","2,660,515,000","1,556,979,000","1,503,749,000","1,100,619,000","1,649,259,000","1,277,648,000","1,762,012,000","131,753,000","1,724,333,000","1,252,902,000","419,566,000","308,916,000","252,946,000"
			CashAndCashEquivalents,"14,867,000,000","9,893,000,000","8,957,000,000","7,260,000,000","3,552,000,000","533,000,000","1,347,545,000","307,023,000","873,986,000","359,087,000","168,135,000","66,992,000","65,197,000","100,950,000","460,738,000","70,013,000","131,753,000","429,075,000","381,346,000","419,566,000","308,916,000","252,946,000"
				CashFinancial,,,,,,,,,,,,,,,,,"131,753,000","429,075,000","381,346,000",,,
			OtherShortTermInvestments,"13,268,000,000","12,431,000,000","10,381,000,000","8,819,000,000","7,419,000,000","5,573,000,000","4,075,192,000","3,614,942,000","2,619,243,000","2,301,428,000","1,388,844,000","1,436,757,000","1,035,422,000","1,548,309,000","816,910,000","1,691,999,000","3,561,690,000","1,295,258,000","871,556,000",,,
		Receivables,"4,947,000,000","5,894,000,000","3,398,000,000","2,712,000,000","2,990,000,000","1,327,000,000","636,690,000","975,674,000","174,660,000","105,839,000","136,004,000","136,692,000","71,213,000",,,,,,,,,
			AccountsReceivable,"4,947,000,000","5,712,000,000","3,367,000,000","2,463,000,000","2,990,000,000","1,327,000,000","579,002,000","975,674,000","174,660,000","105,839,000","136,004,000","136,692,000","71,213,000","65,427,000","103,752,000","161,461,000","217,139,000","40,968,000","54,213,000","24,173,000","29,466,000","13,272,000"
			TaxesReceivable,"0","182,000,000","31,000,000","249,000,000","0","0","57,688,000","0",,,,,,,,,,,,,,
		Inventory,"57,000,000","0",,,,,,,,,,,,,"0","34,593,000","0","0","0",,,
			RawMaterials,"14,000,000","0",,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"0","0",,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"59,000,000","0",,,,,,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,"-16,000,000","0",,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,,,,,,,,,,,,"10,249,000","10,952,000","9,763,000","8,704,000","7,433,000","5,611,000","16,057,000","9,553,000","2,207,000","2,008,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,"0","13,369,000","344,968,000","693,729,000","757,174,000","0",,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,"1,691,999,000","3,561,690,000",,,"738,862,000","726,860,000","1,150,396,000"
	TotalNonCurrentAssets,"2,150,000,000","1,901,000,000","1,891,000,000","2,352,000,000","1,183,000,000","1,028,000,000","543,515,000","340,597,000","234,659,000","100,327,000","38,544,000","39,076,000","47,632,000","62,234,000","73,197,000","1,292,183,000","40,768,000","33,717,000","47,259,000","79,754,000","112,659,000","164,514,000"
		NetPPE,"1,641,000,000","1,322,000,000","975,000,000","736,000,000","414,000,000","162,000,000","113,415,000","32,194,000","28,812,000","25,684,000","22,662,000","25,960,000","32,395,000","41,430,000","60,180,000","977,597,000","40,155,000","31,264,000","44,193,000","57,353,000","73,160,000","88,244,000"
			GrossPPE,"2,317,000,000","1,817,000,000","1,343,000,000","1,000,000,000","603,000,000","313,000,000","248,198,000","163,946,000","157,727,000","145,713,000","136,471,000","148,936,000","180,215,000","178,192,000","178,583,000",,"40,155,000","31,264,000","44,193,000",,,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,
				BuildingsAndImprovements,"686,000,000","523,000,000","354,000,000",,"177,000,000","0",,,,,,,"38,291,000","37,682,000","42,838,000",,,,,,,
				MachineryFurnitureEquipment,"908,000,000","649,000,000","537,000,000","416,000,000","279,000,000","217,000,000","169,929,000","148,854,000","147,128,000","136,109,000","126,854,000","139,364,000","140,190,000","136,748,000","134,759,000",,"94,939,000","82,894,000","72,342,000",,,
				OtherProperties,,"523,000,000","354,000,000","3,000,000","4,000,000",,,,,,,,,,,,"-64,445,000","-93,800,000","-78,552,000",,,
				ConstructionInProgress,"39,000,000","233,000,000","52,000,000","14,000,000","49,000,000","1,000,000","67,521,000","5,495,000","981,000","0",,"0","1,734,000","3,762,000","986,000",,"9,661,000","42,170,000","50,403,000",,,
				Leases,"1,370,000,000","935,000,000","754,000,000","567,000,000","271,000,000","95,000,000","10,748,000","9,597,000","9,618,000","9,604,000","9,617,000","9,572,000","38,291,000",,,,,,,,,
			AccumulatedDepreciation,"-676,000,000","-495,000,000","-368,000,000","-264,000,000","-189,000,000","-151,000,000","-134,783,000","-131,752,000","-128,915,000","-120,029,000","-113,809,000","-122,976,000","-147,820,000","-136,762,000","-118,403,000",,,,,,,
