name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
			SaleOfInvestment,"11,948,000,000","10,001,000,000","7,254,000,000","14,907,000,000","10,370,000,000","3,940,000,000","2,221,000,000","2,846,000,000","2,027,054,000","1,729,964,000","1,743,990,000","999,072,000","1,367,477,000","1,610,917,000","855,227,000","1,473,900,000","3,442,335,000","2,788,800,000","1,998,457,000","940,123,000","1,152,106,000","2,050,130,000","5,364,432,000"
		NetOtherInvestingChanges,,,,,,,,,,,,,,,,,"-1,154,380,000",,,,"-5,947,000","3,486,000",
FinancingCashFlow,"-3,648,000,000","-606,000,000","-789,000,000","-420,000,000","71,000,000","3,660,000,000","-71,000,000","215,000,000","91,188,000","643,092,000","1,035,352,000","151,663,000","357,814,000","-6,091,000","-7,005,000","-6,643,000","25,285,000","1,560,227,000","879,033,000","297,357,000","503,413,000","-3,571,000","156,849,000"
	CashFlowFromContinuingFinancingActivities,"-3,648,000,000","-606,000,000","-789,000,000","-420,000,000","71,000,000","3,660,000,000","-71,000,000","215,000,000","91,188,000","643,092,000","1,035,352,000","151,663,000","357,814,000","-6,091,000",,,,,,,,,
		NetIssuancePaymentsOfDebt,"-84,000,000","-91,000,000","-73,000,000","-58,000,000","-44,000,000","-31,000,000","0","0","-118,000","-237,000","-2,128,000","-3,887,000","-6,186,000","-6,091,000",,,,,,,,,
			NetLongTermDebtIssuance,"-84,000,000","-91,000,000","-73,000,000","-58,000,000","-44,000,000","-31,000,000","0","0","-118,000","-237,000","-2,128,000","-3,887,000","-6,186,000","-6,091,000",,,,,,,,,
				LongTermDebtPayments,"-84,000,000","-91,000,000","-73,000,000","-58,000,000","-44,000,000","-31,000,000","0","0","-118,000","-237,000","-2,128,000","-3,887,000","-6,186,000","-6,091,000",,,,,,,,,
		NetCommonStockIssuance,"-3,585,000,000","-564,000,000","-908,000,000","-447,000,000","0","3,873,000,000","-146,000,000","0","-117,280,000","2,564,000","998,200,000","0","366,390,000","0",,"1,647,000","34,145,000","1,569,345,000","935,315,000","307,037,000","542,344,000","801,000","159,772,000"
			CommonStockIssuance,,,,"0","0","3,873,000,000","0","0","819,000","2,564,000","998,200,000","0","366,390,000","0",,"1,647,000","34,145,000","1,569,345,000","935,315,000","307,037,000","542,344,000","801,000","159,772,000"
			CommonStockPayments,"-3,585,000,000","-564,000,000","-908,000,000","-447,000,000","0","0","-146,000,000","0","-118,099,000","0",,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,"124,000,000","152,000,000","280,000,000","135,000,000","140,000,000","65,000,000","75,000,000","215,000,000","208,586,000","640,765,000","65,804,000","155,591,000","51,000","0",,,,,,,,,
		NetOtherFinancingCharges,"-103,000,000","-103,000,000","-88,000,000","-50,000,000","-25,000,000","-247,000,000",,,,,"-26,524,000","-41,000","-2,441,000",,,"1,647,000","-30,000","-1,465,000",,,"-32,342,000","256,000","-2,923,000"
EndCashPosition,"4,314,000,000","14,867,000,000","9,893,000,000","8,957,000,000","7,260,000,000","3,552,000,000","533,000,000","1,348,000,000","307,023,000","873,986,000","359,087,000","168,135,000","78,997,000","69,408,000","-2,088,000","464,446,000","70,013,000","131,753,000","429,075,000","381,346,000","419,566,000","308,916,000","252,946,000"
	ChangesInCash,"-6,560,000,000","5,492,000,000","362,000,000","847,000,000","4,153,000,000","3,003,000,000","-834,000,000","1,136,000,000","-595,632,000","473,658,000","157,367,000","90,617,000","12,390,000","71,434,000","-477,330,000","398,022,000","-27,944,000","-296,809,000","48,037,000","-38,834,000","110,650,000","55,970,000","87,085,000"
	EffectOfExchangeRateChanges,"17,000,000","-518,000,000","574,000,000","850,000,000","-445,000,000","16,000,000","19,000,000","-95,000,000","28,669,000","41,241,000","33,585,000","-1,479,000","-2,801,000","62,000","10,796,000","-3,589,000","-33,796,000","-513,000","-308,000","614,000",,,
	BeginningCashPosition,"10,874,000,000","9,893,000,000","8,957,000,000","7,260,000,000","3,552,000,000","533,000,000","1,348,000,000","307,000,000","873,986,000","359,087,000","168,135,000","78,997,000","69,408,000","-2,088,000","464,446,000","70,013,000","131,753,000","429,075,000","381,346,000","419,566,000","308,916,000","252,946,000","165,861,000"
CapitalExpenditure,"-220,000,000","-376,000,000","-317,000,000","-252,000,000","-307,000,000","-111,000,000","-478,000,000","-89,000,000","-33,109,000","-135,389,000","-75,442,000","-10,365,000","-8,998,000","-7,205,000","-10,110,000","-16,778,000","-1,207,396,000","-13,278,000","-1,939,000","-2,434,000","-8,266,000","-14,702,000","-100,821,000"
IssuanceOfCapitalStock,,,,"0","0","3,873,000,000","0","0","819,000","2,564,000","998,200,000","0","366,390,000","0",,"1,647,000","34,145,000","1,569,345,000","935,315,000","307,037,000","542,344,000","801,000","159,772,000"
RepaymentOfDebt,"-84,000,000","-91,000,000","-73,000,000","-58,000,000","-44,000,000","-31,000,000","0","0","-118,000","-237,000","-2,128,000","-3,887,000","-6,186,000","-6,091,000",,,,,,,,,
RepurchaseOfCapitalStock,"-3,585,000,000","-564,000,000","-908,000,000","-447,000,000","0","0","-146,000,000","0","-118,099,000","0",,,,,,,,,,,,,
FreeCashFlow,"6,515,000,000","7,004,000,000","3,595,000,000","1,976,000,000","6,126,000,000","1,215,000,000","537,000,000","1,500,000,000","294,610,000","176,060,000","57,229,000","-138,364,000","61,921,000","-444,430,000","258,061,000","-586,839,000","-1,720,729,000","492,620,000","-381,562,000","-211,078,000","-375,964,000","-317,066,000","-409,137,000"
