name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1986,12/31/1985
OperatingCashFlow,"1,174,000,000","1,726,000,000","1,211,000,000","2,222,000,000","1,868,000,000","2,104,000,000","2,017,000,000","1,714,000,000","1,654,000,000","1,771,000,000","3,215,000,000","3,198,000,000","3,106,000,000","2,817,000,000","3,003,000,000","2,909,000,000","2,515,000,000","2,305,000,000","2,183,000,000","1,550,000,000","1,380,000,000","1,425,000,000","1,193,000,000","1,086,000,000","1,176,000,000","1,083,000,000","939,000,000","558,000,000","793,000,000","1,336,000,000","1,316,000,000","765,000,000","763,000,000","769,000,000","796,000,000","618,000,000","0","0","0"
	CashFlowFromContinuingOperatingActivities,"1,200,000,000","1,702,000,000","1,031,000,000","2,026,000,000","1,870,000,000","2,110,000,000","2,017,000,000","1,730,000,000","1,624,000,000","1,253,000,000","1,154,000,000","1,289,000,000","3,106,000,000","2,817,000,000","3,003,000,000","2,909,000,000","2,515,000,000","2,305,000,000","2,183,000,000","1,550,000,000","1,380,000,000","1,424,000,000","1,251,000,000","1,181,000,000","1,259,000,000","977,000,000","837,000,000","472,000,000","700,000,000","573,000,000","1,316,000,000","765,000,000","742,000,000","769,000,000","796,000,000","618,000,000",,,
		NetIncomeFromContinuingOperations,"-148,000,000","-69,000,000","-2,654,000,000","1,033,000,000","1,110,000,000","1,011,000,000","1,546,000,000","609,000,000","4,966,000,000","393,000,000","457,000,000","315,000,000","2,326,000,000","2,256,000,000","1,427,000,000","2,215,000,000","2,025,000,000","1,707,000,000","1,397,000,000","956,000,000","388,000,000","922,000,000","1,033,000,000","675,000,000","754,000,000","824,000,000","315,000,000","300,000,000","669,000,000","649,000,000","596,000,000","-268,000,000","606,000,000","591,000,000","40,000,000","446,000,000",,,
		OperatingGainsLosses,"-21,000,000","-18,000,000","178,000,000","106,000,000","237,000,000","777,000,000","40,000,000","125,000,000","116,000,000","227,000,000","219,000,000","308,000,000","477,000,000","255,000,000","845,000,000","106,000,000","125,000,000","117,000,000","110,000,000","124,000,000","981,000,000","337,000,000","255,000,000","456,000,000","317,000,000","-12,000,000","355,000,000","251,000,000","-86,000,000","-106,000,000","7,000,000","908,000,000","56,000,000","33,000,000","559,000,000","-145,000,000",,,
			GainLossOnSaleOfBusiness,,"0","75,000,000","0",,,,,"1,000,000","-575,000,000","-466,000,000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,"0","65,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,"-4,387,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"-21,000,000","-18,000,000","38,000,000","101,000,000","127,000,000","777,000,000","40,000,000","125,000,000","116,000,000","227,000,000","219,000,000","308,000,000","477,000,000","255,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,258,000,000","1,263,000,000","1,380,000,000","867,000,000","823,000,000","789,000,000","771,000,000","750,000,000","800,000,000","759,000,000","792,000,000","635,000,000","712,000,000","670,000,000","685,000,000","638,000,000","631,000,000","581,000,000","575,000,000","580,000,000","601,000,000","545,000,000","439,000,000","427,000,000","394,000,000","372,000,000","344,000,000","318,000,000","348,000,000","336,000,000","524,000,000","494,000,000","447,000,000","427,000,000","383,000,000","368,000,000",,,
			DepreciationAndAmortization,"1,258,000,000","1,263,000,000","1,380,000,000","867,000,000","823,000,000","789,000,000","771,000,000","750,000,000","800,000,000","759,000,000","792,000,000","635,000,000","712,000,000","670,000,000","685,000,000","638,000,000","631,000,000","581,000,000","575,000,000","580,000,000","601,000,000","545,000,000","439,000,000","427,000,000","394,000,000","372,000,000","344,000,000","318,000,000","348,000,000","336,000,000","524,000,000","494,000,000","447,000,000","427,000,000","383,000,000","368,000,000",,,
