name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
NormalizedIncome,"70,629,847.066","71,410,000","83,079,000","39,482,000","74,983,000","31,875,000","-34,003,514","-18,225,473","-18,958,589","-20,297,963","-14,515,195","-10,264,237","-5,206,164","-6,071,154","-4,006,323","-7,241,928","-10,564,597","-4,139,493","-2,729,454","-1,805,380","-539,820","-428,615","-255,945"
InterestIncome,,,,,,"1,585,774","1,291,651","454,163","321,612","100,389","76,233","47,421","14,976","10,985","17,858","33,466","329,348",,,,,,
NetInterestIncome,,,,,,"1,585,774","1,291,651","454,163","321,612","100,389","76,233","47,421","14,976","10,985","17,858","33,466","329,348","887,636","172,873","16,788","3,138",,
EBIT,"85,876,000","86,812,000","101,838,000","52,385,000","41,303,000","31,823,000","-35,295,165","-18,679,636","-19,280,201","-20,398,352","-14,591,428","-10,311,658","-5,221,140","-6,082,139","-4,024,181","-7,275,394","-10,893,945","-5,027,129","-2,902,327","-1,822,168","-542,958",,"-255,945"
EBITDA,"122,452,000","119,693,000","103,077,000","52,577,000","41,395,000","31,878,000","-35,257,187","-18,633,947","-19,236,795","-20,363,884","-14,564,854","-10,289,175","-5,210,251","-6,039,304","-3,998,440","-7,245,167","-10,861,188","-5,011,368","-2,897,400","-1,820,794","-542,592",,"-255,945"
ReconciledCostOfRevenue,"57,559,000","51,651,000","34,252,000","21,692,000","17,039,000","14,759,000","0",,,"0","0","0","0","0","0","0","0",,,,,,"0"
ReconciledDepreciation,"36,576,000","32,881,000","1,239,000","192,000","92,000","55,000","37,978","45,689","43,406","34,468","26,574","22,483","10,889","42,835","25,741","30,227","32,757","15,761","4,927","1,374","366",,
NetIncomeFromContinuingOperationNetMinorityInterest,"68,149,000","71,410,000","83,079,000","39,482,000","74,983,000","31,875,000","-34,003,514","-18,412,377","-18,072,452","-20,232,958","-15,509,061","-12,154,596","-4,076,386","-6,391,062","-4,006,323","-7,241,928","-10,564,597","-4,139,493","-2,729,454","-1,805,380","-539,820","-428,615","-255,945"
TotalUnusualItemsExcludingGoodwill,"-3,406,000",,,,,,,"-186,904","886,137","65,005","-993,866","-1,890,359","1,129,778","-319,908",,,,,,,,,
TotalUnusualItems,"-3,406,000",,,,,,,"-186,904","886,137","65,005","-993,866","-1,890,359","1,129,778","-319,908",,,,,,,,,
NormalizedEBITDA,"125,858,000","119,693,000","103,077,000","52,577,000","41,395,000","31,878,000","-35,257,187","-18,447,043","-20,122,932","-20,428,889","-13,570,988","-8,398,816","-6,340,029","-5,719,396","-3,998,440","-7,245,167","-10,861,188","-5,011,368","-2,897,400","-1,820,794","-542,592",,"-255,945"
TaxRateForCalcs,"0.272","0.244","0.207","0.25","0.27","0.046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","0"
TaxEffectOfUnusualItems,"-925,152.934","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
