name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995
TotalRevenue,"313,751,000,000","308,951,000,000","276,711,000,000","263,966,000,000","238,228,000,000","231,051,000,000","214,319,000,000","208,357,000,000","198,533,000,000","190,884,000,000","179,045,000,000","137,392,000,000","122,196,000,000","122,321,000,000","112,084,000,000","108,702,000,000","106,632,000,000","101,703,000,000","92,977,000,000","86,983,000,000","79,096,000,000","69,210,000,000","57,120,800,000","49,988,100,000","42,000,100,000","36,708,000,000","29,970,900,000","22,105,700,000","16,914,300,000","12,964,800,000","9,438,700,000"
	OperatingRevenue,"313,751,000,000","308,951,000,000","276,711,000,000","263,966,000,000","238,228,000,000","231,051,000,000","214,319,000,000","208,357,000,000","198,533,000,000","190,884,000,000","179,045,000,000","137,392,000,000","122,196,000,000","122,321,000,000","112,084,000,000","108,702,000,000","106,632,000,000","101,703,000,000","92,977,000,000","86,983,000,000","79,096,000,000","69,210,000,000","57,120,800,000","49,988,100,000","42,000,100,000","36,708,000,000","29,970,900,000","22,105,700,000","16,914,300,000","12,964,800,000","9,438,700,000"
CostOfRevenue,"300,793,000,000","296,123,000,000","264,353,000,000","250,836,000,000","226,080,000,000","219,028,000,000","202,565,000,000","197,173,000,000","187,262,000,000","179,468,000,000","167,634,000,000","129,040,000,000","115,315,000,000","115,919,000,000","106,114,000,000","103,026,000,000","101,254,000,000","96,694,000,000","88,645,000,000","83,206,000,000","75,754,000,000","65,975,000,000","54,018,300,000","47,199,600,000","39,583,100,000","34,484,600,000","27,546,500,000","19,801,200,000","15,062,000,000","11,985,100,000","8,571,400,000"
GrossProfit,"12,958,000,000","12,828,000,000","12,358,000,000","13,130,000,000","12,148,000,000","12,023,000,000","11,754,000,000","11,184,000,000","11,271,000,000","11,416,000,000","11,411,000,000","8,352,000,000","6,881,000,000","6,402,000,000","5,970,000,000","5,676,000,000","5,378,000,000","5,009,000,000","4,332,000,000","3,777,000,000","3,342,000,000","3,235,000,000","3,102,500,000","2,788,500,000","2,417,000,000","2,223,400,000","2,424,400,000","2,304,500,000","1,852,300,000","979,700,000","867,300,000"
OperatingExpense,"8,788,000,000","8,657,000,000","7,776,000,000","10,537,000,000","8,849,000,000","9,182,000,000","8,437,000,000","8,263,000,000","7,788,000,000","7,771,000,000","8,293,000,000","5,845,000,000","4,543,000,000","4,129,000,000","3,936,000,000","3,688,000,000","4,182,000,000","3,531,000,000","3,068,000,000","2,651,000,000","3,558,000,000","2,257,000,000","2,172,600,000","2,090,000,000","2,212,100,000","2,113,900,000","2,314,000,000","1,742,000,000","1,620,100,000","738,400,000","876,300,000"
	SellingGeneralAndAdministration,"8,788,000,000","8,657,000,000","7,776,000,000","10,537,000,000","8,849,000,000","9,182,000,000","8,437,000,000","8,138,000,000","7,447,000,000","7,379,000,000","7,901,000,000","5,388,000,000","4,110,000,000","3,727,000,000","3,529,000,000","3,312,000,000","3,325,000,000","3,189,000,000","2,790,000,000","2,383,000,000","2,176,000,000","2,084,000,000","2,023,200,000","1,932,900,000","2,064,500,000","1,991,900,000","1,977,400,000","1,483,600,000","1,375,800,000","674,200,000","817,200,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,"2,351,000,000","3,065,000,000","1,842,000,000","2,566,000,000","2,582,000,000",,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,"2,351,000,000","3,065,000,000","1,842,000,000","2,566,000,000","2,582,000,000",,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,"1,847,000,000","764,000,000","1,687,000,000","746,000,000","743,000,000",,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,"96,000,000","71,000,000","125,000,000","341,000,000","392,000,000","392,000,000","457,000,000","433,000,000","402,000,000","407,000,000","376,000,000","364,000,000","347,000,000","284,000,000","223,000,000","182,000,000","173,000,000","149,400,000","135,100,000","147,600,000","112,600,000","114,700,000","112,500,000","103,000,000",,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,"201,300,000","103,900,000","145,900,000","141,300,000","64,200,000","59,100,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,"201,300,000","103,900,000","145,900,000","141,300,000","64,200,000","59,100,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,"-20,000,000","493,000,000","-5,000,000","-6,000,000","45,000,000","1,200,000,000",,,"22,000,000","111,600,000","9,400,000","118,000,000",,,,
OperatingIncome,"4,170,000,000","4,171,000,000","4,582,000,000","2,593,000,000","3,299,000,000","2,841,000,000","3,317,000,000","2,921,000,000","3,483,000,000","3,645,000,000","3,118,000,000","2,507,000,000","2,338,000,000","2,273,000,000","2,034,000,000","1,988,000,000","1,196,000,000","1,478,000,000","1,264,000,000","1,126,000,000","-216,000,000","978,000,000","929,900,000","698,500,000","204,900,000","109,500,000","110,400,000","562,500,000","232,200,000","241,300,000","-9,000,000"
NetNonOperatingInterestIncomeExpense,"-162,000,000","-134,000,000","-141,000,000","-168,000,000","-205,000,000","-200,000,000","-225,000,000","-235,000,000","-279,000,000","-335,000,000","-354,000,000","-284,000,000","-218,000,000","-232,000,000","-204,000,000","-187,000,000","-144,000,000",,,,,,,,,,,,,,
	InterestIncomeNonOperating,,"118,000,000","107,000,000","10,000,000","12,000,000","49,000,000","39,000,000","48,000,000","29,000,000","18,000,000","20,000,000","16,000,000","22,000,000","19,000,000","18,000,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"280,000,000","252,000,000","248,000,000","178,000,000","217,000,000","249,000,000","264,000,000","283,000,000","308,000,000","353,000,000","374,000,000","300,000,000","240,000,000","251,000,000","222,000,000","187,000,000","144,000,000",,,,,,,,,,,,,,
