name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
OperatingCashFlow,"196,836,000","143,600,000","116,047,000","60,372,000","45,034,000","34,612,000","-26,147,545","-13,742,572","-17,963,503","-18,015,221","-12,941,783","-9,875,674","-5,140,366","-4,985,049","-3,757,405","-7,683,189","-8,260,412","-4,424,934","-1,178,532","-455,360","-230,520"
	CashFlowFromContinuingOperatingActivities,"196,836,000","143,600,000","116,047,000","60,372,000","45,034,000","34,612,000","-26,147,545","-13,742,572","-17,963,503","-18,015,221","-12,941,783","-9,875,674","-5,140,366","-4,985,049","-3,757,405","-7,683,189","-8,260,412","-4,424,934","-1,178,532","-455,360","-230,520"
		NetIncomeFromContinuingOperations,"68,149,000","71,410,000","83,079,000","39,482,000","74,983,000","31,875,000","-34,003,514","-18,412,377","-18,072,452","-20,232,958","-15,509,061","-12,154,596","-4,076,386","-6,391,062","-4,006,323","-7,241,928","-10,564,597","-4,139,493","-2,729,454","-1,805,380","-539,820"
		OperatingGainsLosses,"270,000","262,000","1,009,000","292,000","793,000",,,"186,904","-886,137","-65,005","993,866","1,890,359","-1,129,778","319,908",,,,,,"1,172,750","294,833"
			GainLossOnSaleOfPPE,"270,000","262,000","247,000","292,000","793,000",,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"762,000",,,,,"186,904","-886,137","-65,005","993,866","1,890,359","-1,129,778","319,908",,,,,,,
		DepreciationAmortizationDepletion,"36,576,000","32,881,000","1,239,000","192,000","92,000","55,000","37,978","45,689","43,406","34,468","26,574","22,483","10,889","42,835","25,741","30,227","32,757","15,761","4,927","1,374","366"
			DepreciationAndAmortization,"36,576,000","32,881,000","1,239,000","192,000","92,000","55,000","37,978","45,689","43,406","34,468","26,574","22,483","10,889","42,835","25,741","30,227","32,757","15,761","4,927","1,374","366"
				Depreciation,"342,000","316,000","141,000","192,000","92,000","55,000","37,978","45,689","43,406","34,468","26,574","22,483","10,889",,,,,,,,
				AmortizationCashFlow,"36,234,000","32,565,000","1,098,000","0","0",,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"36,234,000","32,565,000","1,098,000","0","0",,,,,,,,,,,,,,,,
		DeferredTax,"-16,419,000","-17,818,000","4,937,000","9,316,000","-32,971,000","0","0",,,,,,,,,,,,,,
			DeferredIncomeTax,"-16,419,000","-17,818,000","4,937,000","9,316,000","-32,971,000","0","0",,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,"382,000","-3,024,000","0","0",,,,,,,,"1,890,359",,,,,,,,,
		StockBasedCompensation,"20,716,000","14,250,000","7,907,000","6,073,000","6,261,000","3,825,000","3,550,644","2,407,961","1,836,085","1,585,458","777,969","175,855","340,039","416,735","450,089","601,438","717,568",,,,
