name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
			NetShortTermDebtIssuance,,"-325,000,000","325,000,000","210,000,000","-385,000,000","-254,000,000","116,000,000","154,000,000","172,000,000","0","0","0","0",,
				ShortTermDebtIssuance,,"2,384,000,000","2,350,000,000","810,000,000","1,250,000,000","2,522,000,000","2,445,000,000","1,921,000,000","172,000,000","0","150,000,000","0","0",,
				ShortTermDebtPayments,,"-2,709,000,000","-2,025,000,000","-600,000,000","-1,635,000,000","-2,776,000,000","-2,329,000,000","-1,767,000,000","0","0","-150,000,000","0","0",,
		NetCommonStockIssuance,"-373,000,000","-992,000,000","-1,168,000,000","-406,000,000","-447,000,000","-949,000,000","-1,405,000,000","-2,620,000,000","-1,097,000,000","-515,000,000","-415,000,000","518,566,000","-10,247,000","-14,324,000","-9,269,000"
			CommonStockIssuance,,,,,,,"15,000,000","91,000,000","97,000,000","0","0","525,000,000","3,116,000","0","67,000"
			CommonStockPayments,"-373,000,000","-992,000,000","-1,168,000,000","-406,000,000","-447,000,000","-949,000,000","-1,405,000,000","-2,620,000,000","-1,097,000,000","-515,000,000","-415,000,000","-6,434,000","-13,363,000","-14,324,000","-9,336,000"
		CashDividendsPaid,,,,,,,,,,,"0","0","-567,851,000","-288,322,000","-67,493,000"
			CommonStockDividendPaid,,,,,,,,,,,"0","0","-567,851,000","-288,322,000","-67,493,000"
		ProceedsFromStockOptionExercised,"-63,000,000","-61,000,000","-71,000,000","-59,000,000","-44,000,000","11,000,000","15,000,000","91,000,000","97,000,000","64,000,000","35,000,000","12,539,000","350,000","1,114,000",
		NetOtherFinancingCharges,"-52,000,000","-131,000,000","-31,000,000","-840,000,000","-68,000,000","-85,000,000","-77,000,000","-54,000,000","29,000,000","14,000,000","8,000,000","-72,491,000","-9,263,000","-17,898,000","2,046,000"
EndCashPosition,"1,572,000,000","1,376,000,000","1,216,000,000","1,366,000,000","1,814,000,000","837,000,000","891,000,000","959,000,000","1,198,000,000","977,000,000","867,000,000","778,143,000","567,728,000","516,299,000","646,615,000"
	ChangesInCash,"190,000,000","164,000,000","-75,000,000","-396,000,000","946,000,000","-49,000,000","-8,000,000","-292,000,000","307,000,000","160,000,000","130,000,000","228,152,000","56,595,000","-123,194,000","83,645,000"
	EffectOfExchangeRateChanges,"-27,000,000","-4,000,000","-75,000,000","-52,000,000","31,000,000","-5,000,000","-60,000,000","53,000,000","-86,000,000","-50,000,000","-40,000,000","-17,737,000","-5,166,000","-7,122,000","-2,804,000"
	BeginningCashPosition,"1,382,000,000","1,216,000,000","1,366,000,000","1,814,000,000","837,000,000","891,000,000","959,000,000","1,198,000,000","977,000,000","867,000,000","777,000,000","567,728,000","516,299,000","646,615,000","565,774,000"
IncomeTaxPaidSupplementalData,,"340,000,000","255,000,000","222,000,000",,,"211,000,000","195,000,000","106,000,000","121,000,000","139,000,000","70,983,000","103,976,000","63,369,000","77,577,000"
InterestPaidSupplementalData,,"556,000,000","379,000,000","343,000,000",,,"398,000,000","320,000,000","124,000,000","82,000,000","94,000,000","115,494,000","127,133,000","100,906,000","138,632,000"
CapitalExpenditure,"-613,000,000","-649,000,000","-674,000,000","-640,000,000","-616,000,000","-582,000,000","-459,000,000","-369,000,000","-164,000,000","-78,000,000","-83,000,000","-88,347,000","-71,336,000","-75,679,000","-80,236,000"
IssuanceOfCapitalStock,,,,,,,"15,000,000","91,000,000","97,000,000","0","0","525,000,000","3,116,000","0","67,000"
IssuanceOfDebt,"3,950,000,000","6,384,000,000","3,600,000,000","2,761,000,000","2,841,000,000","4,422,000,000","4,076,000,000","7,163,000,000","638,000,000","2,249,000,000","425,000,000","2,060,755,000","2,441,017,000","1,980,000,000","18,847,000"
RepaymentOfDebt,"-4,392,000,000","-5,582,000,000","-2,659,000,000","-2,691,000,000","-2,499,000,000","-3,675,000,000","-3,061,000,000","-4,652,000,000","-1,951,000,000","-2,061,000,000","-183,000,000","-2,448,412,000","-2,000,879,000","-1,719,879,000","-97,212,000"
RepurchaseOfCapitalStock,"-373,000,000","-992,000,000","-1,168,000,000","-406,000,000","-447,000,000","-949,000,000","-1,405,000,000","-2,620,000,000","-1,097,000,000","-515,000,000","-415,000,000","-6,434,000","-13,363,000","-14,324,000","-9,336,000"
FreeCashFlow,"1,827,000,000","1,500,000,000","1,586,000,000","2,302,000,000","1,343,000,000","835,000,000","795,000,000","601,000,000","696,000,000","398,000,000","350,000,000","305,024,000","264,365,000","85,274,000","297,924,000"
