name,12/31/2023,12/31/2022,12/31/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996
TotalAssets,"1,146,500,000","1,198,700,000","1,320,700,000","1,404,600,000","1,562,700,000","1,175,300,000","1,208,900,000","880,500,000","766,200,000","823,800,000","803,821,000","690,635,000","610,827,000","593,847,000","466,388,000","499,342,000","375,540,000","276,603,000","158,958,000","188,356,000","182,823,000","157,390,080","172,145,355","106,375,305","53,600,000","67,400,000","76,100,000","79,600,000"
	CurrentAssets,"313,600,000","274,600,000","484,800,000","331,700,000","348,600,000","327,600,000","301,700,000","314,500,000","283,600,000","322,400,000","483,992,000","422,492,000","418,261,000","473,976,000","366,120,000","377,303,000","252,534,000","252,287,000","135,555,000","137,193,000","102,823,000","85,354,487","137,198,793","85,931,776","13,700,000","31,700,000","48,600,000","50,600,000"
		CashCashEquivalentsAndShortTermInvestments,"140,900,000","114,900,000","338,800,000","217,800,000","136,900,000","180,600,000","150,700,000","159,000,000","144,800,000","186,400,000","372,316,000","340,532,000","346,457,000","403,228,000","316,855,000","328,728,000","214,111,000","227,744,000","113,843,000","115,366,000","72,775,000","73,074,899","127,219,298","80,501,691","9,900,000","14,600,000","15,700,000","13,200,000"
			CashAndCashEquivalents,"132,100,000","56,900,000","257,400,000","163,700,000","93,200,000","110,900,000","102,400,000","68,500,000","64,100,000","64,800,000","104,073,000","86,352,000","52,681,000","92,840,000","63,510,000","237,734,000","143,432,000","98,573,000","49,509,000","83,983,000","61,603,000","61,066,953","35,936,817","56,214,736","5,400,000","14,600,000","15,700,000","13,200,000"
				CashFinancial,"129,900,000","53,600,000","194,200,000","132,800,000","68,700,000","95,600,000","83,500,000","66,100,000","54,700,000","45,200,000","40,412,000","34,217,000","24,012,000",,,,,,,,,,,,,,,
				CashEquivalents,"2,200,000","3,300,000","63,200,000","30,900,000","24,500,000","15,300,000","18,900,000","2,400,000","9,400,000","19,600,000","63,661,000","52,135,000","28,669,000",,,,,,,,,,,,,,,
			OtherShortTermInvestments,"8,800,000","58,000,000","81,400,000","54,100,000","43,700,000","69,700,000","48,300,000","90,500,000","80,700,000","121,600,000","268,243,000","254,180,000","293,776,000","310,388,000","253,345,000","90,994,000","70,679,000","129,171,000","64,334,000","31,383,000","11,172,000","12,007,946","91,282,481","24,286,955","4,500,000",,,
		Receivables,"114,300,000","101,600,000","91,300,000","71,000,000","138,600,000","103,300,000","95,900,000","95,000,000","87,700,000","85,100,000","96,978,000","63,101,000","50,847,000","48,134,000","44,617,000","45,432,000","32,451,000","22,217,000","18,381,000","14,548,000","22,308,000","7,452,763","5,760,458","2,751,101","3,200,000","600,000","500,000",
			AccountsReceivable,"114,300,000","101,600,000","91,300,000","68,100,000","133,900,000","99,500,000","90,200,000","91,700,000","85,800,000","81,900,000","94,333,000","60,441,000","50,272,000","47,801,000","44,617,000","40,663,000","31,103,000","20,820,000","17,236,000","13,994,000","12,917,000","7,233,162","3,634,370",,"3,200,000",,,
				GrossAccountsReceivable,,,,,,"110,400,000","97,800,000","98,500,000","93,400,000","90,900,000","101,833,000","65,041,000","53,972,000","52,201,000",,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,"-12,100,000","-7,600,000","-6,800,000","-7,600,000","-9,000,000","-7,500,000","-4,600,000","-3,700,000","-4,400,000",,,,,,,,,,,,,,
			OtherReceivables,,,,"2,900,000","4,700,000","3,800,000","5,700,000","3,300,000","1,900,000","3,200,000","2,645,000","2,660,000","575,000","333,000","688,000","4,769,000","1,348,000","1,397,000","1,145,000","554,000","9,391,000","219,601","2,126,088",,,,,
		Inventory,"22,000,000","20,100,000","15,300,000","29,100,000","31,400,000","34,300,000","42,200,000","38,300,000","25,100,000","23,900,000","5,007,000","11,574,000","8,218,000","0",,,,,,,,,,,,,,
		PrepaidAssets,"17,000,000","17,600,000","18,400,000","13,800,000","41,700,000","9,400,000","12,900,000","22,200,000","12,500,000","20,500,000","1,684,000","1,713,000","2,949,000","4,054,000","3,993,000","3,143,000","5,972,000","2,326,000","3,331,000","7,279,000","7,740,000","4,826,825","4,219,037",,,,,
		CurrentDeferredAssets,,,,,,,,"0","13,500,000","6,500,000","8,007,000","5,572,000","9,790,000","18,560,000","0",,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,"0","13,500,000","6,500,000","8,007,000","5,572,000","9,790,000","18,560,000","0",,,,,,,,,,,,,
		OtherCurrentAssets,"19,400,000","20,400,000","21,000,000",,,,,,,,,,,"333,000","655,000",,,,,,,,,"2,678,984","600,000","16,500,000","32,400,000","37,400,000"
	TotalNonCurrentAssets,"832,900,000","924,100,000","835,900,000","1,072,900,000","1,214,100,000","847,700,000","907,200,000","566,000,000","482,600,000","501,400,000","319,829,000","268,143,000","192,566,000","119,871,000","100,268,000","122,039,000","123,006,000","24,316,000","23,403,000","51,163,000","80,000,000","72,035,593","34,946,562","20,443,529","39,900,000","35,700,000","27,500,000","29,000,000"
