name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"137,366,000","145,360,000","162,344,000","156,254,000","164,870,000","168,613,000","109,354,000","107,765,000","120,050,000","135,916,000","135,460,000","133,484,000","126,634,000","124,797,000","107,231,000","81,271,000","98,853,000","93,228,000","91,635,000","139,881,000","128,429,000","107,584,000","82,361,771","58,808,524","20,609,870","7,220,000"
	CurrentAssets,"49,038,000","51,124,000","61,583,000","51,700,000","53,572,000","57,832,000","47,535,000","45,472,000","50,549,000","57,063,000","60,750,000","58,972,000","57,563,000","58,566,000","48,199,000","43,464,000","54,311,000","53,285,000","54,996,000","61,309,000","55,778,000","48,414,000","44,752,890","46,919,480","11,287,549",
		CashCashEquivalentsAndShortTermInvestments,"4,283,000","4,508,000","7,821,000","8,317,000","8,335,000","8,173,000","5,192,000","5,596,000","6,744,000","14,134,000","25,771,000","20,681,000","17,916,000","19,704,000","16,588,000","13,698,000","17,889,000","9,357,000","7,632,000","13,867,000","8,223,000","15,313,000","29,385,455","35,816,994","2,396,053","957,000"
			CashAndCashEquivalents,"4,283,000","4,508,000","7,821,000","8,317,000","8,335,000","8,173,000","5,192,000","5,596,000","6,744,000","14,134,000","25,771,000","20,681,000","17,916,000","19,704,000","16,588,000","13,698,000","17,889,000","9,357,000","7,632,000","13,867,000","8,223,000","15,313,000","29,385,455","35,816,994","2,396,053","957,000"
		Receivables,"16,099,000","16,705,000","21,834,000","17,766,000","20,704,000","21,463,000","17,091,000","19,921,000","21,420,000","20,883,000","17,655,000","18,976,000","17,579,000","17,589,000","16,632,000","17,559,000","17,171,000","15,724,000","13,429,000","21,482,000","22,376,000","14,395,000","7,604,331","6,448,535","4,393,796",
			AccountsReceivable,"16,099,000","16,705,000","21,834,000","17,766,000","20,704,000","21,463,000","13,382,000","15,746,000","17,547,000","16,141,000","13,884,000","14,357,000","15,078,000","15,440,000","14,383,000","15,086,000","14,757,000","13,323,000","10,143,000","18,519,000","19,075,000","13,917,000","6,490,189",,,
				GrossAccountsReceivable,"16,259,000","16,896,000","21,970,000","17,993,000","21,029,000","21,795,000","13,575,000","16,357,000","17,857,000","16,469,000","14,242,000","14,551,000","15,380,000",,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-160,000","-191,000","-136,000","-227,000","-325,000","-332,000","-193,000","-611,000","-310,000","-328,000","-358,000","-194,000","-302,000",,,,,,,,,,,,,
			OtherReceivables,,,,,,"3,109,000","3,709,000","4,175,000","3,873,000","4,742,000","3,771,000","4,619,000","2,501,000","2,149,000","2,249,000","2,473,000","2,414,000","2,401,000","3,286,000","2,963,000","3,301,000","478,000","1,114,142",,,
		Inventory,"24,716,000","26,439,000","27,587,000","22,262,000","22,061,000","25,087,000","16,848,000","19,955,000","22,343,000","20,531,000","15,777,000","17,762,000","18,160,000","15,832,000","14,406,000","11,901,000","14,983,000","10,743,000","9,086,000","25,465,000","24,679,000","15,467,000","5,972,708","3,722,180","2,849,670",
