name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001
			Payables,"41,548,000","73,388,000","58,424,000","49,998,000","67,502,000","56,652,000","63,291,000","93,058,000","48,325,000","48,757,000","50,140,000","51,869,000","27,303,000","21,615,000","12,771,000","15,898,000","20,539,000","19,303,000","18,065,000","21,705,000","5,281,000",,,
				AccountsPayable,"38,979,000","62,743,000","55,760,000","45,978,000","62,375,000","56,560,000","61,390,000","70,218,000","38,296,000","46,115,000","48,286,000","51,376,000","26,726,000","21,615,000","12,771,000","15,898,000","20,539,000","19,303,000","18,065,000","21,705,000","5,281,000",,,
				TotalTaxPayable,"2,569,000","10,645,000","2,664,000","4,020,000","5,127,000","92,000","1,901,000","22,840,000","10,029,000","2,642,000","1,854,000","493,000","577,000",,,,,,,,,,,
					IncomeTaxPayable,"2,569,000","10,645,000","2,664,000","1,652,000","3,210,000","88,000","1,901,000","22,840,000","10,029,000","2,642,000","1,854,000","493,000","577,000",,,,,,,,,,,
			CurrentAccruedExpenses,"57,127,000","63,275,000","56,299,000","49,620,000","62,154,000","59,369,000","49,317,000","53,416,000","47,949,000","40,419,000","26,728,000","34,684,000","28,969,000","32,593,000","13,294,000","14,778,000","13,802,000","18,057,000","12,145,000","11,589,000","7,264,000",,,
				InterestPayable,"15,763,000","15,688,000","4,437,000","6,312,000","9,911,000","9,756,000","9,708,000","8,130,000","8,664,000","11,974,000","9,626,000","13,894,000","13,889,000","10,313,000","1,561,000","5,371,000",,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"12,221,000","14,292,000","19,587,000","14,074,000","13,393,000","10,958,000","10,591,000","15,535,000","9,574,000","8,840,000","6,232,000","8,847,000","7,642,000",,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"6,152,000","9,760,000","9,112,000","8,446,000","6,832,000",,,,,,,,,,"29,587,000","3,550,000","3,550,000","3,550,000","3,730,000","3,730,000","2,000,000",,,
			CurrentDebt,,,,,,,,,,,,,,,"29,587,000","3,550,000","3,550,000","3,550,000","3,730,000","3,730,000","2,000,000",,,
			CurrentCapitalLeaseObligation,"6,152,000","9,760,000","9,112,000","8,446,000","6,832,000","0",,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,"492,000","836,000","1,021,000","1,258,000","1,268,000","9,000",,,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,"1,795,000",,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,546,285,000","1,745,930,000","1,949,648,000","1,948,837,000","2,193,053,000","2,218,226,000","2,458,803,000","2,926,790,000","2,097,771,000","1,915,306,000","1,147,945,000","1,165,188,000","1,291,625,000","640,878,000","406,701,000","472,770,000","532,192,000","577,172,000","593,503,000","577,529,000","185,568,000",,,
		LongTermDebtAndCapitalLeaseObligation,"1,133,504,000","1,357,331,000","1,497,247,000","1,506,175,000","1,759,803,000","1,798,598,000","1,992,952,000","2,193,732,000","1,625,309,000","1,561,273,000","934,414,000","970,900,000","1,123,908,000","486,945,000","294,557,000","374,787,000","407,675,000","459,800,000","494,900,000","491,630,000","146,694,000",,,
			LongTermDebt,"1,125,804,000","1,345,788,000","1,476,658,000","1,479,653,000","1,730,300,000","1,798,598,000","1,992,952,000","2,193,732,000","1,625,309,000","1,561,273,000","934,414,000","970,900,000","1,123,908,000","486,945,000","294,557,000","374,787,000","407,675,000","459,800,000","494,900,000","491,630,000","146,694,000",,,
			LongTermCapitalLeaseObligation,"7,700,000","11,543,000","20,589,000","26,522,000","29,503,000","0",,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"403,596,000","380,434,000","444,917,000","434,050,000","407,812,000","399,575,000","442,518,000","715,086,000","469,622,000","351,569,000","213,204,000","194,288,000","167,717,000","153,933,000","112,144,000","97,983,000","122,140,000","114,571,000","98,603,000","85,899,000","38,874,000",,,
			NonCurrentDeferredTaxesLiabilities,"403,596,000","380,434,000","444,917,000","434,050,000","407,812,000","399,575,000","442,518,000","715,086,000","469,622,000","351,569,000","213,204,000","194,288,000","167,717,000","153,933,000","112,144,000","97,983,000","122,140,000","114,571,000","98,603,000","85,899,000","38,874,000",,,
		OtherNonCurrentLiabilities,"9,185,000","8,165,000","7,484,000","8,612,000","25,438,000","20,053,000","23,333,000","17,972,000","2,840,000","2,464,000","327,000",,,,,,"2,377,000","2,801,000",,,,,,
TotalEquityGrossMinorityInterest,"1,655,084,000","1,447,084,000","1,577,611,000","1,358,298,000","1,170,971,000","1,095,831,000","1,178,610,000","822,549,000","744,336,000","627,624,000","563,360,000","477,943,000","402,728,000","361,832,000","329,059,000","294,385,000","479,073,000","445,334,000","409,407,000","382,047,000","126,509,000","43,858,000","58,737,000","46,030,000"
	StockholdersEquity,"1,655,084,000","1,447,084,000","1,577,611,000","1,358,298,000","1,170,971,000","1,095,831,000","1,178,610,000","822,549,000","744,336,000","627,624,000","563,360,000","477,943,000","402,728,000","361,832,000","329,059,000","294,385,000","479,073,000","445,334,000","409,407,000","382,047,000","126,509,000","43,858,000","58,737,000","46,030,000"
		CapitalStock,"555,000","548,000","544,000","540,000","538,000","536,000","534,000","533,000","530,000","525,000","520,000","796,000","788,000","503,000","502,000","501,000","501,000","501,000","501,000","500,000","119,848,000",,,
			PreferredStock,"0","0","0","0",,"0","0","0","0","0","0","283,000","283,000","0",,"0",,,,,"114,575,000",,,
			CommonStock,"555,000","548,000","544,000","540,000","538,000","536,000","534,000","533,000","530,000","525,000","520,000","513,000","505,000","503,000","502,000","501,000","501,000","501,000","501,000","500,000","5,273,000",,,
		AdditionalPaidInCapital,"567,448,000","535,356,000","515,583,000","499,508,000","488,116,000","479,150,000","468,783,000","458,255,000","445,182,000","426,584,000","414,387,000","401,691,000","391,898,000","387,932,000","384,027,000","382,803,000","380,364,000","379,225,000","378,570,000","378,251,000","4,871,000",,,
		RetainedEarnings,"1,341,197,000","1,131,858,000","1,214,164,000","1,008,783,000","844,101,000","701,820,000","736,277,000","396,707,000","327,312,000","227,405,000","149,145,000","76,247,000","10,742,000","-26,187,000","-55,407,000","-87,522,000","99,254,000","65,335,000","29,257,000","2,980,000","1,790,000",,,
		TreasuryStock,"219,621,000","189,114,000","133,648,000","130,732,000","117,623,000","59,928,000","7,669,000","6,594,000","5,163,000","3,478,000","1,431,000","687,000","687,000","416,000","63,000","63,000","47,000","40,000","30,000","4,000","0",,,
		GainsLossesNotAffectingRetainedEarnings,"-34,495,000","-31,564,000","-19,032,000","-19,801,000","-44,161,000","-25,747,000","-19,315,000","-26,352,000","-23,525,000","-23,412,000","739,000","-104,000","-13,000","0","0","-1,334,000","-999,000","313,000","1,109,000","320,000","0",,,
			OtherEquityAdjustments,"-34,495,000","-31,564,000","-19,032,000","-19,801,000","-44,161,000","-25,747,000","-19,315,000","-26,352,000","-23,525,000","-23,412,000","739,000","-104,000","-13,000",,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,"5,273,000",,,
TotalCapitalization,"2,780,888,000","2,792,872,000","3,054,269,000","2,837,951,000","2,901,271,000","2,894,429,000","3,171,562,000","3,016,281,000","2,369,645,000","2,188,897,000","1,497,774,000","1,448,843,000","1,526,636,000","848,777,000","623,616,000","669,172,000","886,748,000","905,134,000","904,307,000","873,677,000","273,203,000","43,858,000","58,737,000","46,030,000"
PreferredStockEquity,,,,,,,,,,,,"283,000","283,000",,,,,,,,"114,575,000",,,
CommonStockEquity,"1,655,084,000","1,447,084,000","1,577,611,000","1,358,298,000","1,170,971,000","1,095,831,000","1,178,610,000","822,549,000","744,336,000","627,624,000","563,360,000","477,660,000","402,445,000","361,832,000","329,059,000","294,385,000","479,073,000","445,334,000","409,407,000","382,047,000","11,934,000","43,858,000","58,737,000","46,030,000"
CapitalLeaseObligations,"13,852,000","21,303,000","29,701,000","34,968,000","36,335,000","0",,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-1,193,232,000","-1,422,362,000","-1,698,000,000","-1,695,510,000","-1,883,599,000","-1,989,962,000","-2,222,404,000","-2,696,316,000","-1,938,578,000","-1,797,727,000","-1,022,368,000","-1,062,843,000","-1,171,496,000","-579,425,000","-336,789,000","-388,992,000","-476,525,000","-522,770,000","-525,725,000","-521,297,000","70,915,000","43,858,000","58,737,000","46,030,000"
WorkingCapital,"257,995,000","231,028,000","149,845,000","147,697,000","215,773,000","173,959,000","180,278,000","172,425,000","142,329,000","102,670,000","92,827,000","67,505,000","83,112,000","53,374,000","56,498,000","69,337,000","47,484,000","42,858,000","50,276,000","37,912,000","16,209,000",,,
InvestedCapital,"2,780,888,000","2,792,872,000","3,054,269,000","2,837,951,000","2,901,271,000","2,894,429,000","3,171,562,000","3,016,281,000","2,369,645,000","2,188,897,000","1,497,774,000","1,448,560,000","1,526,353,000","848,777,000","653,203,000","672,722,000","890,298,000","908,684,000","908,037,000","877,407,000","160,628,000","43,858,000","58,737,000","46,030,000"
TangibleBookValue,"-1,193,232,000","-1,422,362,000","-1,698,000,000","-1,695,510,000","-1,883,599,000","-1,989,962,000","-2,222,404,000","-2,696,316,000","-1,938,578,000","-1,797,727,000","-1,022,368,000","-1,063,126,000","-1,171,779,000","-579,425,000","-336,789,000","-388,992,000","-476,525,000","-522,770,000","-525,725,000","-521,297,000","-43,660,000","43,858,000","58,737,000","46,030,000"
TotalDebt,"1,139,656,000","1,367,091,000","1,506,359,000","1,514,621,000","1,766,635,000","1,798,598,000","1,992,952,000","2,193,732,000","1,625,309,000","1,561,273,000","934,414,000","970,900,000","1,123,908,000","486,945,000","324,144,000","378,337,000","411,225,000","463,350,000","498,630,000","495,360,000","148,694,000",,,
NetDebt,"1,079,335,000","1,287,299,000","1,449,473,000","1,447,351,000","1,635,540,000","1,771,068,000","1,960,404,000","2,151,877,000","1,598,079,000","1,539,955,000","906,083,000","955,230,000","1,104,893,000","473,611,000","283,047,000","343,156,000","405,147,000","449,592,000","490,430,000","490,026,000","145,301,000",,,
ShareIssued,"55,501,000","54,857,000","54,430,000","53,999,000","53,805,000","53,670,000","53,396,000","53,287,000","53,066,000","52,562,000","52,021,000","51,311,000","50,466,000","50,276,000","50,154,000","50,184,000","50,001,000","50,005,000","50,038,000","49,995,294","50,000,000","50,000,000","50,000,000","50,000,000"
OrdinarySharesNumber,"49,821,000","49,692,000","50,279,000","49,911,000","50,086,000","51,799,000","53,043,000","52,955,000","52,760,000","52,296,000","51,815,000","51,130,000","50,285,000","50,116,000","50,030,000","50,060,000","50,001,000","50,005,000","50,038,000","49,995,294","50,000,000","50,000,000","50,000,000","50,000,000"
TreasurySharesNumber,"5,680,000","5,165,000","4,151,000","4,088,000","3,719,000","1,871,000","353,000","332,000","306,000","266,000","206,000","181,000","181,000","160,000","124,000","124,000",,,,,,,,
