name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
NetIncomeFromContinuingAndDiscontinuedOperation,"4,321,700,000","3,953,600,000","4,338,400,000","8,075,300,000","3,513,200,000","2,115,800,000","2,444,400,000","1,198,500,000","895,500,000","636,056,000","338,126,000","413,738,000","750,269,000","-221,760,000","-104,468,000","-67,830,000","-79,129,000","-105,600,000","-103,150,000","-95,446,000","41,699,000","-107,458,000","-124,377,000","-76,180,000","-23,215,000","-23,100,000","-8,600,000","-11,600,000","-32,400,000","-23,500,000","-30,700,000","-39,900,000","-19,100,000","-4,500,000","-3,300,000"
NormalizedIncome,"4,340,354,006.802","4,364,628,800","4,556,917,100","7,782,159,000","3,513,200,000","2,115,800,000","2,444,400,000","1,198,500,000","895,500,000","636,056,000","338,126,000","413,888,150","748,961,200","-225,290,975.719","-106,590,000","-72,060,890.594","-90,323,950","-126,497,000","-113,078,800","-120,058,600","12,762,200","-110,135,200","-130,038,000","-83,476,000","-18,907,000","-20,580,000","-7,100,000","-13,280,000","-23,820,000","-14,680,000","-30,700,000","-39,900,000","-19,100,000","-7,620,000","-3,300,000"
InterestIncome,"623,300,000","495,900,000","160,100,000","45,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"67,000,000","73,000,000","59,400,000","57,300,000","56,900,000","30,200,000","28,200,000","25,100,000","7,200,000","14,241,000","37,372,000","46,437,000","45,304,000","21,282,000","9,118,000","2,337,000","7,752,000","12,043,000",,,,,,,,,,,,,,,,,
NetInterestIncome,"556,300,000","422,900,000","100,700,000","-11,500,000","-56,900,000","-30,200,000","-28,200,000","-25,100,000","-7,200,000","-14,241,000","-37,372,000","-46,437,000","-45,304,000","-21,282,000","-9,118,000","-2,337,000","-7,752,000","-12,043,000",,,,,,,,,,,,,,,,,
EBIT,"4,654,200,000","4,272,300,000","4,918,200,000","9,383,100,000","3,867,300,000","2,459,300,000","2,581,700,000","2,103,600,000","1,337,000,000","1,239,338,000","798,607,000","742,819,000","459,725,000","-201,610,000","-95,350,000","-69,615,000","-69,026,000","-93,557,000","-107,655,000","124,421,000","5,646,000","-99,988,000","-121,953,000","-85,683,000","-25,276,000","-23,800,000","-12,500,000","-13,700,000","-17,300,000","-7,600,000","-29,200,000","-38,800,000","-18,300,000","-9,600,000","-3,300,000"
EBITDA,"5,107,400,000","4,693,300,000","5,259,600,000","9,669,300,000","4,103,200,000","2,669,600,000","2,729,900,000","2,249,100,000","1,441,700,000","1,314,247,000","851,293,000","784,023,000","496,665,000","-170,528,000","-75,663,000","-55,368,000","-57,739,000","-82,070,000","-93,063,000","139,925,000","21,008,000","-87,051,000","-113,499,000","-79,606,000","-20,855,000","-20,400,000","-9,500,000","-9,300,000","-11,200,000","-1,700,000","-25,000,000","-35,700,000","-16,300,000","-8,800,000","-3,000,000"
ReconciledCostOfRevenue,"1,867,400,000","1,815,800,000","1,560,400,000","2,437,500,000","1,119,900,000","765,100,000","417,500,000","397,100,000","299,700,000","392,709,000","205,018,000","155,355,000","84,455,000","4,216,000","2,093,000","1,686,000","923,000","0","8,146,000","9,557,000","15,214,000","6,676,000","6,483,000","6,509,000","15,566,000","3,600,000","5,000,000","2,600,000","1,100,000",,,,,"12,800,000","6,300,000"
ReconciledDepreciation,"453,200,000","421,000,000","341,400,000","286,200,000","235,900,000","210,300,000","148,200,000","145,500,000","104,700,000","74,909,000","52,686,000","41,204,000","36,940,000","31,082,000","19,687,000","14,247,000","11,287,000","11,487,000","14,592,000","15,504,000","15,362,000","12,937,000","8,454,000","6,077,000","4,421,000","3,400,000","3,000,000","4,400,000","6,100,000","5,900,000","4,200,000","3,100,000","2,000,000","800,000","300,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"4,321,700,000","3,953,600,000","4,338,400,000","8,075,300,000","3,513,200,000","2,115,800,000","2,444,400,000","1,198,500,000","895,500,000","636,056,000","338,126,000","413,738,000","750,269,000","-221,760,000","-104,468,000","-67,830,000","-79,129,000","-105,600,000","-103,150,000","-95,446,000","41,699,000","-107,458,000","-124,377,000","-76,180,000","-21,652,000","-23,100,000","-8,600,000","-11,600,000","-32,400,000","-23,500,000","-30,700,000","-39,900,000","-19,100,000","-4,500,000","-3,300,000"
TotalUnusualItemsExcludingGoodwill,"-19,800,000","-436,800,000","-244,700,000","338,500,000",,,,,,"-12,578,000","-25,312,000","-231,000","2,012,000","3,549,000","2,122,000","4,488,000","17,223,000","20,897,000","16,548,000","41,021,000","48,228,000","4,462,000","9,435,000","12,160,000","-4,575,000","-4,200,000","-2,500,000","2,800,000","-14,300,000","-14,700,000",,,,"5,200,000",
TotalUnusualItems,"-19,800,000","-436,800,000","-244,700,000","338,500,000",,,,,,"-12,578,000","-25,312,000","-231,000","2,012,000","3,549,000","2,122,000","4,488,000","17,223,000","20,897,000","16,548,000","41,021,000","48,228,000","4,462,000","9,435,000","12,160,000","-4,575,000","-4,200,000","-2,500,000","2,800,000","-14,300,000","-14,700,000",,,,"5,200,000",
NormalizedEBITDA,"5,127,200,000","5,130,100,000","5,504,300,000","9,330,800,000","4,103,200,000","2,669,600,000","2,729,900,000","2,249,100,000","1,441,700,000","1,314,247,000","851,293,000","784,254,000","494,653,000","-174,077,000","-77,785,000","-59,856,000","-74,962,000","-102,967,000","-109,611,000","98,904,000","-27,220,000","-91,513,000","-122,934,000","-91,766,000","-16,280,000","-16,200,000","-7,000,000","-12,100,000","3,100,000","13,000,000","-25,000,000","-35,700,000","-16,300,000","-14,000,000","-3,000,000"
TaxRateForCalcs,"0.058","0.059","0.107","0.134","0.078","0.129","0.043","0.4","0.327","0.4","0.35","0.35","0.35","0.005","0","0.057","0.35","0","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-1,145,993.198","-25,771,200","-26,182,900","45,359,000","0","0","0","0","0","0","0","-80,850","704,200","18,024.281","0","257,109.406","6,028,050","0","6,619,200","16,408,400","19,291,200","1,784,800","3,774,000","4,864,000","-1,830,000","-1,680,000","-1,000,000","1,120,000","-5,720,000","-5,880,000","0","0","0","2,080,000","0"
