name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
TotalRevenue,"46,509,000,000","45,006,000,000","46,159,000,000","46,385,000,000","42,518,000,000","26,145,000,000","22,561,000,000","20,776,000,000","19,427,000,000","16,560,000,000","15,879,000,000","16,385,000,000","17,621,000,000","21,244,000,000","19,484,000,000","18,808,000,000","17,715,000,000","19,348,000,000","17,256,000,000","18,605,000,000","19,380,000,000","18,653,000,000","18,106,000,000","17,987,000,000","18,216,000,000","16,878,000,000","15,061,000,000","16,701,000,000","15,065,000,000","13,767,000,000","11,984,000,000","11,413,000,000","11,156,000,000","11,159,000,000","10,300,000,000","9,189,000,000","8,558,000,000","7,558,000,000"
	OperatingRevenue,"45,832,000,000","44,386,000,000","45,413,000,000","45,771,000,000","41,936,000,000","25,771,000,000","22,228,000,000","20,776,000,000","19,427,000,000","16,560,000,000","15,879,000,000","16,385,000,000","17,621,000,000","21,244,000,000","19,484,000,000","18,808,000,000","17,715,000,000","19,348,000,000","17,256,000,000","18,605,000,000","19,380,000,000","18,653,000,000","18,106,000,000","17,987,000,000","18,216,000,000","16,878,000,000","15,061,000,000","16,701,000,000","15,065,000,000","13,767,000,000","11,984,000,000","11,413,000,000","11,156,000,000","11,159,000,000","10,300,000,000","9,189,000,000","8,558,000,000","7,558,000,000"
CostOfRevenue,"11,450,000,000","10,693,000,000","10,137,000,000","9,940,000,000","11,773,000,000","8,078,000,000","6,467,000,000","6,014,000,000","4,969,000,000","3,909,000,000","3,932,000,000","4,619,000,000","4,610,000,000","5,598,000,000","5,277,000,000","5,140,000,000","5,316,000,000","6,218,000,000","5,739,000,000","5,737,000,000","5,989,000,000","5,406,000,000","6,532,000,000","5,453,000,000","4,759,000,000","3,864,000,000","3,271,000,000","3,873,000,000","3,446,000,000","3,189,000,000","2,794,000,000","2,721,000,000","2,562,000,000","2,684,000,000","2,630,000,000","2,460,000,000","2,299,000,000","2,141,000,000"
GrossProfit,"35,059,000,000","34,313,000,000","36,022,000,000","36,445,000,000","30,745,000,000","18,067,000,000","16,094,000,000","14,762,000,000","14,458,000,000","12,651,000,000","11,947,000,000","11,766,000,000","13,011,000,000","15,646,000,000","14,207,000,000","13,668,000,000","12,399,000,000","13,130,000,000","11,517,000,000","12,868,000,000","13,391,000,000","13,247,000,000","11,574,000,000","12,534,000,000","13,457,000,000","13,014,000,000","11,790,000,000","12,828,000,000","11,619,000,000","10,578,000,000","9,190,000,000","8,692,000,000","8,594,000,000","8,475,000,000","7,670,000,000","6,729,000,000","6,259,000,000","5,417,000,000"
OperatingExpense,"27,992,000,000","26,118,000,000","26,918,000,000","27,908,000,000","28,568,000,000","12,154,000,000","10,980,000,000","11,316,000,000","9,991,000,000","10,921,000,000","10,233,000,000","8,835,000,000","9,079,000,000","9,009,000,000","8,257,000,000","8,229,000,000","7,376,000,000","9,602,000,000","9,131,000,000","9,131,000,000","8,927,000,000","8,314,000,000","7,473,000,000","7,376,000,000","7,471,000,000","7,775,000,000","7,334,000,000","8,390,000,000","7,666,000,000","6,963,000,000","5,969,000,000","6,289,000,000","6,634,000,000","5,709,000,000","5,281,000,000","5,646,000,000","4,489,000,000","3,950,000,000"
	SellingGeneralAndAdministration,"8,371,000,000","7,772,000,000","7,814,000,000","7,690,000,000","7,661,000,000","4,871,000,000","4,551,000,000","4,751,000,000","4,979,000,000","5,001,000,000","5,699,000,000","5,104,000,000","5,175,000,000","5,170,000,000","4,691,000,000","5,214,000,000","5,354,000,000","6,320,000,000","6,140,000,000","6,453,000,000","6,427,000,000","6,035,000,000","5,267,000,000","5,193,000,000","5,532,000,000","5,338,000,000","5,203,000,000","6,414,000,000","5,871,000,000","5,316,000,000","4,533,000,000","5,981,000,000","6,339,000,000","5,463,000,000","5,037,000,000","5,450,000,000","4,304,000,000","3,789,000,000"
		GeneralAndAdministrativeExpense,,,,,,,,"162,000,000","91,000,000","160,000,000","877,000,000","165,000,000","158,000,000","10,000,000","28,000,000","4,078,000,000","4,173,000,000","4,855,000,000","4,800,000,000","4,989,000,000","5,016,000,000","4,620,000,000","4,124,000,000","3,894,000,000","3,860,000,000",,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,"162,000,000","91,000,000","160,000,000","877,000,000","165,000,000","158,000,000","10,000,000","28,000,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,"4,203,000,000","3,705,000,000","4,078,000,000","4,173,000,000","4,855,000,000","4,800,000,000","4,989,000,000","5,016,000,000","4,620,000,000","4,124,000,000","3,894,000,000","3,860,000,000",,,,,,,,,,,,,
		SellingAndMarketingExpense,,,"7,814,000,000","7,690,000,000","7,661,000,000","4,871,000,000","4,551,000,000","4,751,000,000","4,979,000,000","4,841,000,000","4,822,000,000","4,939,000,000","5,017,000,000","5,160,000,000","4,663,000,000","1,136,000,000","1,181,000,000","1,465,000,000","1,340,000,000","1,464,000,000","1,411,000,000","1,415,000,000","1,143,000,000","1,299,000,000","1,672,000,000",,,,,,,,,,,,,
