name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995
TotalAssets,"67,443,000,000","62,320,000,000","63,298,000,000","65,015,000,000","61,247,000,000","59,672,000,000","60,381,000,000","60,969,000,000","56,523,000,000","53,870,000,000","51,759,000,000","34,786,000,000","33,093,000,000","30,886,000,000","28,189,000,000","25,267,000,000","24,603,000,000","23,943,000,000","20,961,000,000","18,775,000,000","16,240,200,000","14,361,100,000","13,325,900,000","11,529,900,000","10,372,900,000","9,020,000,000","7,349,700,000","5,172,800,000","3,360,200,000","3,260,200,000"
	CurrentAssets,"47,970,000,000","44,292,000,000","46,231,000,000","45,382,000,000","42,222,000,000","38,465,000,000","37,136,000,000","36,948,000,000","38,435,000,000","36,670,000,000","32,836,000,000","23,170,000,000","23,603,000,000","22,357,000,000","21,504,000,000","18,671,000,000","17,786,000,000","17,856,000,000","16,997,000,000","15,362,000,000","13,004,200,000","11,253,600,000","10,701,100,000","9,164,000,000","7,965,500,000","6,452,800,000","5,357,100,000","3,761,100,000","2,463,000,000","2,464,200,000"
		CashCashEquivalentsAndShortTermInvestments,"4,583,000,000","4,678,000,000","3,532,000,000","6,278,000,000","4,015,000,000","2,981,000,000","2,672,000,000","2,783,000,000","4,048,000,000","5,341,000,000","4,193,000,000","2,456,000,000","3,149,000,000","3,612,000,000","3,731,000,000","2,109,000,000","1,362,000,000","1,954,000,000","2,139,000,000","1,800,000,000","717,800,000","533,500,000","562,900,000","445,600,000","605,900,000","261,900,000","566,300,000","124,800,000","260,800,000","363,100,000"
			CashAndCashEquivalents,"4,583,000,000","4,678,000,000","3,532,000,000","6,278,000,000","4,015,000,000","2,981,000,000","2,672,000,000","2,783,000,000","4,048,000,000","5,341,000,000","4,193,000,000","2,456,000,000","3,149,000,000","3,612,000,000","3,731,000,000","2,109,000,000","1,362,000,000","1,954,000,000","2,139,000,000","1,800,000,000","708,000,000","522,000,000","557,800,000","433,700,000","548,900,000","233,700,000","566,300,000","124,800,000","260,800,000","363,100,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,"9,300,000","9,800,000","11,500,000","5,100,000","11,900,000","57,000,000","28,200,000",,,,
		Receivables,"21,622,000,000","19,410,000,000","18,583,000,000","19,181,000,000","19,950,000,000","18,246,000,000","17,711,000,000","18,215,000,000","17,980,000,000","15,914,000,000","13,780,000,000","9,975,000,000","9,977,000,000","9,187,000,000","8,075,000,000","7,774,000,000","7,213,000,000","6,566,000,000","6,247,000,000","5,721,000,000","5,418,800,000","4,594,700,000","3,998,100,000","3,443,400,000","3,034,500,000","2,552,000,000","1,960,000,000","1,224,500,000","672,800,000","651,700,000"
			AccountsReceivable,"19,439,000,000","17,160,000,000","16,438,000,000","17,106,000,000","17,201,000,000","14,941,000,000","14,349,000,000","14,602,000,000","14,519,000,000","13,117,000,000","12,169,000,000","8,683,000,000","8,562,000,000","7,982,000,000","7,256,000,000",,"6,229,000,000","5,613,000,000","6,247,000,000","5,721,000,000","5,418,800,000","4,594,700,000","3,998,100,000","3,443,400,000","3,034,500,000",,,,"672,800,000",
				GrossAccountsReceivable,,,,,,,,,,,,,"10,099,000,000","7,982,000,000","7,256,000,000",,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,"-122,000,000",,,,,,,,,,,,,,,,,
			OtherReceivables,"3,104,000,000","2,408,000,000","2,289,000,000","2,325,000,000","3,014,000,000","3,584,000,000","3,578,000,000","3,893,000,000","3,711,000,000","2,965,000,000","1,740,000,000","1,423,000,000","1,537,000,000","1,341,000,000","968,000,000",,"984,000,000","953,000,000",,,,,,,,,,,,
