name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"15,155,000,000","14,984,000,000","14,410,000,000","13,874,000,000","11,359,000,000","11,088,000,000","10,412,000,000","9,702,000,000","6,815,000,000","5,737,000,000","5,460,000,000","5,099,545,000","4,865,513,000","4,327,748,000","3,924,020,000"
	OperatingRevenue,"15,155,000,000","14,984,000,000","14,410,000,000","13,874,000,000","11,359,000,000","11,088,000,000","10,412,000,000","9,702,000,000","6,815,000,000","4,326,000,000","4,165,000,000","3,808,340,000","3,692,298,000","3,294,966,000","3,060,950,000"
CostOfRevenue,"9,836,000,000","9,745,000,000","9,382,000,000","9,233,000,000","7,500,000,000","7,300,000,000","6,746,000,000","6,301,000,000","4,748,000,000","4,116,000,000","3,959,000,000","3,762,631,000","3,632,582,000","3,185,787,000","2,804,837,000"
GrossProfit,"5,319,000,000","5,239,000,000","5,028,000,000","4,641,000,000","3,859,000,000","3,788,000,000","3,666,000,000","3,401,000,000","2,067,000,000","1,621,000,000","1,501,000,000","1,336,914,000","1,232,931,000","1,141,961,000","1,119,183,000"
OperatingExpense,"3,221,000,000","3,178,000,000","3,201,000,000","3,228,000,000","3,076,000,000","2,936,000,000","2,857,000,000","2,633,000,000","1,305,000,000","943,000,000","902,000,000","860,510,000","817,755,000","762,299,000","698,406,000"
	SellingGeneralAndAdministration,"2,075,000,000","2,053,000,000","2,071,000,000","1,964,000,000","1,789,000,000","1,734,000,000","1,716,000,000","1,622,000,000","1,016,000,000","815,000,000","781,000,000","860,510,000","817,755,000","762,299,000","698,406,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,146,000,000","1,125,000,000","1,130,000,000","1,264,000,000","1,287,000,000","1,202,000,000","1,141,000,000","1,011,000,000","289,000,000","128,000,000","121,000,000",,,,
		DepreciationAndAmortizationInIncomeStatement,"1,146,000,000","1,125,000,000","1,130,000,000","1,264,000,000","1,287,000,000","1,202,000,000","1,141,000,000","1,011,000,000","289,000,000","128,000,000","121,000,000",,,,
OperatingIncome,"2,098,000,000","2,061,000,000","1,827,000,000","1,413,000,000","783,000,000","852,000,000","809,000,000","768,000,000","762,000,000","678,000,000","599,000,000","476,404,000","415,176,000","379,662,000","420,777,000"
NetNonOperatingInterestIncomeExpense,"-642,000,000","-636,000,000","-403,000,000","-369,000,000","-410,000,000","-438,000,000","-406,000,000","-339,000,000","-140,000,000","-97,000,000","-97,000,000","-119,571,000","-131,304,000","-105,126,000","-137,631,000"
	InterestIncomeNonOperating,"49,000,000","36,000,000","13,000,000","6,000,000","6,000,000","9,000,000","8,000,000","7,000,000","4,000,000","4,000,000","4,000,000","3,937,000","3,067,000","3,939,000","3,799,000"
	InterestExpenseNonOperating,"691,000,000","672,000,000","416,000,000","375,000,000","416,000,000","447,000,000","414,000,000","346,000,000","144,000,000","101,000,000","101,000,000","123,508,000","134,371,000","109,065,000","141,430,000"
OtherIncomeExpense,"42,000,000","34,000,000","-61,000,000","84,000,000",,"-62,000,000","-75,000,000","-135,000,000","-206,000,000","-42,000,000","-1,000,000","-33,717,000","-16,444,000","-89,861,000","-41,419,000"
	SpecialIncomeCharges,"-96,000,000","-90,000,000","-28,000,000","-46,000,000","-65,000,000","-99,000,000","-70,000,000","-122,000,000","-217,000,000","-40,000,000","-9,000,000","-33,902,000","-20,016,000","-80,788,000","-25,772,000"
		RestructuringAndMergernAcquisition,"90,000,000","84,000,000","28,000,000","20,000,000","52,000,000","75,000,000","68,000,000","63,000,000","158,000,000","30,000,000","9,000,000","14,071,000","18,741,000","22,116,000","22,928,000"
