name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
	EffectOfExchangeRateChanges,"-18,000,000","-32,000,000","-11,000,000","-11,000,000","18,000,000","-2,000,000","0","0","-1,000,000","0","-1,000,000","0","0",,,,,,,,,,,,
	BeginningCashPosition,"17,528,000,000","12,330,000,000","13,214,000,000","10,957,000,000","12,131,000,000","5,350,000,000","4,089,000,000","3,936,000,000","1,838,000,000","1,610,000,000","1,038,000,000","844,000,000","574,000,000","434,166,000","403,752,000","379,099,000","268,584,000","271,047,000","147,358,000","84,105,000","64,346,000","59,656,000","88,867,000","19,023,000","22,532,000"
	OtherCashAdjustmentOutsideChangeinCash,,"-50,000,000","-16,000,000","0",,,,,,,,,,,,,,,,,,,,,
IncomeTaxPaidSupplementalData,"901,000,000","883,000,000","1,222,000,000","678,000,000","1,191,000,000","612,000,000","448,000,000","496,000,000","556,000,000","328,000,000","237,000,000","85,000,000","43,000,000","50,444,000","53,938,000","52,928,000","36,801,000","7,348,000",,"31,287,000","20,518,000","19,935,000",,,
InterestPaidSupplementalData,"692,000,000","688,000,000","657,000,000","658,000,000","725,000,000","374,000,000","323,000,000","237,000,000","165,000,000","55,000,000","40,000,000","30,000,000","22,000,000","27,383,000","17,296,000","15,428,000","15,312,000","11,945,000",,"3,291,000","494,000","176,000",,,
CapitalExpenditure,"-696,000,000","-799,000,000","-1,004,000,000","-910,000,000","-869,000,000","-730,000,000","-675,000,000","-422,000,000","-306,000,000","-150,000,000","-103,000,000","-68,000,000","-82,000,000","-73,708,000","-118,556,000","-84,589,000","-65,156,000","-53,937,000","-50,318,000","-26,909,000","-25,009,000","-19,162,000","-3,918,000","-3,635,000","-642,000"
IssuanceOfCapitalStock,"48,000,000","44,000,000","70,000,000","35,000,000","0","0","2,779,000,000","0","0","0","0","15,000,000","0","0","104,534,000","0",,,,"0","0","81,313,000","10,809,000","41,092,000","0"
IssuanceOfDebt,"1,404,000,000","2,335,000,000","360,000,000","9,267,000,000","5,107,000,000","24,721,000,000","6,077,000,000","1,400,000,000","8,946,000,000","1,925,000,000","1,875,000,000","180,000,000","400,000,000","419,183,000","218,538,000","659,059,000","236,005,000","212,000,000","94,359,000","45,000,000","45,860,000","8,581,000",,"0","0"
RepaymentOfDebt,"-1,559,000,000","-2,316,000,000","-1,490,000,000","-7,434,000,000","-4,148,000,000","-17,826,000,000","-4,083,000,000","-1,353,000,000","-6,076,000,000","-1,583,000,000","-1,674,000,000","-41,000,000","-218,000,000","-416,283,000","-195,728,000","-616,219,000","-178,491,000","-187,162,000",,,,"-386,000","0","-4,000,000","-2,350,000"
RepurchaseOfCapitalStock,"-1,759,000,000","-1,633,000,000","-3,096,000,000","-297,000,000","-626,000,000","-75,000,000","-71,000,000","-65,000,000","-63,000,000","-53,000,000","-29,000,000","-19,000,000","-13,000,000","-7,809,000","-3,224,000","-6,304,000","-23,510,000","-9,541,000","-7,833,000",,,,"0","-102,000","0"
FreeCashFlow,"2,261,000,000","7,254,000,000","5,257,000,000","3,295,000,000","4,634,000,000","753,000,000","559,000,000","1,067,000,000","1,545,000,000","508,000,000","1,120,000,000","314,000,000","197,000,000","187,988,000","50,376,000","163,606,000","156,822,000","148,303,000","144,714,000","47,139,000","74,396,000","36,837,000","35,741,000","26,553,000","12,816,000"
